1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	5,714733
10,000000	-4,729024
20,000000	3,615398
30,000000	-5,027283
40,000000	-1,316860
50,000000	-3,116220
60,000000	10,527000
70,000000	41,724955
80,000000	93,807366
90,000000	133,369687
100,000000	145,893169
110,000000	146,069266
120,000000	137,757366
130,000000	128,213808
140,000000	115,650632
150,000000	104,911385
160,000000	94,002985
170,000000	83,526398
180,000000	75,103805
190,000000	65,901971
200,000000	59,154838
210,000000	53,482659
220,000000	47,705236
230,000000	43,107553
240,000000	37,591268
250,000000	35,316395
260,000000	30,781626
270,000000	28,447509
280,000000	25,090240
290,000000	21,704826
300,000000	19,240042
310,000000	14,931915
320,000000	14,333137
330,000000	16,027435
340,000000	12,254804
350,000000	8,803580
360,000000	10,928412
370,000000	3,587982
380,000000	9,993217
390,000000	10,328815
400,000000	8,471395
410,000000	0,393111
420,000000	-3,630053
430,000000	-3,457773
440,000000	-2,097043
450,000000	-4,137057
460,000000	4,221072
470,000000	-4,118667
480,000000	3,761440
490,000000	1,919705
500,000000	-4,221187
510,000000	6,664963
520,000000	0,665484
530,000000	-3,928712
540,000000	3,227389
550,000000	-3,499969
560,000000	2,144213
570,000000	2,268805
580,000000	-2,322445
590,000000	-1,783779
600,000000	4,039455
610,000000	-5,485813
620,000000	1,688892
630,000000	5,011325
640,000000	8,603460
650,000000	3,629186
660,000000	-5,586051
670,000000	-1,533261
680,000000	4,240429
690,000000	5,390168
700,000000	-3,783891
710,000000	-1,781429
720,000000	-1,580687
730,000000	2,332216
740,000000	4,147224
750,000000	4,318042
760,000000	7,501031
770,000000	2,788914
780,000000	-2,714470
790,000000	-6,625973
800,000000	-3,029224
810,000000	4,099962
820,000000	3,151716
830,000000	-3,760625
840,000000	0,000000
850,000000	-4,038258
860,000000	-3,593169
870,000000	1,412539
880,000000	3,559922
890,000000	-3,799008
900,000000	-5,767880
910,000000	-3,386255
920,000000	6,333830
930,000000	0,832964
940,000000	-2,345962
950,000000	-5,692881
960,000000	7,288791
970,000000	5,169749
980,000000	-3,329399
990,000000	3,114048
