#lambda/nm	C1
208.295	473.4
208.67	437.8
209.045	397.8
209.419	404.1
209.794	555.8
210.169	533.8
210.544	630.6
210.919	548.7
211.295	530.9
211.67	546.4
212.045	542
212.421	542.4
212.796	573.3
213.172	538.1
213.547	539.8
213.923	540.7
214.299	534.7
214.675	551.3
215.051	547.5
215.427	546.3
215.803	561.4
216.179	547.9
216.555	544
216.932	549.3
217.308	544.6
217.684	543.8
218.061	547.6
218.438	546.1
218.814	538.6
219.191	551.5
219.568	541.5
219.945	540.1
220.322	549.2
220.699	546.6
221.076	550.6
221.453	552.1
221.83	541
222.208	534.8
222.585	538.7
222.962	547.5
223.34	545.5
223.717	538.7
224.095	538.3
224.473	543.7
224.851	539.9
225.229	534.6
225.607	557.1
225.985	539.3
226.363	542.9
226.741	546.2
227.119	546.2
227.497	549
227.876	531.5
228.254	550
228.633	550.6
229.011	545.3
229.39	544.6
229.769	543.8
230.148	550.5
230.527	562.7
230.905	541.6
231.284	540.4
231.664	541.8
232.043	554.9
232.422	549.3
232.801	536.6
233.181	543.5
233.56	542.9
233.94	542.3
234.319	531.8
234.699	534.9
235.079	581.1
235.458	573.9
235.838	561
236.218	541.7
236.598	534.5
236.978	538.9
237.358	539.3
237.738	537.2
238.119	550.6
238.499	530.7
238.88	544.6
239.26	560.6
239.641	536.3
240.021	542.3
240.402	542.5
240.783	538.2
241.163	546.4
241.544	546.4
241.925	546.2
242.306	562.4
242.687	541.4
243.069	548.4
243.45	547.8
243.831	542.1
244.212	537.4
244.594	573.7
244.975	549.2
245.357	546.2
245.739	539.4
246.12	544.9
246.502	554.6
246.884	541.5
247.266	540.7
247.648	552.5
248.03	565.7
248.412	547.5
248.794	549.6
249.176	539.5
249.559	553.1
249.941	536.4
250.323	537.3
250.706	538.6
251.089	540
251.471	541.2
251.854	543.7
252.237	546.8
252.62	551.8
253.002	548.1
253.385	546.3
253.769	555
254.152	545.3
254.535	549.6
254.918	536.2
255.301	545.5
255.685	543.7
256.068	536.8
256.452	563
256.835	550.4
257.219	550.3
257.603	559.2
257.986	539.2
258.37	551.7
258.754	533.4
259.138	551.2
259.522	559
259.906	544.2
260.29	549.3
260.675	545.3
261.059	548.4
261.443	536.4
261.828	550.7
262.212	549.2
262.597	534.9
262.981	544.9
