#lambda/nm	C1
208.295	471.5
208.67	439.6
209.045	402.4
209.419	405.7
209.794	549
210.169	529.5
210.544	633.1
210.919	545.1
211.295	536.9
211.67	549.2
212.045	542.4
212.421	540.2
212.796	570.5
213.172	544
213.547	538.1
213.923	543.3
214.299	536.9
214.675	547.5
215.051	544.9
215.427	545.1
215.803	562.3
216.179	550.5
216.555	536.4
216.932	550.8
217.308	548.5
217.684	540.8
218.061	547.1
218.438	545.6
218.814	541.2
219.191	549
219.568	537.2
219.945	538.3
220.322	553.2
220.699	543.8
221.076	544.3
221.453	548.8
221.83	535.6
222.208	534.8
222.585	540.1
222.962	546.6
223.34	550.8
223.717	540.1
224.095	536
224.473	548.2
224.851	534.2
225.229	533.1
225.607	552.3
225.985	533.3
226.363	549.8
226.741	544.3
227.119	544.9
227.497	552.8
227.876	526.9
228.254	551.4
228.633	546.2
229.011	540.7
229.39	551.9
229.769	541.5
230.148	543.5
230.527	563.3
230.905	548.4
231.284	543.9
231.664	541.9
232.043	555
232.422	547.1
232.801	540.5
233.181	549.9
233.56	540.9
233.94	549
234.319	530.9
234.699	540.1
235.079	578.2
235.458	577.2
235.838	558.8
236.218	536
236.598	536.8
236.978	543.1
237.358	537.3
237.738	538.3
238.119	546.3
238.499	532.5
238.88	548.4
239.26	555.3
239.641	536.7
240.021	542.3
240.402	544.8
240.783	542.2
241.163	540.4
241.544	542.8
241.925	544.7
242.306	561.4
242.687	541.1
243.069	544.8
243.45	545
243.831	542.1
244.212	540
244.594	581.1
244.975	554
245.357	547.1
245.739	537.8
246.12	541.8
246.502	558.5
246.884	539.1
247.266	536.6
247.648	535.8
248.03	557.8
248.412	546.6
248.794	545.7
249.176	542.5
249.559	549.1
249.941	538.3
250.323	530.6
250.706	535.6
251.089	541.2
251.471	542.3
251.854	541
252.237	540.1
252.62	552.2
253.002	542.6
253.385	545.5
253.769	555.6
254.152	550.3
254.535	550.8
254.918	539.4
255.301	546.4
255.685	539
256.068	536.1
256.452	560.7
256.835	549.4
257.219	548.5
257.603	554.9
257.986	538.5
258.37	549
258.754	538.6
259.138	551.8
259.522	554.4
259.906	542.5
260.29	548.5
260.675	541
261.059	544.8
261.443	536.3
261.828	547.6
262.212	544.5
262.597	535.6
262.981	537.1
263.366	550.2
263.751	545
264.136	542.6
264.521	540.8
264.906	533.3
265.291	557.6
265.676	538.3
266.061	553.1
266.446	559.3
266.831	543.7
267.217	561.4
267.602	550.7
267.987	550.5
268.373	543.3
268.759	552.8
269.144	547
269.53	543.7
269.916	543
270.302	537.9
270.688	548.1
271.074	543.8
271.46	551.5
271.846	571.8
272.232	545.3
272.618	538.8
273.004	540.7
273.391	552.9
273.777	553
274.164	544
274.55	558.9
274.937	541.4
275.324	538.9
275.71	551.4
276.097	545.3
276.484	542.3
276.871	548.4
277.258	550
277.645	540.5
278.032	542.2
278.419	545
278.807	548.4
279.194	538.7
279.581	538.4
279.969	547.8
280.356	548.3
280.744	549.7
281.131	564.5
281.519	552.8
281.907	546.6
282.295	543.3
282.682	556.6
283.07	547.1
283.458	548.9
283.846	554.1
284.235	554.9
284.623	555.6
285.011	542.4
285.399	545.7
285.788	548.9
286.176	535.2
286.565	554.6
286.953	541.8
287.342	543.6
287.731	542.5
288.119	537.9
288.508	542.4
288.897	543.6
289.286	533.2
289.675	548.6
290.064	558.4
290.453	538.4
290.821	538
291.21	555.8
291.599	542.1
291.989	546.1
292.378	547.5
292.768	556.6
293.157	547.3
293.547	547.3
293.936	539.5
294.326	540.2
294.716	545.3
295.106	541.6
295.496	551.4
295.886	551.6
296.276	538.4
296.666	534.9
297.056	533.9
297.446	536.3
297.836	550.6
298.227	544.7
298.617	543.5
299.008	551.7
299.398	541.2
299.789	543.3
300.179	546.2
300.57	555
300.961	539.2
301.352	541.5
301.742	545.3
302.133	549
302.524	543.8
302.915	546.9
303.307	537.9
303.698	558.2
304.089	550.4
304.48	542.5
304.872	552.5
305.263	545.8
305.655	542.8
306.046	546.4
306.438	547.7
306.829	538
307.221	554
307.613	547.6
308.005	555.1
308.397	552.7
308.789	564.9
309.181	566.1
309.573	562.5
309.965	556.1
310.357	545.1
310.749	543.7
311.142	538.5
311.534	543.2
311.926	550.4
312.319	548.8
312.711	542.9
313.104	556.9
313.497	543.5
313.889	582
314.282	551.4
314.675	567.1
315.068	545.7
315.461	552.6
315.854	565.4
316.247	549
316.64	542.5
317.033	548.3
317.405	551.2
317.798	546.4
318.192	550.2
318.585	544.9
318.979	551.4
