#lambda/nm	C1
208.295	472.9
208.67	442.1
209.045	399.4
209.419	408.9
209.794	559.2
210.169	539.4
210.544	648.1
210.919	559.5
211.295	540.2
211.67	558.2
212.045	549
212.421	549.5
212.796	578
213.172	548.2
213.547	546.9
213.923	546.8
214.299	544.5
214.675	551.2
215.051	554.8
215.427	559.1
215.803	572.2
216.179	552.6
216.555	542.6
216.932	559.6
217.308	552.1
217.684	553
218.061	562.3
218.438	553.2
218.814	546.9
219.191	561.5
219.568	538.7
219.945	546.2
220.322	554.3
220.699	556.8
221.076	560.4
221.453	554
221.83	541.2
222.208	543.7
222.585	545.8
222.962	552
223.34	557.2
223.717	549.7
224.095	545.8
224.473	556.7
224.851	546
225.229	542.1
225.607	564.8
225.985	545.9
226.363	553.7
226.741	556.4
227.119	552.6
227.497	565.6
227.876	544.3
228.254	562.2
228.633	558.5
229.011	557
229.39	555.3
229.769	552.5
230.148	557.8
230.527	569.7
230.905	549.7
231.284	549.9
231.664	545.8
232.043	561.3
232.422	555
232.801	547.3
233.181	558.8
233.56	548.8
233.94	548.2
234.319	536.5
234.699	549.5
235.079	584.6
235.458	582.6
235.838	570
236.218	547
236.598	545.2
236.978	549.1
237.358	545.3
237.738	546.3
238.119	554.1
238.499	539.8
238.88	555.1
239.26	561.5
239.641	542
240.021	553.3
240.402	550.3
240.783	547.2
241.163	548
241.544	554.8
241.925	550.4
242.306	567.7
242.687	544.8
243.069	548.3
243.45	559.1
243.831	549.9
244.212	554.1
244.594	582.3
244.975	555.9
245.357	554.2
245.739	540.4
246.12	547.8
246.502	563.4
246.884	545
247.266	549.4
247.648	550.8
248.03	568.2
248.412	555
248.794	555.9
249.176	545.8
249.559	555.4
249.941	538.7
250.323	543.5
250.706	543.8
251.089	550.1
251.471	549.2
251.854	554.5
252.237	553.5
252.62	562
253.002	549.3
253.385	556.4
253.769	563.1
254.152	552.7
254.535	554.4
254.918	537.6
255.301	550.6
255.685	553.1
256.068	547.2
256.452	567.1
256.835	555.5
257.219	553.2
257.603	563.6
257.986	539.6
258.37	555.8
258.754	543.6
259.138	553.8
259.522	558.9
259.906	546.6
260.29	552.1
260.675	549.2
261.059	556.3
261.443	543.6
261.828	561.1
262.212	556.2
262.597	540
262.981	549.2
263.366	561.8
263.751	554.5
264.136	544.8
264.521	552.7
264.906	550
265.291	562
265.676	550.5
266.061	557.5
266.446	570.2
266.831	552.7
267.217	573.2
267.602	554.7
267.987	556.3
268.373	545.7
268.759	556.4
269.144	555.1
269.53	550.8
269.916	548.9
270.302	545.4
270.688	559.6
271.074	556.4
271.46	562.7
271.846	579.8
272.232	555.3
272.618	546.8
273.004	554.3
273.391	558.5
273.777	564
274.164	556.2
274.55	563.2
274.937	556.9
275.324	548.8
275.71	557.2
276.097	556
276.484	547.8
276.871	550.2
277.258	553.4
277.645	542
278.032	549
278.419	550.9
278.807	558.2
279.194	546.5
279.581	543
279.969	556
280.356	552.2
280.744	562.1
281.131	576.5
281.519	567.1
281.907	548.1
282.295	552.2
282.682	563.5
283.07	555.1
283.458	562
283.846	559.2
284.235	562.4
284.623	557.6
285.011	545.6
285.399	550.4
285.788	553
286.176	539.9
286.565	562.6
286.953	547.8
287.342	548.8
287.731	544.9
288.119	544.7
288.508	547.5
288.897	543.8
289.286	545.7
289.675	556
290.064	563.7
290.453	551.1
290.821	553
291.21	567.2
291.599	547.9
291.989	550.7
292.378	558.9
292.768	567.2
293.157	555.9
293.547	564.1
293.936	548.5
294.326	544.8
294.716	552.8
295.106	546.7
295.496	558.5
295.886	556.1
296.276	556.1
296.666	547.3
297.056	548.5
297.446	543.1
297.836	565
298.227	549.1
298.617	548.9
299.008	564.7
299.398	551.6
299.789	543.2
300.179	553
300.57	557.1
300.961	548.1
301.352	550.2
301.742	563.9
302.133	554.5
302.524	546.8
302.915	555.4
303.307	547.7
303.698	558.6
304.089	556.1
304.48	556.1
304.872	556.9
305.263	552.9
305.655	549.8
306.046	559.3
306.438	555.7
306.829	547
307.221	560.3
307.613	561
308.005	565.3
308.397	557.9
308.789	571.9
309.181	572.6
309.573	570.8
309.965	563.1
310.357	551.8
310.749	558.5
311.142	548.4
311.534	544.4
311.926	561.2
312.319	557
312.711	548.1
313.104	569.7
313.497	552.8
313.889	588.9
314.282	570.6
314.675	571.4
315.068	556.3
315.461	554.6
315.854	577
316.247	556.9
316.64	551.1
317.033	552.2
317.405	562
317.798	555.2
318.192	560.9
318.585	550.5
318.979	555.3
319.372	546.5
319.766	550
320.16	563.2
320.553	566.2
320.947	571.7
321.341	546.9
321.735	552.8
322.129	543
322.523	570.9
322.917	545
323.311	563.8
323.705	552.7
324.099	556.4
324.494	562.9
324.888	559.7
325.282	550.9
325.677	557.4
326.071	559.1
326.466	560
326.861	557.8
327.255	564
327.65	561.8
328.045	569.1
328.44	554.3
328.835	551.3
329.23	542.7
329.625	576
330.02	547.8
330.415	568.4
330.81	556.3
331.206	554.4
331.601	549.4
331.996	557.9
332.37	568.3
332.766	542
333.161	570.9
333.557	547.1
333.953	553
334.348	858.1
334.744	554.7
335.14	550.7
335.536	547
335.932	565.5
336.328	554.5
336.724	554.7
337.12	552
337.516	556.5
337.913	556.4
338.309	565.8
338.705	555.9
339.102	561.7
339.498	550.4
339.895	562.8
340.291	547
340.688	559.3
341.085	546.7
341.481	552.1
341.878	551.2
342.275	569.4
342.672	542.1
343.069	548.2
343.466	540.2
343.842	560.2
344.239	544.3
344.636	553.7
345.033	547.1
345.431	545.8
345.828	553.3
346.225	544.3
346.623	555.7
347.02	545.7
347.418	555.3
347.816	559.2
348.213	539.1
348.611	557
349.009	546
349.407	559.8
349.805	541.3
350.203	538.4
350.601	565.7
350.999	549.7
351.397	543.8
351.795	545.1
352.193	558.1
352.57	559.6
352.969	556
353.367	540.9
353.766	544.7
354.164	546.4
354.563	558.6
354.961	550.7
355.36	549.7
355.759	553.2
356.158	543.1
356.557	546
356.956	538.6
357.355	538.2
357.754	547.4
358.153	551.3
358.552	570.3
358.951	546.9
359.35	556.2
359.75	539.7
360.149	540
360.527	539
360.926	537.2
361.326	547.7
361.726	546.1
362.125	540.5
362.525	554.1
362.925	547.2
363.325	550
363.724	540.8
364.124	543.9
364.524	542.5
364.924	547.5
365.324	561
365.725	537.1
366.125	554.3
366.525	542.9
366.904	541.9
367.304	535.9
367.705	565.4
368.105	557
368.506	542.5
368.906	548.1
369.307	545.7
369.708	551
370.108	538
370.509	548.1
370.91	545.9
371.311	548
371.712	545.2
372.113	550.1
372.514	533.5
372.894	548.3
373.295	542.2
373.696	558.4
374.097	553.5
374.499	572.6
374.9	548
375.301	541.2
375.703	543
376.105	542.1
376.506	549.6
376.908	549.5
377.309	549.8
377.711	546.6
378.113	543.7
378.493	540.8
378.895	540.3
379.297	551.5
379.699	529.8
380.102	550.9
380.504	548.9
380.906	544.9
381.308	558.9
381.71	543.4
382.113	553.9
382.515	546.2
382.918	550.2
383.299	542.7
383.701	548.4
384.104	546
384.507	531.2
384.909	545.4
385.312	537.7
385.715	536.8
386.118	541.5
386.521	535
386.924	550
387.327	538.9
387.709	530.2
388.112	530.9
388.515	537.3
388.918	545.7
389.322	549.8
389.725	541.9
390.129	557.8
390.532	546.4
390.936	540.4
391.339	534.5
391.743	544.5
392.125	540.8
392.529	551.6
392.933	559.8
393.337	545.8
393.74	543.1
394.144	541.1
394.548	537.9
394.953	540
395.357	551.3
395.761	537.1
396.144	544.3
396.548	550.6
396.952	546.9
397.357	546.6
397.761	539.5
398.166	545.7
398.57	541.3
398.975	533.7
399.379	545.6
399.763	588.1
400.168	543.4
400.572	543.1
400.977	549.4
401.382	562.9
401.787	550.8
402.192	556.2
402.597	556.8
403.002	530.9
403.386	553.2
403.791	556.7
404.197	536.3
404.602	544.2
405.007	543.4
405.413	547
405.818	540.2
406.224	540.5
406.608	538.1
407.014	541.7
407.42	559.4
407.825	539.3
408.231	550.8
408.637	551
409.043	559.2
409.449	542.8
409.834	539.7
410.24	549.5
410.646	559.3
411.052	552.1
411.458	553.6
411.865	553.2
412.271	553.1
412.677	547.4
413.062	547.4
413.469	532.5
413.875	560.4
414.282	557.7
414.689	549.1
415.095	549.2
415.502	539.1
415.888	549.6
416.294	535.2
416.701	575.4
417.108	541.6
417.515	550.8
417.923	534.6
418.33	565.1
418.715	551.6
419.123	539.7
419.53	541.3
419.937	541.3
420.345	554.3
420.752	546
421.16	561.7
421.546	544.7
421.953	547.5
422.361	541.9
422.769	548.7
423.177	539.8
423.585	563.5
423.992	562.1
424.379	560.8
424.787	551.5
425.195	558.9
425.603	545.5
426.011	553.1
426.419	560.1
426.806	548.2
427.214	543.7
427.623	554.6
428.031	555.3
428.44	553.3
428.848	556.3
429.235	562.6
429.644	547.1
430.053	545.7
430.461	564.6
430.87	570.6
431.279	555.4
431.666	543.8
432.075	544.7
432.484	552.7
432.893	539.3
433.302	562.5
433.711	581.8
434.099	551.1
434.508	543.8
434.918	536.9
435.327	560.2
435.737	552.4
436.125	549.1
436.534	549.8
436.944	549.9
437.353	549.9
437.763	568
438.173	544.5
438.561	564.3
438.971	537.2
439.381	549.2
439.791	556.6
440.201	533
440.589	557.2
440.999	558.7
441.409	558.7
441.819	545
442.23	562.5
442.619	555.3
443.029	551.9
443.439	561.1
443.85	563.1
444.26	569.5
444.649	569.8
445.06	556
445.471	555.4
445.881	557.2
446.292	571.5
446.682	576.7
447.092	552.2
447.503	603.9
447.914	553.4
448.325	560.1
448.715	560.5
449.126	554.2
449.537	564.1
449.948	568
450.338	563.3
450.75	568.9
451.161	563.3
451.572	569.8
451.984	556.1
452.374	551.5
452.786	560.3
453.197	571.1
453.609	563.8
453.999	553.5
454.411	552.7
454.823	573.5
455.235	565.7
455.647	559.5
456.037	565.4
456.449	554.7
456.862	567.9
457.274	566.2
457.665	560.1
458.077	569.8
458.489	570.5
458.902	561.9
459.293	569.7
459.705	572.8
460.118	561
460.53	569.6
460.921	558.9
461.334	567.6
461.747	562.2
462.16	572.4
462.551	578
462.964	570.9
463.377	555.5
463.79	565.2
464.182	574.1
464.595	558.5
465.008	567.6
465.421	572.1
465.813	560.6
466.226	568
466.64	568.2
467.053	605.2
467.445	575.8
467.859	567.1
468.272	568
468.686	577.5
469.078	563.9
469.492	554.1
469.906	563.6
470.298	570.1
470.712	558.7
471.126	590.5
471.54	553.5
471.933	562.4
472.347	564.2
472.761	557.8
473.175	548.9
473.568	557.5
473.982	555.9
474.397	562.5
474.79	557.8
475.204	566
475.619	559.8
476.033	561.6
476.426	562.3
476.841	551.5
477.256	580.2
477.649	553.4
478.064	553.3
478.479	555.8
478.872	554.9
479.287	549.7
479.702	552.2
480.118	560.5
480.511	558.3
480.927	549.2
481.342	557
481.736	567.5
482.151	551.3
482.566	562.4
482.96	557.6
483.376	571.4
483.792	548.3
484.186	563.5
484.602	560.3
485.017	559.8
485.412	554.8
485.827	560.5
486.243	559.3
486.638	581
487.054	562.1
487.47	566.6
487.865	557.7
488.281	554.9
488.697	550
489.092	555.6
489.508	550.3
489.925	561.1
490.32	550.4
490.736	556.1
491.153	557.8
491.548	556.8
491.964	562.4
492.381	543.5
492.776	557
493.193	556.8
493.61	560
494.006	552.6
494.422	562.8
494.84	549.1
495.235	562.8
495.652	555.5
496.069	556.9
496.465	541.2
496.883	553
497.3	571.9
497.696	553
498.113	560.1
498.509	543.3
498.927	543.2
499.344	546.4
499.741	541.8
500.158	557.2
500.576	557.9
500.973	556.2
501.39	548.7
501.787	543.4
502.205	559.4
502.623	545.4
503.02	543.3
503.438	547.6
503.856	551.3
504.253	553.7
504.671	551
505.068	545.9
505.486	543.8
505.905	568.4
506.302	553.4
506.72	556.9
507.118	545.3
507.536	548.7
507.955	546.2
508.352	552.3
508.771	559
509.169	556.2
509.587	546.2
510.006	541.1
510.404	532.1
510.823	541.1
511.221	546.3
511.64	542.5
512.038	559.3
512.457	541.7
512.877	545.5
513.275	550.3
513.694	547.5
514.092	543.1
514.512	551.8
514.91	544.9
515.33	546
515.749	544
516.148	544.2
516.568	551.7
516.966	543.7
517.386	546.8
517.785	543.4
518.205	538.3
518.603	539.5
519.024	537.1
519.444	555
519.843	550.4
520.263	544.6
520.662	547.4
521.082	538.9
521.481	541.9
521.902	546.4
522.301	543.8
522.722	544.1
523.121	542.8
523.542	538.6
523.963	545.3
524.362	546.2
524.783	540.8
525.183	546.2
525.604	552.4
526.003	543.3
526.425	534.1
526.824	545.3
527.246	556.5
527.646	551.7
528.067	539.1
528.467	544.3
528.888	542.6
529.289	538.9
529.71	543.3
530.11	541
530.532	539.2
530.932	536.3
531.354	531
531.755	566.6
532.176	550.3
532.577	542.1
532.999	538.3
533.4	539
533.822	547.3
534.223	543.6
534.645	535
535.046	533.4
535.468	540.7
535.869	551.8
536.292	537.6
536.693	534.3
537.115	540.7
537.516	536.4
537.939	532.9
538.34	555.4
538.742	546.2
539.165	535.6
539.566	535.9
539.989	528.9
540.391	536.7
540.814	538.3
541.216	534.8
541.639	543.5
542.041	535
542.464	534.5
542.866	536.4
543.268	536
543.691	547.3
544.093	550.2
544.517	554.6
544.919	534.3
545.343	556.7
545.745	537.8
546.147	537.8
546.571	539.7
546.974	529.1
547.398	542.3
547.8	555.8
548.224	536.2
548.627	528.6
549.03	537.5
549.454	528.1
549.857	530.7
550.281	531.5
550.684	532.3
551.087	544.9
551.512	539.5
551.915	545.4
552.34	536.6
552.743	530.1
553.146	537.5
553.571	538.3
553.975	555.2
554.399	529.1
554.803	581.5
555.207	536.2
555.632	530.5
556.036	538.5
556.461	530.1
556.865	538.6
557.268	528.7
557.694	532.5
558.098	541.7
558.502	537.2
558.927	534.4
559.332	531.3
559.736	531.3
560.162	547.5
560.566	537.3
560.992	543.9
561.396	530.1
561.801	533.6
562.227	540
562.631	530.3
563.036	533
563.462	539.9
563.867	542.5
564.272	526.3
564.698	536.3
565.103	527.2
565.508	547
565.935	535.9
566.34	535.7
566.745	546.9
567.172	537.8
567.577	553.9
567.982	542
568.409	537
568.815	529.2
569.22	536.2
569.626	536.9
570.053	526.5
570.459	533.7
570.865	538.1
571.292	540.5
571.698	534.5
572.104	524.1
572.531	531
572.937	537.1
573.343	532.4
573.75	525.7
574.177	534.1
574.583	534.6
574.99	524.9
575.396	535.7
575.824	529
576.231	537.8
576.637	530.2
577.065	556.1
577.472	524.1
577.879	530.5
578.286	544.2
578.714	532.2
579.121	531.4
579.528	534.7
579.935	541.7
580.364	533
580.771	522
581.178	522.1
581.585	528.3
582.014	535.1
582.421	527.6
582.829	528.3
583.236	540.3
583.644	525.1
584.073	534.1
584.481	527.9
584.889	530.1
585.296	541
585.726	530.2
586.134	526.9
586.542	529.1
586.95	549.3
587.358	519
587.787	530.6
588.196	519.5
588.604	531.9
589.012	534.5
589.421	528.3
589.851	523.2
590.259	527.1
590.668	531
591.076	559.1
591.485	517.9
591.894	532.2
592.324	539.9
592.733	543
593.142	521.7
593.551	529.1
593.96	558.3
594.369	529.1
594.8	525.2
595.209	529.8
595.618	520.9
596.028	529.5
596.437	523.8
596.847	532.8
597.256	531.6
597.687	534.9
598.097	531.4
598.507	519.1
598.917	532.2
599.327	536.6
599.736	533.3
600.146	539.3
600.556	529.7
600.988	536
601.398	528.9
601.808	544.5
602.219	525
602.629	535.1
603.039	535.3
603.45	558.5
603.86	533.7
604.271	540.3
604.703	532.3
605.114	527.7
605.525	531.6
605.935	533.6
606.346	546.8
606.757	534.3
607.168	530.7
607.579	523.6
607.99	529.1
608.402	531.8
608.813	531.8
609.224	526.9
609.636	522.8
610.047	519.4
610.48	532.5
610.892	530.7
611.303	534.5
611.715	526.2
612.127	517.7
612.539	525.3
612.95	528.8
613.362	517.8
613.774	521.7
614.186	527.4
614.599	521.1
615.011	538.2
615.423	520.2
615.835	529.4
616.248	522.5
616.66	535.2
617.073	520.4
617.485	525.4
617.898	533
618.311	530.8
618.723	528
619.136	549.3
619.549	538
619.962	546.1
620.375	530.3
620.788	527.9
621.201	526.2
621.614	535.2
622.028	528.8
622.441	531.5
622.854	541.2
623.268	523.5
623.681	532.1
624.095	526.5
624.509	531.9
624.922	538.8
625.336	517.8
625.728	524.1
626.142	538.4
626.556	547.3
626.97	532.7
627.384	525.2
627.799	529.1
628.213	541.5
628.627	524.8
629.041	526.3
629.456	519.3
629.87	530.6
630.285	535.7
630.699	536.8
631.093	517.6
631.507	531.7
631.922	531.9
632.337	537.7
632.752	525.4
633.167	521.2
633.582	524.4
633.997	518.7
634.412	519.8
634.806	525.7
635.221	514.1
635.637	540.8
636.052	517
636.468	530.6
636.883	545
637.299	526.6
637.715	514
638.109	525.5
638.525	515
638.941	538.2
639.357	530.7
639.773	532.7
640.189	523.1
640.584	528.8
641	531.8
641.416	519.3
641.832	521.3
642.249	521.9
642.665	525.9
643.06	530.5
643.477	536.6
643.894	511.3
644.31	525.9
644.727	525.4
645.123	527.5
645.54	523.5
645.957	530.8
646.374	532.1
646.77	525.5
647.187	550.9
647.604	534
648.021	514.7
648.439	520.2
648.835	525
649.252	529.3
649.67	529.1
650.088	527.7
650.484	528.1
650.902	534.8
651.32	531.1
651.738	522.2
652.134	524.1
652.552	544.4
652.971	529.9
653.389	531.2
653.786	540
654.204	533.2
654.622	523.3
655.019	531.4
655.438	533.6
655.857	528.6
656.275	533.2
656.673	525.2
657.091	589.2
657.51	523.7
657.908	530.7
658.327	538.2
658.746	517.4
659.144	526.8
659.563	542.3
659.982	530.2
660.38	519.4
660.8	528
661.219	535.5
661.617	534.6
662.037	528.7
662.457	535.5
662.855	516
663.275	551.8
663.695	530.9
664.094	528.6
664.514	532.6
664.934	518.3
665.333	528.5
665.753	522.1
666.152	518.4
666.572	521.4
666.993	529.2
667.392	525.9
667.812	518.5
668.212	524.7
668.632	533.3
669.053	522.2
669.453	528.2
669.874	530.2
670.273	529.4
670.694	518.5
671.116	531.9
671.515	532.3
671.937	524.7
672.337	519.6
672.758	517.7
673.158	533.6
673.58	520.7
673.98	526.8
674.402	531.6
674.824	525.3
675.224	519.4
675.646	519.7
676.047	525.2
676.469	527.4
676.869	528.9
677.292	527.1
677.693	522.2
678.115	521.8
678.516	526.8
678.939	530.6
679.34	526.1
679.762	538.1
680.164	531.3
680.586	516.7
680.988	530
681.411	545.2
681.812	517.5
682.236	519
682.637	518.5
683.061	510.8
683.462	529.6
683.864	523
684.288	534.1
684.69	521.4
685.114	539.9
685.516	532.2
685.94	521.5
686.342	531.5
686.766	518.6
687.168	518.6
687.571	538.6
687.995	530
688.398	519.9
688.822	525.3
689.225	541.2
689.628	537.4
690.052	521.6
690.456	530.4
690.88	525.9
691.284	519.5
691.687	531.4
692.112	516
692.515	521
692.919	528.7
693.344	528.7
693.747	518.9
694.173	518
694.577	531.3
694.98	525.9
695.406	525.8
695.81	533.6
696.214	532.4
696.64	526.2
697.044	526.7
697.448	539.2
697.874	525.9
698.279	518.5
698.684	514.8
699.11	513.8
699.514	524.5
699.919	525
700.324	512.5
700.75	528.6
701.156	523.6
701.561	532.2
701.987	528.4
702.393	533.2
702.798	533.7
703.203	525
703.63	517.7
704.036	523.4
704.442	523.7
704.847	517.9
705.274	523.5
705.68	522.3
706.086	532
706.492	517.5
706.92	521.6
707.326	526.3
707.732	519.6
708.139	519.7
708.545	516.5
708.973	514.6
709.38	526.5
709.786	515.6
710.193	536.7
710.6	524.1
711.028	519.2
711.435	525.1
711.842	517.4
712.249	524
712.656	520.3
713.064	531.9
713.492	520.7
713.9	520.5
714.307	526.9
714.715	522.3
715.123	529.8
715.53	530.5
715.938	530.7
716.367	530.2
716.775	525.9
717.184	514.5
717.592	524.7
718	531.8
718.408	545.1
718.816	564
719.225	529.3
719.633	526
720.042	518.2
720.472	518.7
720.881	542.4
721.29	526.2
721.699	513.4
722.108	520.6
722.517	523.1
722.926	519.5
723.335	525.3
723.744	527.7
724.154	516.9
724.563	525
724.973	526.8
725.382	519.7
725.792	525.2
726.202	514.5
726.612	534.4
727.022	526.7
727.432	521.3
779.813	518.8
780.223	562.8
780.634	520.6
781.044	512.2
781.454	525.3
781.865	526.4
782.276	512.3
782.686	522.5
783.097	525.1
783.508	523.1
783.919	523.3
784.33	528.6
784.741	529.6
785.152	519
785.563	511.9
785.974	516.4
786.386	529.7
786.776	516.6
787.188	519.7
787.599	515.6
788.011	526.4
788.423	520.9
788.835	519.6
789.247	514.7
789.659	520.6
790.071	520.9
790.483	552.7
790.874	524.6
791.286	529.3
791.699	514.1
792.111	525.4
792.524	525.3
792.937	520.6
793.349	513.1
793.741	519.6
794.154	518.5
794.567	535.4
794.98	520
795.393	515
795.785	537
796.198	519.8
796.612	525.9
797.026	521.2
797.439	508.2
797.831	519.1
798.245	516.9
798.659	523.5
799.073	514.8
799.487	515
799.88	519.8
800.294	521.1
800.708	529.4
801.123	524.9
801.516	539.8
801.93	513
802.345	512.2
802.76	525.1
803.153	536.5
803.568	531.5
803.983	538.5
804.377	521.5
804.792	509.4
805.207	513.2
805.601	523.7
806.016	545.3
806.432	517.7
806.826	548.4
807.242	528.2
807.658	523.1
808.052	516.7
808.468	519.9
808.884	520.9
809.279	524.6
809.695	526.1
810.111	534.3
810.506	529.3
810.922	536.1
811.339	513.1
811.734	527.9
812.151	514.5
812.546	514.1
812.963	513.2
813.38	519.3
813.776	520
814.193	535
814.589	510.7
815.006	515.4
815.402	520.7
815.82	514.9
816.237	518.6
816.633	525.2
817.051	518
817.448	513.4
817.866	514.4
818.262	534
818.68	514.4
819.077	514.4
819.495	522.7
819.892	553
820.311	514
820.708	517.4
821.127	518.6
821.524	530.1
821.943	526.4
822.34	537.1
822.759	517.5
823.157	516.4
823.576	527.6
823.974	525
824.393	524.2
824.791	513.2
825.189	517.4
825.609	513.8
826.007	513.2
826.427	508.1
826.826	516.4
827.246	520.9
827.644	506.4
828.043	529.9
828.463	517.3
828.862	523.3
829.261	522.2
829.682	510.9
830.081	528.9
830.502	511.3
830.901	520.9
831.301	511.7
831.722	506.4
832.121	522.4
832.521	516.1
832.943	519.8
833.342	521.9
833.742	517.8
834.164	518.4
834.564	514
834.965	516.9
835.386	518
835.787	516.8
836.188	523.4
836.588	524.9
837.01	516.9
837.411	515.4
837.812	526.3
838.213	518.6
838.636	510.4
839.037	578.6
839.438	520
839.84	523.2
840.263	525.2
840.664	523.4
841.066	519.8
841.468	524
841.891	516.3
842.293	532.6
842.695	526.5
843.098	531.9
843.5	518.3
843.902	524.3
844.326	523.4
844.729	518.6
845.131	530.7
845.534	518.8
845.937	530.8
846.34	531
846.764	512.8
