#lambda/nm	C1
208.295	472.4
208.67	440.9
209.045	401.4
209.419	408.9
209.794	564.2
210.169	537.9
210.544	645.5
210.919	556.7
211.295	543.9
211.67	557
212.045	546
212.421	545.6
212.796	578
213.172	542.3
213.547	551.6
213.923	545.9
214.299	546.8
214.675	557.1
215.051	560.7
215.427	552.3
215.803	566.2
216.179	556.5
216.555	545.2
216.932	553.9
217.308	552.6
217.684	554.6
218.061	557.6
218.438	559.8
218.814	551
219.191	555.3
219.568	541.3
219.945	550.7
220.322	559.9
220.699	554.4
221.076	559.8
221.453	553.1
221.83	548.4
222.208	545.6
222.585	544.9
222.962	547.6
223.34	551
223.717	551
224.095	549.8
224.473	554
224.851	546.6
225.229	540.2
225.607	561.7
225.985	541.1
226.363	553.6
226.741	553.3
227.119	552
227.497	562.2
227.876	541.1
228.254	561.5
228.633	556
229.011	554.1
229.39	552.4
229.769	550.5
230.148	558.2
230.527	570.5
230.905	556.5
231.284	554.9
231.664	541.9
232.043	562.1
232.422	556.7
232.801	546.3
233.181	556.2
233.56	554.4
233.94	553.3
234.319	541.6
234.699	547.9
235.079	590.8
235.458	584.7
235.838	565.8
236.218	546.1
236.598	540.5
236.978	552.1
237.358	551.9
237.738	551.6
238.119	561.7
238.499	537.8
238.88	554.6
239.26	566.2
239.641	535.2
240.021	546.2
240.402	554.9
240.783	547.9
241.163	554.8
241.544	552.3
241.925	554.3
242.306	568.6
242.687	546.9
243.069	551.1
243.45	564.1
243.831	549.7
244.212	553
244.594	580.6
244.975	563
245.357	553.7
245.739	551.3
246.12	553.8
246.502	564.8
246.884	550.7
247.266	545.8
247.648	555.1
248.03	564.8
248.412	557.4
248.794	557
249.176	549.2
249.559	560.9
249.941	548.4
250.323	542.6
250.706	543.2
251.089	552.5
251.471	559.2
251.854	552.8
252.237	554.5
252.62	552.5
253.002	548.6
253.385	551.5
253.769	566.8
254.152	549.9
254.535	554.4
254.918	549.9
255.301	552.8
255.685	550.8
256.068	546.3
256.452	571.5
256.835	559.8
257.219	554.6
257.603	562.7
257.986	552.1
258.37	555.1
258.754	545.3
259.138	559.5
259.522	563.1
259.906	546.5
260.29	555.7
260.675	551.1
261.059	549.4
261.443	547.3
261.828	557.2
262.212	558.2
262.597	545
262.981	547.2
263.366	556.4
263.751	551
264.136	550.6
264.521	551.4
264.906	548.1
265.291	558.7
265.676	548.9
266.061	553.3
266.446	570
266.831	552.9
267.217	572.7
267.602	555.6
267.987	554.9
268.373	551
268.759	559.9
269.144	552
269.53	549.5
269.916	542.8
270.302	546.8
270.688	555.6
271.074	553.4
271.46	560.4
271.846	581.9
272.232	548.1
272.618	546.4
273.004	549.9
273.391	558
273.777	562.7
274.164	555
274.55	564.2
274.937	553
275.324	550.4
275.71	558.2
276.097	554.6
276.484	541.7
276.871	554.4
277.258	554.7
277.645	544.1
278.032	550.9
278.419	553.5
278.807	552.8
279.194	544.7
279.581	545.2
279.969	558
280.356	553.3
280.744	553.7
281.131	571.7
281.519	560.5
281.907	550.5
282.295	551.5
282.682	563.2
283.07	554
283.458	559.2
283.846	564.3
284.235	560.6
284.623	557.9
285.011	544.7
285.399	548.4
285.788	553.5
286.176	536.7
286.565	563.6
286.953	545.1
287.342	546.9
287.731	545.6
288.119	543.9
288.508	550.7
288.897	549.4
289.286	539.8
289.675	552
290.064	558.4
290.453	546.6
290.821	548.6
291.21	567.3
291.599	548.3
291.989	552.3
292.378	555.3
292.768	565.7
293.157	554.1
293.547	559.3
293.936	548.1
294.326	553
294.716	551.2
295.106	550
295.496	558.8
295.886	558.5
296.276	547.1
296.666	545.1
297.056	546.6
297.446	548.2
297.836	573
298.227	547.7
298.617	553.5
299.008	567.3
299.398	551.4
299.789	547.6
300.179	552.6
300.57	566.1
300.961	551.4
301.352	553
301.742	561.5
302.133	558.7
302.524	554.6
302.915	557.2
303.307	550.6
303.698	558.9
304.089	556.8
304.48	553.3
304.872	559.4
305.263	551.5
305.655	551.9
306.046	557.4
306.438	554.7
306.829	553.8
307.221	563.9
307.613	566
308.005	560.5
308.397	556.6
308.789	572.5
309.181	573.1
309.573	568.6
309.965	562.5
310.357	549.4
310.749	557.1
311.142	546.9
311.534	542.2
311.926	560.3
312.319	553.4
312.711	551.1
313.104	563.3
313.497	551.3
313.889	586.9
314.282	565.8
