#lambda/nm	C1
208.295	480.4
208.67	442.1
209.045	400.4
209.419	407.2
209.794	556.7
210.169	538.3
210.544	642.1
210.919	552.7
211.295	540.3
211.67	546.1
212.045	547
212.421	546
212.796	575.8
213.172	544.9
213.547	547.2
213.923	544.9
214.299	544.3
214.675	557.7
215.051	552.2
215.427	554.6
215.803	564.4
216.179	556.5
216.555	545.5
216.932	554.2
217.308	548.1
217.684	546.5
218.061	553.5
218.438	551.6
218.814	544.4
219.191	557.4
219.568	539.1
219.945	548.9
220.322	554.1
220.699	559
221.076	552.1
221.453	555.4
221.83	541.5
222.208	548.5
222.585	546
222.962	551.4
223.34	552.5
223.717	548.3
224.095	551.1
224.473	556.2
224.851	540.5
225.229	539.7
225.607	562.6
225.985	545.3
226.363	554.6
226.741	549.6
227.119	548.1
227.497	563.3
227.876	538.8
228.254	554.8
228.633	550.1
229.011	553.2
229.39	552.4
229.769	553.8
230.148	556.6
230.527	567
230.905	559.8
231.284	550.1
231.664	545.3
232.043	560.1
232.422	557
232.801	545.6
233.181	555.9
233.56	549.2
233.94	549.8
234.319	542.4
234.699	546.7
235.079	582
235.458	582.4
235.838	562.1
236.218	546.9
236.598	546.3
236.978	549
237.358	553.1
237.738	548.3
238.119	555.5
238.499	537.1
238.88	555.4
239.26	568.6
239.641	547.7
240.021	547
240.402	551.4
240.783	550.8
241.163	557.4
241.544	556.7
241.925	554.5
242.306	567.9
242.687	548.7
243.069	558.5
243.45	563.2
243.831	550.4
244.212	547.8
244.594	581.3
244.975	558.1
245.357	557.5
245.739	548.2
246.12	556.2
246.502	560.9
246.884	554.5
247.266	548.1
247.648	551.5
248.03	570.8
248.412	552.2
248.794	555.4
249.176	545.3
249.559	562
249.941	550.2
250.323	541.7
250.706	546.5
251.089	556.1
251.471	555
251.854	554.4
252.237	552.3
252.62	558.6
253.002	552.4
253.385	552.6
253.769	560.3
254.152	554
254.535	556.1
254.918	545.7
255.301	550.8
255.685	542.4
256.068	546.2
256.452	568.7
256.835	551.5
257.219	557.4
257.603	560.6
257.986	541.7
258.37	553.3
258.754	535
259.138	557.7
259.522	559.5
259.906	548.8
260.29	554.1
260.675	550.2
261.059	547.9
261.443	543.1
261.828	558.6
262.212	552.1
262.597	537.1
262.981	541.8
263.366	551.4
263.751	550.7
264.136	548.9
264.521	548.4
264.906	545.5
265.291	563.7
265.676	547.7
266.061	556.4
266.446	564.4
266.831	547.8
267.217	562.5
267.602	558.3
267.987	550.5
268.373	547.8
268.759	556.2
269.144	556.9
269.53	550.1
269.916	545.6
270.302	546.5
270.688	547.1
271.074	548.2
271.46	559.4
271.846	572.1
272.232	545.4
272.618	541.1
273.004	544.3
273.391	553.6
273.777	558.3
274.164	551.7
274.55	559.9
274.937	550.4
275.324	545.3
275.71	558.5
276.097	555.5
276.484	548.1
276.871	556.7
277.258	551.2
277.645	539
278.032	550.4
278.419	548
278.807	551.3
279.194	541.1
279.581	543.9
279.969	554.6
280.356	549.8
280.744	551.4
281.131	569.3
281.519	557.7
281.907	551.1
282.295	544
282.682	560.9
283.07	550.4
283.458	560.2
283.846	555.5
284.235	553.7
284.623	557.7
285.011	543.3
285.399	547.4
285.788	548.8
286.176	544.9
286.565	556.4
286.953	543.2
287.342	546.5
287.731	544.7
288.119	539.5
288.508	549.9
288.897	551.2
289.286	541.7
289.675	550.9
290.064	552.3
290.453	549.8
290.821	543.4
291.21	566.4
291.599	551.7
291.989	553.7
292.378	553.9
292.768	564
293.157	551.7
293.547	563.6
293.936	550.1
294.326	544.9
294.716	556.8
295.106	550.4
295.496	552.3
295.886	555.4
296.276	550.8
296.666	541.9
297.056	544.4
297.446	541.3
297.836	568.3
298.227	547.8
298.617	551.9
299.008	557.9
299.398	548.1
299.789	544.4
300.179	552.1
300.57	564.4
300.961	546.9
301.352	541.8
301.742	558.5
302.133	550.8
302.524	549.6
302.915	549.1
303.307	538.4
303.698	559.8
304.089	557.6
304.48	550.8
304.872	551.5
305.263	544.4
305.655	547.8
306.046	552.6
306.438	553.3
306.829	546.3
307.221	563.3
307.613	554.9
308.005	561.1
308.397	560.1
308.789	574.6
309.181	567.6
309.573	564.6
309.965	560.8
310.357	551.5
310.749	555
311.142	543.8
311.534	538.5
311.926	558.9
312.319	551.4
312.711	547
313.104	563.6
313.497	548.8
313.889	588.7
314.282	558.9
314.675	571.7
315.068	553.1
315.461	561.2
315.854	581
316.247	559.5
316.64	548.8
317.033	555.6
317.405	556.5
317.798	554.6
318.192	552.7
318.585	550.9
318.979	556.3
319.372	546.3
319.766	554.6
320.16	562.8
320.553	562.3
320.947	564.3
321.341	551.8
321.735	541.9
322.129	537.5
322.523	570.7
322.917	546.1
323.311	561.3
323.705	552.4
324.099	560.5
324.494	557.3
324.888	557.9
325.282	549.4
325.677	552
326.071	557.8
326.466	559.9
326.861	552.8
327.255	560.9
327.65	564.6
328.045	564.8
328.44	552.6
328.835	551.8
329.23	547.2
329.625	572.8
330.02	546.7
330.415	565
330.81	547.4
331.206	545.6
331.601	546.3
331.996	549.7
332.37	557.5
332.766	542.2
333.161	562.8
333.557	543.7
333.953	549.7
334.348	914.9
334.744	552.8
335.14	548.4
335.536	543.7
335.932	563.2
336.328	550.1
336.724	554.6
337.12	550.9
337.516	554.9
337.913	553.4
338.309	566.2
338.705	548.5
339.102	566.1
339.498	546.9
339.895	561.5
340.291	553.4
340.688	564.3
341.085	547.1
341.481	549.9
341.878	547.6
342.275	564.7
342.672	541.2
343.069	551.2
343.466	539.1
343.842	554.9
344.239	546.3
344.636	546.6
345.033	542.2
345.431	545.2
345.828	553.4
346.225	547.9
346.623	559.4
347.02	550.1
347.418	557.6
347.816	561.7
348.213	542
348.611	556
349.009	546.1
349.407	561.1
349.805	543.9
350.203	537.1
350.601	558.9
350.999	549.8
351.397	544.9
351.795	547.2
352.193	559.2
352.57	556.8
352.969	561.3
353.367	548.5
353.766	544.2
354.164	549.1
354.563	553.1
354.961	545.7
355.36	545.4
355.759	550.9
356.158	547.4
356.557	546.8
356.956	547.9
357.355	540
357.754	551.9
358.153	552.2
358.552	573.4
358.951	551.3
359.35	560.6
359.75	541.2
360.149	539.8
360.527	536.2
360.926	547.1
361.326	549.2
361.726	554.8
362.125	543.8
362.525	554.3
362.925	548.2
363.325	544.9
363.724	550.6
364.124	547.8
364.524	545
364.924	550.7
365.324	563.2
365.725	550.8
366.125	572.2
366.525	576.1
366.904	583.4
367.304	589.8
367.705	633.6
368.105	647.1
368.506	654.5
368.906	678.3
369.307	693.7
369.708	697.9
370.108	694.7
370.509	703.4
370.91	674.1
371.311	669
371.712	653.3
372.113	630
372.514	598
372.894	589.4
373.295	573.1
373.696	575.5
374.097	563.2
374.499	580.8
374.9	551
375.301	544.2
375.703	553.6
376.105	536.2
376.506	552.8
376.908	559.6
377.309	548.3
377.711	550.3
378.113	543.4
378.493	554.6
378.895	541.6
379.297	560.3
379.699	541.2
380.102	554.4
380.504	555.6
380.906	550.4
381.308	566
381.71	549.7
382.113	557.1
382.515	555.3
382.918	556.3
383.299	551.2
383.701	562.4
384.104	555.4
384.507	540.2
384.909	551.1
385.312	552.5
385.715	548.1
386.118	556.8
386.521	549.7
386.924	566.4
387.327	550.9
387.709	545.4
388.112	541.8
388.515	553.6
388.918	552.9
389.322	560.6
389.725	551.2
390.129	572.8
390.532	555.5
390.936	552.9
391.339	549.4
391.743	553
392.125	547.7
392.529	560.7
392.933	561.6
393.337	551.1
393.74	553.1
394.144	553
394.548	547.9
394.953	550.9
395.357	555.9
395.761	547.9
396.144	554.2
396.548	550.1
396.952	551
397.357	549.9
397.761	546.5
398.166	549.1
398.57	548.1
398.975	548.6
399.379	553.7
399.763	597.6
400.168	554.5
400.572	553.4
400.977	552.2
401.382	572.1
401.787	565.8
402.192	575.7
402.597	576.4
403.002	550.4
403.386	572.7
403.791	580.6
404.197	559.6
404.602	587.3
405.007	607.5
405.413	651.2
405.818	710.4
406.224	798.4
406.608	915.6
407.014	1025.7
407.42	1175.3
407.825	1286
408.231	1429.4
408.637	1525.2
409.043	1610.6
409.449	1609.1
409.834	1571.7
410.24	1512.7
410.646	1446.9
411.052	1342.5
411.458	1208.9
411.865	1078
412.271	961.5
412.677	852.1
413.062	784.2
413.469	731.5
413.875	740.4
414.282	701.4
414.689	684.6
415.095	684.5
415.502	669.3
415.888	673
416.294	667.1
416.701	700
417.108	673.5
417.515	687.9
417.923	684
418.33	720.1
418.715	712.6
419.123	712.1
419.53	716.5
419.937	723.4
420.345	748.1
420.752	735.6
421.16	762.7
421.546	765
421.953	767.4
422.361	768.9
422.769	790.1
423.177	781.9
423.585	815.8
423.992	813
424.379	822.8
424.787	824.8
425.195	833.9
425.603	822.3
426.011	851.8
426.419	854.9
426.806	862.7
427.214	871.8
427.623	873.7
428.031	906.7
428.44	904.2
428.848	920.5
429.235	951.6
429.644	943.7
430.053	962.7
430.461	1006.9
