#lambda/nm	C1
208.295	472.7
208.67	440.7
209.045	401.5
209.419	406.1
209.794	551.6
210.169	536.4
210.544	637.8
210.919	560.5
211.295	540.6
211.67	553.2
212.045	546.3
212.421	550.5
212.796	576.8
213.172	550.8
213.547	543.1
213.923	549.3
214.299	544.3
214.675	561.7
215.051	556.2
215.427	556.6
215.803	567.3
216.179	562.2
216.555	550.6
216.932	556.8
217.308	552
217.684	554.6
218.061	559.2
218.438	556.2
218.814	547.2
219.191	557.1
219.568	546.9
219.945	551.3
220.322	558.8
220.699	554.9
221.076	555.8
221.453	556.5
221.83	545.4
222.208	546.4
222.585	545.5
222.962	554.8
223.34	558.2
223.717	552.5
224.095	547.9
224.473	557
224.851	551.2
225.229	545
225.607	568.4
225.985	546
226.363	550.6
226.741	554.6
227.119	556.8
227.497	561.8
227.876	546
228.254	562.4
228.633	559.6
229.011	559.4
229.39	561.9
229.769	559.5
230.148	559.6
230.527	573.3
230.905	552.5
231.284	558.2
231.664	545.6
232.043	567.8
232.422	563.1
232.801	554.9
233.181	558.7
233.56	560.9
233.94	561.4
234.319	551.5
234.699	555.5
235.079	592.2
235.458	586.3
235.838	570.4
236.218	550.7
236.598	550.5
236.978	558.5
237.358	556.2
237.738	549.8
238.119	563.7
238.499	551.9
238.88	562.1
239.26	576.6
239.641	552.1
240.021	561.7
240.402	563.2
240.783	564.6
241.163	561.3
241.544	566.7
241.925	562.2
242.306	575.1
242.687	553.9
243.069	563.8
243.45	566.3
243.831	555.6
244.212	556.9
244.594	591.1
244.975	567.9
245.357	560.3
245.739	545.9
246.12	557.1
246.502	571.6
246.884	550.4
247.266	556.5
247.648	559.3
248.03	577.2
248.412	559.5
248.794	559.9
249.176	556.1
249.559	565.8
249.941	551.4
250.323	546.2
250.706	545.4
251.089	556.6
251.471	559.5
251.854	551.4
252.237	557.6
252.62	569.6
253.002	554.4
253.385	557.6
253.769	569.1
254.152	555.4
254.535	561.2
254.918	545.1
255.301	553.4
255.685	553.2
256.068	544.2
256.452	576.9
256.835	561.1
257.219	565.9
257.603	562.6
257.986	545.2
258.37	557
258.754	547.7
259.138	562.1
259.522	565.1
259.906	552.8
260.29	555.8
260.675	550.6
261.059	557.7
261.443	552.7
261.828	561.8
262.212	560.6
262.597	543.4
262.981	550.4
263.366	556.6
263.751	547.6
264.136	550
264.521	549.5
264.906	553.8
265.291	561.6
265.676	554.7
266.061	558.3
266.446	571.2
266.831	554.9
267.217	569.8
267.602	557.3
267.987	556.3
268.373	549.2
268.759	566.2
269.144	560.2
269.53	551.8
269.916	550.4
270.302	547
270.688	563.1
271.074	557.1
271.46	566.1
271.846	583
272.232	553.3
272.618	551.2
273.004	548.8
273.391	563.2
273.777	564.5
274.164	558.1
274.55	565
274.937	555.5
275.324	552.3
275.71	559.2
276.097	563.2
276.484	548.9
276.871	557.5
277.258	556
277.645	545
278.032	552.8
278.419	550.8
278.807	554.3
279.194	550.7
279.581	548.7
279.969	561.1
280.356	554.6
280.744	555.8
281.131	578.3
281.519	563.8
281.907	550.2
282.295	548.6
282.682	566.1
283.07	559.3
283.458	563.4
283.846	568.4
284.235	564.7
284.623	560.8
285.011	544.9
285.399	555.3
285.788	550.2
286.176	549.1
286.565	566.2
286.953	554.2
287.342	553
287.731	554.5
288.119	550.5
288.508	552.8
288.897	558.7
289.286	543.3
289.675	555.9
290.064	566.7
290.453	551.1
290.821	555.9
291.21	566.8
291.599	551.8
291.989	552.4
292.378	565.9
292.768	567.5
293.157	556.8
293.547	568
293.936	552.8
294.326	546.8
294.716	554.9
295.106	553.6
295.496	564.3
295.886	563.1
296.276	555.9
296.666	551.9
297.056	549
297.446	549.4
297.836	565.7
298.227	558
298.617	557.6
299.008	562.1
299.398	551
299.789	553.3
300.179	557.7
300.57	568.3
300.961	552.1
301.352	551.7
301.742	560.5
302.133	556.6
302.524	557.4
302.915	561.9
303.307	548.1
303.698	563.9
304.089	558.9
304.48	556.3
304.872	561.9
305.263	562.3
305.655	551.7
306.046	564.8
306.438	565.3
306.829	559.8
307.221	568.7
307.613	562.6
308.005	564.9
308.397	571
308.789	574.9
309.181	576
309.573	568.4
309.965	563.2
310.357	556.5
310.749	560.2
311.142	552.4
311.534	552.4
311.926	567.6
312.319	560.9
312.711	551.5
313.104	574.6
313.497	559.6
313.889	599.9
314.282	580.9
314.675	605.4
315.068	614.7
315.461	649
315.854	685
316.247	666.1
316.64	661.8
317.033	663.5
317.405	671.8
317.798	669.3
318.192	665.9
318.585	651.2
318.979	630.7
319.372	592.4
319.766	577.4
320.16	582.1
320.553	587.6
320.947	592.7
321.341	566.2
321.735	568.6
322.129	557.9
322.523	587.6
322.917	561.3
323.311	569.1
323.705	566.8
324.099	571.5
324.494	578.3
324.888	572.6
325.282	561.3
325.677	569.5
326.071	574.4
326.466	576.3
326.861	568.3
327.255	576.2
327.65	572.6
328.045	581.5
328.44	572.3
328.835	572.4
329.23	562.1
329.625	591.4
330.02	565.9
330.415	591.1
330.81	576.2
331.206	575.5
331.601	570.1
331.996	577.3
332.37	580.1
332.766	565.8
333.161	592
333.557	563.4
333.953	568.7
334.348	951
334.744	576.4
335.14	571.2
335.536	572.7
335.932	593
336.328	596.1
336.724	611.4
337.12	610.6
337.516	614
337.913	611.3
338.309	625.4
338.705	613
339.102	612.1
339.498	602.7
339.895	610.1
340.291	583
340.688	588.6
341.085	569.3
341.481	566.8
341.878	574.6
342.275	588.7
342.672	565.6
343.069	561.1
343.466	558.2
343.842	582.2
344.239	561.3
344.636	570.7
345.033	560
345.431	566.5
345.828	563.7
346.225	564.2
346.623	577.1
347.02	567.2
347.418	575.5
347.816	581.8
348.213	559.6
348.611	570.5
349.009	567.1
349.407	580.4
349.805	565.2
350.203	561.6
350.601	576.3
350.999	565.8
351.397	562.8
351.795	572.4
352.193	581.4
352.57	577.5
352.969	582.5
353.367	559.2
353.766	558
354.164	567.5
354.563	570.6
354.961	566.5
355.36	567.4
355.759	571.3
356.158	565.9
356.557	567.4
356.956	558
357.355	556.9
357.754	571.6
358.153	576.7
358.552	586.4
358.951	569.8
359.35	578
359.75	566.6
360.149	562.8
360.527	554.6
360.926	559.6
361.326	569.5
361.726	572.1
362.125	564.5
362.525	575.2
362.925	566.8
363.325	571.5
363.724	571.3
364.124	563.8
364.524	568
364.924	573.6
365.324	587.3
365.725	571.3
366.125	607.6
366.525	678.8
366.904	916.3
367.304	1261.2
367.705	1542
368.105	1693.1
368.506	1812
368.906	1887.4
369.307	1920.7
369.708	1946
370.108	1954.6
370.509	1883.5
370.91	1599.4
371.311	1314.2
371.712	1081
372.113	898.3
372.514	770.5
372.894	707.5
373.295	663.7
373.696	643.5
374.097	625
374.499	631.4
374.9	592.9
375.301	582.1
375.703	586
376.105	573.1
376.506	579.8
376.908	580.6
377.309	579.9
377.711	579.3
378.113	576.5
378.493	575.3
378.895	575.1
379.297	581.5
379.699	566.9
380.102	579.9
380.504	579.2
380.906	573
381.308	603
381.71	595.8
382.113	599.6
382.515	594.2
382.918	601.7
383.299	604.8
383.701	607.6
384.104	606.1
384.507	589.7
384.909	601.4
385.312	592.2
385.715	593.6
386.118	595.3
386.521	589.5
386.924	603
387.327	590.1
387.709	583.2
388.112	574.7
388.515	587.3
388.918	586.1
389.322	588
389.725	579.6
390.129	595.9
390.532	585.6
390.936	578.9
391.339	572.1
391.743	581.5
392.125	568.5
392.529	582
392.933	592.3
393.337	578.9
393.74	573.1
394.144	579.9
394.548	573.9
394.953	571.9
395.357	586.7
395.761	574.5
396.144	581.1
396.548	571.1
396.952	572.9
397.357	576.5
397.761	569
398.166	574.1
398.57	576
398.975	571.5
399.379	579.3
399.763	618.2
400.168	579.4
400.572	576.8
400.977	582.7
401.382	600.8
401.787	597.6
402.192	603.7
402.597	599.7
403.002	583.7
403.386	605.1
403.791	626.4
404.197	605.6
404.602	625.5
405.007	657.4
405.413	734
405.818	921.1
406.224	1399.4
406.608	2130.2
407.014	2724.8
407.42	3167.1
407.825	3441.3
408.231	3678.2
408.637	3816.1
409.043	3887
409.449	3895.4
409.834	3746.2
410.24	3238.7
410.646	2637.3
411.052	2136.2
411.458	1789.3
411.865	1551.3
412.271	1375.6
412.677	1236
413.062	1141.6
413.469	1036.7
413.875	999.8
414.282	939
414.689	921.3
415.095	911.7
415.502	918.5
415.888	924.4
416.294	918.6
416.701	974.7
417.108	950.5
417.515	982.9
417.923	1002.4
418.33	1033.9
418.715	1047.1
419.123	1063.3
419.53	1085.6
419.937	1108.5
420.345	1148.1
420.752	1146.4
421.16	1178.8
421.546	1194.4
421.953	1207
422.361	1210.9
422.769	1231.7
423.177	1242.9
423.585	1292.1
423.992	1303.4
424.379	1323.6
424.787	1346.6
425.195	1382.2
425.603	1385.5
426.011	1429.7
426.419	1443.4
426.806	1468.1
427.214	1498.7
427.623	1531.7
428.031	1571
428.44	1607.5
428.848	1646.8
429.235	1675.5
429.644	1696.9
430.053	1736.1
430.461	1795.9
430.87	1832.4
431.279	1855.8
431.666	1889.3
432.075	1913.3
432.484	1963.2
432.893	1991.6
433.302	2056.6
433.711	2097.9
434.099	2116.6
434.508	2147.3
434.918	2184.8
435.327	2278
435.737	2366.9
436.125	2598.2
436.534	3114.3
436.944	4406.1
437.353	6879.8
437.763	9680
438.173	11722.6
438.561	13086.3
438.971	14111.7
439.381	14836.8
439.791	15248.2
440.201	15361
440.589	14909.7
440.999	13344.2
441.409	10768
441.819	8493.6
442.23	6869.8
442.619	5664.7
443.029	4768.4
443.439	4124.8
443.85	3702.3
444.26	3420.9
444.649	3207.6
445.06	3072.5
445.471	3008
445.881	3019.1
446.292	3024.1
446.682	3047.9
447.092	3014.8
447.503	3081.2
447.914	3056.2
448.325	3087.3
448.715	3094.5
449.126	3107.1
449.537	3108.6
449.948	3118.6
450.338	3149.1
450.75	3158.4
451.161	3157.5
451.572	3191.4
451.984	3175.6
452.374	3184.6
452.786	3187.6
453.197	3221
453.609	3216.5
453.999	3194.8
454.411	3206.5
454.823	3222.6
455.235	3224.2
455.647	3228.8
456.037	3239.5
456.449	3241
456.862	3249.2
457.274	3240.5
457.665	3222.8
458.077	3239.5
458.489	3227.5
458.902	3222.8
459.293	3220.4
459.705	3200.5
460.118	3199.2
460.53	3197.7
460.921	3194.4
461.334	3183.1
461.747	3171.3
462.16	3167.4
462.551	3155.2
462.964	3136.6
463.377	3097.1
463.79	3103.8
464.182	3088.4
464.595	3052.6
465.008	3062
465.421	3046.8
465.813	3033.6
466.226	3011.4
466.64	3015.7
467.053	3038.5
467.445	2981.9
467.859	2965.6
468.272	2967.3
468.686	2962.7
469.078	2933.8
469.492	2914.4
469.906	2897.7
470.298	2889.5
470.712	2860.4
471.126	2882
471.54	2802.2
471.933	2805.2
472.347	2768.6
472.761	2729.4
473.175	2709.4
473.568	2693.3
473.982	2670.6
474.397	2659
474.79	2635.2
475.204	2621.4
475.619	2581
476.033	2576.3
476.426	2559.6
476.841	2534
477.256	2542.5
477.649	2490.4
478.064	2472.2
478.479	2453.8
478.872	2408.7
479.287	2411.8
479.702	2396
480.118	2384.7
480.511	2376.6
480.927	2368.4
481.342	2365.1
481.736	2384.7
482.151	2416.4
482.566	2491.2
482.96	2581.5
483.376	2750.4
483.792	2900.8
484.186	3119.8
484.602	3364.7
485.017	3659.6
485.412	3963.2
485.827	4299.3
486.243	4729.9
486.638	5342.3
487.054	6113.5
487.47	6890.8
487.865	7555.1
488.281	8083.7
488.697	8575
489.092	9011.8
489.508	9356.1
489.925	9614.9
490.32	9615.8
490.736	9444.9
491.153	9282.7
491.548	9211.2
491.964	9126.1
492.381	9019.5
492.776	8914.6
493.193	8856.1
493.61	8833.2
494.006	8793
494.422	8712
494.84	8533
495.235	8215.1
495.652	7904.5
496.069	7602.3
496.465	7285.4
496.883	6955
497.3	6666.2
497.696	6361
498.113	6115.9
498.509	5892.2
498.927	5722
499.344	5549.1
499.741	5391.9
500.158	5290.8
500.576	5146.1
500.973	4998.3
501.39	4796.3
501.787	4592.2
502.205	4373.4
502.623	4149.6
503.02	3945.3
503.438	3739
503.856	3522.6
504.253	3330.2
504.671	3140.3
505.068	2917.9
