#lambda/nm	C1
208.295	475
208.67	438.4
209.045	401
209.419	407.4
209.794	558
210.169	537.8
210.544	640.9
210.919	552.2
211.295	538.4
211.67	549
212.045	546.4
212.421	549.8
212.796	571.3
213.172	542.2
213.547	543.2
213.923	544.7
214.299	542.3
214.675	553.5
215.051	552.2
215.427	551.2
215.803	559
216.179	550.9
216.555	544.8
216.932	561.5
217.308	546.2
217.684	545.8
218.061	551.3
218.438	553.4
218.814	541.9
219.191	555.5
219.568	540.6
219.945	546.5
220.322	552.1
220.699	553.5
221.076	556.7
221.453	551
221.83	539.7
222.208	544.9
222.585	546
222.962	548.5
223.34	552.5
223.717	545.2
224.095	547.1
224.473	546.9
224.851	545.1
225.229	538.3
225.607	560.3
225.985	532.6
226.363	548.2
226.741	547.5
227.119	548.7
227.497	562.7
227.876	540.6
228.254	552.9
228.633	552.9
229.011	548.7
229.39	554.4
229.769	546.1
230.148	557.7
230.527	565.1
230.905	551
231.284	554.7
231.664	543.6
232.043	559.5
232.422	551.7
232.801	545.3
233.181	553.2
233.56	542.4
233.94	548.2
234.319	537.4
234.699	545
235.079	577.6
235.458	578.5
235.838	564.9
236.218	543.1
236.598	540.2
236.978	545.5
237.358	543.3
237.738	544.6
238.119	556.2
238.499	539.5
238.88	552.3
239.26	565.1
239.641	536.6
240.021	544.3
240.402	548.2
240.783	546.8
241.163	550.8
241.544	551.4
241.925	544.1
242.306	557.5
242.687	540
243.069	548.8
243.45	557.3
243.831	544.2
244.212	547.4
244.594	578
244.975	554.4
245.357	547.9
245.739	549
246.12	552.3
246.502	553.5
246.884	546.2
247.266	545.9
247.648	548.7
248.03	565.5
248.412	549.6
248.794	554.7
249.176	543.9
249.559	561
249.941	542.8
250.323	540.1
250.706	540.1
251.089	544.3
251.471	551.7
251.854	546.7
252.237	550
252.62	552.5
253.002	550.2
253.385	544.1
253.769	557.7
254.152	549.2
254.535	556
254.918	545.4
255.301	546.7
255.685	542.2
256.068	537.1
256.452	566.9
256.835	550.8
257.219	553.1
257.603	553.2
257.986	542.5
258.37	551.2
258.754	538.2
259.138	552.1
259.522	549.8
259.906	548.3
260.29	552.1
260.675	544.7
261.059	549.3
261.443	545.1
261.828	554.4
262.212	549.4
262.597	534.6
262.981	545.8
263.366	553
263.751	550.8
264.136	541
264.521	550.9
264.906	536.8
265.291	558.1
265.676	543.4
266.061	556.3
266.446	558.4
266.831	547.7
267.217	566.3
267.602	553.2
267.987	550.8
268.373	545.2
268.759	551.6
269.144	550.7
269.53	545.7
269.916	546.8
270.302	541.9
270.688	546
271.074	547
271.46	553
271.846	577.7
272.232	545.6
272.618	544
273.004	544.1
273.391	547.9
273.777	560.5
274.164	552.1
274.55	556.8
274.937	546.9
275.324	544.1
275.71	551.2
276.097	548.7
276.484	540.3
276.871	549.1
277.258	551.3
277.645	541.6
278.032	545.1
278.419	544.9
278.807	553.8
279.194	542.8
279.581	539.8
279.969	554
280.356	543.3
280.744	548.6
281.131	566.3
281.519	558.4
281.907	546.2
282.295	547.5
282.682	555.8
283.07	549.7
283.458	553.3
283.846	550.8
284.235	555.9
284.623	549.5
285.011	538.3
285.399	548.1
285.788	545.1
286.176	537.4
286.565	554.3
286.953	543.7
287.342	545.4
287.731	540.6
288.119	543.8
288.508	548.9
288.897	552.6
289.286	538.5
289.675	548.6
290.064	558
290.453	544.2
290.821	548.3
291.21	562.2
291.599	544.8
291.989	553.1
292.378	556.2
292.768	557.8
293.157	552.9
293.547	555
293.936	543.3
294.326	541.1
294.716	550.8
295.106	551.6
295.496	553.6
295.886	552.2
296.276	540.7
296.666	538.2
297.056	541.4
297.446	537.6
297.836	559
298.227	548.8
298.617	546.2
299.008	560.2
299.398	549.8
299.789	542.9
300.179	549.4
300.57	562.7
300.961	541.3
301.352	541.9
301.742	556.4
302.133	552.4
302.524	544.1
302.915	550.5
303.307	543.5
303.698	555.2
304.089	551.8
304.48	546.4
304.872	551.9
305.263	550.4
305.655	543.7
306.046	549.6
306.438	555.8
306.829	548.2
307.221	558.1
307.613	549.7
308.005	555.9
308.397	558.6
308.789	570
309.181	567.7
309.573	564.5
309.965	558.8
310.357	541.7
310.749	549.3
311.142	536.3
311.534	543
311.926	555.9
312.319	545.7
312.711	543.5
313.104	557.2
313.497	548.9
313.889	585.5
314.282	558
314.675	575.7
315.068	543.8
315.461	553.3
315.854	574.1
316.247	556.4
316.64	550.1
317.033	545
317.405	553.1
317.798	546.5
318.192	555.8
318.585	541
318.979	550.8
319.372	542.9
319.766	547.3
320.16	558.2
320.553	558.5
320.947	564.9
321.341	544.5
321.735	549.9
322.129	536.6
322.523	568
322.917	541.4
323.311	557.7
323.705	550.3
324.099	553.6
324.494	557.8
324.888	556.7
325.282	549.2
325.677	548.5
326.071	554.5
326.466	557.4
326.861	552.2
327.255	559.3
327.65	560.8
328.045	562.2
328.44	552.8
328.835	546.2
329.23	540.5
329.625	572.1
330.02	543.9
330.415	566.8
330.81	548
331.206	548.4
331.601	547.3
331.996	553.2
332.37	559.5
332.766	540.4
333.161	567.6
333.557	540.1
333.953	554.3
334.348	883.5
334.744	553.2
335.14	544.9
335.536	545.3
335.932	556.7
336.328	545.6
336.724	558.4
337.12	548.2
337.516	550
337.913	551.2
338.309	561.1
338.705	548.3
339.102	556.3
339.498	546.7
339.895	556.5
340.291	541.3
340.688	550.6
341.085	544.4
341.481	552.7
341.878	548.1
342.275	568.2
342.672	543.3
343.069	545.5
343.466	540.4
343.842	549.9
344.239	543.8
344.636	542.8
345.033	540.7
345.431	542.3
345.828	548
346.225	539.6
346.623	554.9
347.02	550.4
347.418	558.3
347.816	557.9
348.213	539.5
348.611	542.9
349.009	538.3
349.407	552.2
349.805	536.7
350.203	535.1
350.601	555.7
350.999	542.4
351.397	542.8
351.795	546.8
352.193	551.7
352.57	550.9
352.969	559
353.367	540.8
353.766	539
354.164	544.4
354.563	547.7
354.961	546.8
355.36	546.3
355.759	546.8
356.158	535.1
356.557	542.8
356.956	537.9
357.355	527
357.754	544.2
358.153	549.8
358.552	565.8
358.951	546.9
359.35	552.8
359.75	541.3
360.149	537.1
360.527	531.9
360.926	539.7
361.326	542.4
361.726	545.2
362.125	539.4
362.525	550.3
362.925	540.8
363.325	546.5
363.724	547
364.124	538.5
364.524	535.3
364.924	542
365.324	550.4
365.725	531.8
366.125	546.1
366.525	541.1
366.904	540.4
367.304	526.9
367.705	554.4
368.105	551
368.506	541.8
368.906	540.2
369.307	540.7
369.708	549
370.108	533.3
370.509	552.3
370.91	534.2
371.311	542.1
371.712	540.2
372.113	543.5
372.514	527.9
372.894	539.5
373.295	539.5
373.696	552
374.097	547.3
374.499	569.6
374.9	544.9
375.301	533.1
375.703	540.2
376.105	536
376.506	542.2
376.908	541.1
377.309	536.3
377.711	541.2
378.113	534.6
378.493	542.6
378.895	535.8
379.297	543.5
379.699	536.3
380.102	541.7
380.504	546.1
380.906	535.9
381.308	559.8
381.71	537.4
382.113	548.5
382.515	534
382.918	541.5
383.299	537.5
383.701	541.8
384.104	543.9
384.507	522.8
384.909	536.5
385.312	530.5
385.715	531.8
386.118	537.7
386.521	531.4
386.924	547.6
387.327	535.4
387.709	526.8
388.112	530.5
388.515	539.9
388.918	540.2
389.322	545.9
389.725	535.3
390.129	558.5
390.532	541.5
390.936	539.5
391.339	535.2
391.743	539.2
392.125	540.1
392.529	549.2
392.933	553.5
393.337	542.9
393.74	532.5
394.144	544.9
394.548	533.7
394.953	540.5
395.357	546.1
395.761	534.9
396.144	540.9
396.548	539.3
396.952	542.1
397.357	540
397.761	538.7
398.166	536.2
398.57	536.3
398.975	538.1
399.379	545
399.763	583.2
400.168	537.8
400.572	540.4
400.977	538.1
401.382	552.5
401.787	545.4
402.192	553.3
402.597	550
403.002	528.2
403.386	551
403.791	550.5
404.197	537.1
404.602	543.5
405.007	540.3
405.413	536.8
405.818	533.4
406.224	533
406.608	536.2
407.014	535.9
407.42	553.6
407.825	532.8
408.231	546.8
408.637	538.2
409.043	550.6
409.449	534.1
409.834	536.4
410.24	539.2
410.646	548.7
411.052	542.8
411.458	550.5
411.865	538.9
412.271	545.3
412.677	540.5
413.062	543.3
413.469	534.9
413.875	561.8
414.282	555.8
414.689	543.5
415.095	542.8
415.502	539.2
415.888	542.3
416.294	528.6
416.701	575.8
417.108	534.2
417.515	550.4
417.923	537.5
418.33	554.5
418.715	544.4
419.123	538.7
419.53	539.3
419.937	540.1
420.345	555.5
420.752	539.8
421.16	553.5
421.546	541.1
421.953	547.4
422.361	533.8
422.769	535.6
423.177	538.3
423.585	564.3
423.992	559.8
424.379	551.3
424.787	549.4
425.195	559.2
425.603	541.4
426.011	554.2
426.419	552.8
426.806	541.5
427.214	545.4
427.623	551.7
428.031	555.3
428.44	550.5
428.848	552.8
429.235	553.6
429.644	542.8
430.053	541.3
430.461	555.6
430.87	569.4
431.279	551.6
431.666	543.2
432.075	547.7
432.484	549.1
432.893	538.1
433.302	554.5
433.711	578
434.099	551.6
434.508	536.6
434.918	537.7
435.327	551.9
435.737	545.3
436.125	547
436.534	544.5
436.944	547.4
437.353	544.2
437.763	563.9
438.173	537.7
438.561	555.6
438.971	534.9
439.381	544.8
439.791	546.8
440.201	528.4
440.589	551.6
440.999	551.4
441.409	550.2
441.819	540.8
442.23	559.9
442.619	561.8
443.029	546.9
443.439	548.3
