#lambda/nm	C1
208.295	472.1
208.67	442.3
209.045	400.1
209.419	403.4
209.794	557.4
210.169	542.9
210.544	643.9
210.919	557.3
211.295	540.9
211.67	545.2
212.045	544.8
212.421	546.8
212.796	578.2
213.172	544.8
213.547	544.7
213.923	547.1
214.299	547.7
214.675	551.1
215.051	551.4
215.427	550.2
215.803	564.4
216.179	552.7
216.555	542.8
216.932	556.3
217.308	551.1
217.684	549.4
218.061	550.7
218.438	550
218.814	547.2
219.191	558.7
219.568	542.8
219.945	548.1
220.322	551.8
220.699	553.8
221.076	552.5
221.453	547.4
221.83	541.1
222.208	548.6
222.585	547.6
222.962	547.3
223.34	554.7
223.717	553.7
224.095	540.4
224.473	549.9
224.851	539.9
225.229	539.9
225.607	562.2
225.985	540.8
226.363	549.6
226.741	545.2
227.119	548.5
227.497	563.8
227.876	539.3
228.254	558.4
228.633	555.9
229.011	550.9
229.39	550.9
229.769	550.9
230.148	553
230.527	561.3
230.905	550.9
231.284	551.8
231.664	542.2
232.043	559.5
232.422	551.8
232.801	543.8
233.181	556.4
233.56	548.5
233.94	558.6
234.319	539.9
234.699	547.4
235.079	576.7
235.458	576.2
235.838	559.5
236.218	544.7
236.598	537.1
236.978	539.4
237.358	540
237.738	543.3
238.119	549.1
238.499	535.7
238.88	543.8
239.26	563.1
239.641	540
240.021	543.4
240.402	552.4
240.783	550.7
241.163	544.8
241.544	547.3
241.925	543.7
242.306	561.8
242.687	541.1
243.069	549.6
243.45	551.4
243.831	536.5
244.212	549.1
244.594	577.6
244.975	551.8
245.357	547.4
245.739	544.6
246.12	547.9
246.502	558.6
246.884	545.6
247.266	542.8
247.648	556.2
248.03	570.4
248.412	551.5
248.794	549.6
249.176	544.6
249.559	554.3
249.941	545.4
250.323	538.4
250.706	541.7
251.089	549
251.471	549.4
251.854	552.3
252.237	549.8
252.62	555.1
253.002	551.4
253.385	553.6
253.769	557.6
254.152	546.8
254.535	547.9
254.918	543.4
255.301	549.7
255.685	550.6
256.068	539.9
256.452	570.3
256.835	554.1
257.219	555.3
257.603	569.5
257.986	539.3
258.37	554.8
258.754	537.1
259.138	553.9
259.522	558.1
259.906	548.5
260.29	548.5
260.675	547.6
261.059	549.7
261.443	543
261.828	557.3
262.212	553.6
262.597	539.4
262.981	549.7
263.366	550.7
263.751	547.5
264.136	540.9
264.521	545.5
264.906	547.7
265.291	557.2
265.676	548.3
266.061	552.1
266.446	567.8
266.831	548.4
267.217	566.5
267.602	554.1
267.987	552.3
268.373	543.9
268.759	552.8
269.144	552.9
269.53	551.7
269.916	544.9
270.302	543.7
270.688	546.1
271.074	551.9
271.46	557.5
271.846	574.6
272.232	549.5
272.618	548
273.004	554.8
273.391	555
273.777	558.6
274.164	550
274.55	561.8
274.937	553.5
275.324	549
275.71	554.8
276.097	553.5
276.484	545
276.871	552.9
277.258	556.1
277.645	540
278.032	546.3
278.419	544.9
278.807	555
279.194	547
279.581	543.2
279.969	551.9
280.356	552.8
280.744	553.7
281.131	569.1
281.519	556.7
281.907	544.3
282.295	546
282.682	558.4
283.07	553.4
283.458	555.4
283.846	560.3
284.235	559.4
284.623	558.9
285.011	540
285.399	552.5
285.788	545.5
286.176	536.5
286.565	558.5
286.953	542.3
287.342	540.7
287.731	544.7
288.119	539.7
288.508	548.8
288.897	551
289.286	533.6
289.675	547.8
290.064	556.9
290.453	549.6
290.821	549.5
291.21	561
291.599	547.7
291.989	549.7
292.378	555.1
292.768	570.5
293.157	556.2
293.547	558.9
293.936	548.7
294.326	544
294.716	550.5
295.106	548.8
295.496	553.5
295.886	556.6
296.276	545.8
296.666	544.9
297.056	540.3
297.446	539.7
297.836	559.8
298.227	544.9
298.617	550.7
299.008	557.3
299.398	545
299.789	540.7
300.179	549
300.57	560.9
300.961	542.9
301.352	543.3
301.742	548.4
302.133	545.4
302.524	543.9
302.915	546
303.307	537.2
303.698	551.8
304.089	552.2
304.48	545.9
304.872	552.7
305.263	553.4
305.655	541.8
306.046	554.2
306.438	555.7
306.829	547.5
307.221	562.5
307.613	558.3
308.005	558.1
308.397	558.5
308.789	566.7
309.181	569.7
309.573	559.6
309.965	557.3
310.357	545.8
310.749	550.1
311.142	545.8
311.534	542.4
311.926	557
312.319	547.1
312.711	544
313.104	562.2
313.497	547.6
313.889	585.4
314.282	562.9
314.675	570.2
315.068	549
315.461	558.3
315.854	573.2
316.247	554.1
316.64	548.5
317.033	546.6
317.405	557.2
317.798	549.6
318.192	551.5
318.585	544.4
318.979	557.8
319.372	545.6
319.766	547.8
320.16	557.9
320.553	561.9
320.947	562.9
321.341	550.4
321.735	545.6
322.129	542
322.523	572.3
322.917	540.4
323.311	555.6
323.705	547.2
324.099	550
324.494	559.5
324.888	558.4
325.282	552.2
325.677	554.8
326.071	556.3
326.466	559.9
326.861	561.3
327.255	559.8
327.65	561.5
328.045	566
328.44	547.8
328.835	549.1
329.23	547.7
329.625	567.6
330.02	544.9
330.415	566.6
330.81	551.4
331.206	547.6
331.601	542.1
331.996	562.4
332.37	556.1
332.766	538.4
333.161	566.8
333.557	546.8
333.953	551.5
334.348	846.1
334.744	551.3
335.14	547.3
335.536	541.5
335.932	564.1
336.328	546.4
336.724	560.8
337.12	547.5
337.516	555.3
337.913	547.4
338.309	556.2
338.705	546.7
339.102	561.7
339.498	551.2
339.895	560
340.291	541.2
340.688	554.9
341.085	540.8
341.481	543.9
341.878	546.2
342.275	563.7
342.672	541.7
343.069	543.5
343.466	537.7
343.842	555.4
344.239	542.3
344.636	550.7
345.033	539.9
345.431	542.2
345.828	549.6
346.225	539.1
346.623	556.8
347.02	545.9
347.418	556.3
347.816	556
348.213	538
348.611	555.4
349.009	543.1
349.407	559.5
349.805	539.4
350.203	537.6
350.601	558.1
350.999	545.5
351.397	542.7
351.795	551.3
352.193	554.3
352.57	555.6
352.969	554.3
353.367	542.8
353.766	542.1
354.164	546.8
354.563	554.3
354.961	546.7
355.36	548.2
355.759	548.1
356.158	535.7
356.557	544.1
356.956	543.6
357.355	536.2
357.754	548.6
358.153	551.8
358.552	569.3
358.951	546.6
359.35	558.3
359.75	545
360.149	537.5
360.527	538.8
360.926	537.5
361.326	546.3
361.726	543.5
362.125	538.5
362.525	548.8
362.925	543.6
363.325	544.3
363.724	547.8
364.124	541.3
364.524	539.7
364.924	543.8
365.324	553.2
365.725	535.5
366.125	546.9
366.525	544.9
366.904	541.3
367.304	530.4
367.705	556.1
368.105	556.4
368.506	543.6
368.906	542.6
369.307	542.3
369.708	553.8
370.108	533.6
370.509	550.1
370.91	536.6
371.311	550.5
371.712	545.2
372.113	547.6
372.514	535.3
372.894	542.6
373.295	537.2
373.696	545
374.097	547.4
374.499	569.1
374.9	543.4
375.301	540.3
375.703	544.5
376.105	536.5
376.506	546.8
376.908	543.3
377.309	545.1
377.711	545.5
378.113	532.9
378.493	539.4
378.895	535.8
379.297	549.1
379.699	529.6
380.102	543.9
380.504	542
380.906	535.2
381.308	559.8
381.71	542.1
382.113	544
382.515	535.8
382.918	542.7
383.299	541.8
383.701	541.3
384.104	543.1
384.507	525.5
384.909	538.8
385.312	533
