 #lambda/nm	C1
208.295	473.3
208.67	437.2
209.045	401.6
209.419	409.4
209.794	594.5
210.169	578.5
210.544	695.5
210.919	596.6
211.295	584.3
211.67	591.4
212.045	586.1
212.421	584.8
212.796	626.3
213.172	585.3
213.547	587.8
213.923	583.9
214.299	584.2
214.675	593.4
215.051	594.2
215.427	595.2
215.803	609.1
216.179	592.5
216.555	576.9
216.932	598.8
217.308	588.3
217.684	585.2
218.061	590.3
218.438	588.6
218.814	583.6
219.191	594.2
219.568	578.1
219.945	584.6
220.322	587.7
220.699	586.8
221.076	595.6
221.453	587.2
221.83	575.8
222.208	578.6
222.585	582.4
222.962	585.7
223.34	589.3
223.717	583.9
224.095	582
224.473	588.9
224.851	580.9
225.229	580.4
225.607	608.8
225.985	576.4
226.363	591.9
226.741	587.4
227.119	591.6
227.497	600.6
227.876	579.7
228.254	592.2
228.633	594.2
229.011	588.2
229.39	597.6
229.769	594
230.148	595.4
230.527	607
230.905	589.4
231.284	590.9
231.664	581.1
232.043	596.5
232.422	592.5
232.801	582.2
233.181	592.7
233.56	577.7
233.94	590.4
234.319	575.6
234.699	587.5
235.079	627.2
235.458	623.5
235.838	610.4
236.218	580.7
236.598	576.2
236.978	583.2
237.358	582
237.738	583.5
238.119	591.7
238.499	579.7
238.88	588.8
239.26	603.1
239.641	577.7
240.021	590.8
240.402	585
240.783	588.5
241.163	587.5
241.544	591.3
241.925	585.4
242.306	602.7
242.687	582.6
243.069	594
243.45	598.2
243.831	584.8
244.212	587.1
244.594	622.4
244.975	593
245.357	588.1
245.739	584.4
246.12	591.3
246.502	601.1
246.884	585.5
247.266	586.7
247.648	589.8
248.03	611.3
248.412	589.2
248.794	595.5
249.176	587.4
249.559	607.1
249.941	585.8
250.323	578.6
250.706	584.5
251.089	592.5
251.471	587.1
251.854	587.1
252.237	586.1
252.62	596.8
253.002	592.5
253.385	586.2
253.769	598.8
254.152	587.3
254.535	593.5
254.918	583.2
255.301	584.1
255.685	585.8
256.068	582.9
256.452	606
256.835	601.7
257.219	597
257.603	600
257.986	576.7
258.37	592.3
258.754	582.4
259.138	594
259.522	598.3
259.906	585.1
260.29	596.9
260.675	585.4
261.059	592.6
261.443	583
261.828	594.8
262.212	592.7
262.597	578.3
262.981	584.5
263.366	598.9
263.751	594.2
264.136	580.2
264.521	582.4
264.906	582.1
265.291	596.9
265.676	582.2
266.061	594
266.446	610.8
266.831	596.5
267.217	605.7
267.602	591.4
267.987	591.8
268.373	587.4
268.759	595.7
269.144	593.4
269.53	585.5
269.916	582.5
270.302	582.5
270.688	591.8
271.074	587.8
271.46	597.4
271.846	620.1
272.232	587.5
272.618	582.6
273.004	589.6
273.391	599.6
273.777	598.5
274.164	589.2
274.55	601.9
274.937	591.5
275.324	589.3
275.71	598.9
276.097	593.3
276.484	583.3
276.871	593
277.258	596.8
277.645	581.7
278.032	589
278.419	588.1
278.807	596.8
279.194	588.8
279.581	585.3
279.969	593.6
280.356	596.2
280.744	592.7
281.131	614.3
281.519	602.2
281.907	580.6
282.295	591
282.682	605.1
283.07	589.3
283.458	597.1
283.846	600.7
284.235	603.2
284.623	596.4
285.011	581.1
285.399	589.5
285.788	591.3
286.176	584.5
286.565	601.6
286.953	585.4
287.342	593.2
287.731	584.6
288.119	585.9
288.508	587.2
288.897	591.2
289.286	573.4
289.675	589.9
290.064	599.9
290.453	589.2
290.821	593.6
291.21	608.2
291.599	589.5
291.989	597.8
292.378	596.7
292.768	613.3
293.157	595.8
293.547	599.7
293.936	585.7
294.326	585.1
294.716	588.2
295.106	584.8
295.496	593.7
295.886	595.7
296.276	593.6
296.666	580.2
297.056	588.3
297.446	576
297.836	608.2
298.227	589.6
298.617	594.6
299.008	603.2
299.398	587.6
299.789	582.3
300.179	591.2
300.57	607
300.961	586.4
301.352	586.6
301.742	594.2
302.133	593.2
302.524	589.2
302.915	596.2
303.307	589.2
303.698	600.2
304.089	598.4
304.48	595
304.872	595.7
305.263	588.1
305.655	584.4
306.046	598.2
306.438	596.3
306.829	583.1
307.221	604.7
307.613	593.9
308.005	599.5
308.397	604.3
308.789	611
309.181	620
309.573	605.3
309.965	605
310.357	592.8
310.749	596.7
311.142	588.8
311.534	591.1
311.926	597.3
312.319	591
312.711	579.9
313.104	606
313.497	586.4
313.889	625.7
314.282	604.5
314.675	611.1
315.068	593.6
315.461	595.5
315.854	617.6
316.247	597.2
316.64	589.3
317.033	586.2
317.405	604.2
317.798	588.9
318.192	593.8
318.585	578.2
318.979	597.1
319.372	590.2
319.766	585.2
320.16	600.7
320.553	603.4
320.947	611.8
321.341	588.1
321.735	583.2
322.129	582.6
322.523	611.3
322.917	584.5
323.311	602.9
323.705	595.4
324.099	604.4
324.494	607.8
324.888	599.9
325.282	586.9
325.677	593.9
326.071	598.1
326.466	606.7
326.861	594.7
327.255	608.1
327.65	606.5
328.045	610.2
328.44	591
328.835	591.2
329.23	586
329.625	623
330.02	585.9
330.415	616.6
330.81	593.5
331.206	594
331.601	584.8
331.996	599
332.37	601.8
332.766	584.5
333.161	610.8
333.557	582.7
333.953	586.9
334.348	881.6
334.744	592.7
335.14	591.3
335.536	589.1
335.932	602
336.328	590.6
336.724	603
337.12	588.9
337.516	596.8
337.913	589
338.309	610.6
338.705	590.9
339.102	603.5
339.498	586.1
339.895	604.6
340.291	588.7
340.688	599.4
341.085	585.4
341.481	590.1
341.878	586
342.275	615.7
342.672	580.1
343.069	585.9
343.466	579.8
343.842	598.1
344.239	585.5
344.636	588.7
345.033	580.8
345.431	582.7
345.828	593.6
346.225	581.9
346.623	596.2
347.02	589.5
347.418	592.6
347.816	600.6
348.213	579.7
348.611	592.2
349.009	580.3
349.407	599.8
349.805	574.9
350.203	571
350.601	598
350.999	583.2
351.397	582
351.795	589
352.193	596.4
352.57	595.7
352.969	604.5
353.367	581.6
353.766	581.8
354.164	585.2
354.563	593.5
354.961	590.4
355.36	584.9
355.759	588
356.158	582.2
356.557	582.1
356.956	577.3
357.355	576.4
357.754	594.4
358.153	594.2
358.552	606.9
358.951	584.9
359.35	593.8
359.75	585.4
360.149	584.1
360.527	570.8
360.926	578
361.326	588.5
361.726	580.6
362.125	575.8
362.525	588.6
362.925	584.2
363.325	590
363.724	591.9
364.124	586.4
364.524	581.8
364.924	588.2
365.324	594
365.725	567.3
366.125	592.4
366.525	583.5
366.904	573.9
367.304	570.1
367.705	599
368.105	596.2
368.506	581.7
368.906	585.1
369.307	588.6
369.708	590.7
370.108	574.9
370.509	592.9
370.91	580.2
371.311	585.3
371.712	586.9
372.113	590
372.514	572.4
372.894	581.3
373.295	582.2
373.696	587.1
374.097	590.1
374.499	616.4
374.9	585
375.301	577.8
375.703	586.6
376.105	574.3
376.506	586.8
376.908	589.4
377.309	588
377.711	587
378.113	579.7
378.493	586.7
378.895	577
379.297	598.6
379.699	574.7
380.102	592
380.504	588.8
380.906	581.6
381.308	605.4
381.71	586.2
382.113	588.1
382.515	584.3
382.918	584.3
383.299	579.1
383.701	592.9
384.104	581
384.507	569.8
384.909	580.1
385.312	578
385.715	574.7
386.118	584.4
386.521	574.6
386.924	592.8
387.327	582.8
387.709	573.9
388.112	565.5
388.515	582.2
388.918	580
389.322	592.3
389.725	584
390.129	606.6
390.532	587.2
390.936	575.8
391.339	576.2
391.743	586.9
392.125	570.2
392.529	585.6
392.933	598.8
393.337	585.5
393.74	580.2
394.144	584.7
394.548	580
394.953	578.9
395.357	593.2
395.761	585.1
396.144	584.6
396.548	583.4
396.952	580.1
397.357	585
397.761	572.9
398.166	577.7
398.57	576.5
398.975	570.8
399.379	583.7
399.763	638.3
400.168	585.8
400.572	581.7
400.977	581.5
401.382	605.4
401.787	591.7
402.192	602.2
402.597	594.8
403.002	575.2
403.386	593.5
403.791	600.6
404.197	577.1
404.602	589.6
405.007	581.6
405.413	585.2
405.818	571.9
406.224	580
406.608	582.2
407.014	576.8
407.42	599.9
407.825	572
408.231	588
408.637	589.1
409.043	598.4
409.449	576.2
409.834	569.9
410.24	582.1
410.646	593.5
411.052	589.1
411.458	587.9
411.865	589.8
412.271	592.6
412.677	584.7
413.062	587.5
413.469	574.1
413.875	609.1
414.282	592.7
414.689	585.2
415.095	588.6
415.502	583.3
415.888	578.5
416.294	565.4
416.701	628.2
417.108	573.9
417.515	592.5
417.923	581
418.33	603
418.715	594.3
419.123	584
419.53	579.6
419.937	582.7
420.345	594
420.752	579
421.16	595.6
421.546	584.2
421.953	595.1
422.361	578.6
422.769	583.1
423.177	575.2
423.585	607.7
423.992	601.9
424.379	596.7
424.787	594.5
425.195	602.7
425.603	583.5
426.011	598.8
426.419	597.3
426.806	587.6
427.214	596.7
427.623	605.2
428.031	604.8
428.44	597.6
428.848	605.8
429.235	615.4
429.644	607.9
430.053	611.9
