#lambda/nm	C1
208.295	470.4
208.67	441.1
209.045	401
209.419	411.4
209.794	596.3
210.169	577.3
210.544	694.8
210.919	595.8
211.295	580.5
211.67	594.1
212.045	579.7
212.421	579.2
212.796	616.5
213.172	580.7
213.547	583.8
213.923	581.3
214.299	584.3
214.675	594.5
215.051	588.7
215.427	590.7
215.803	611.2
216.179	589.6
216.555	579.8
216.932	595.8
217.308	590.1
217.684	584.3
218.061	593.1
218.438	593.7
218.814	583.9
219.191	594.7
219.568	579.2
219.945	582.4
220.322	595
220.699	594.8
221.076	599.5
221.453	598.7
221.83	573.5
222.208	579.8
222.585	583.6
222.962	590.2
223.34	590.5
223.717	588.2
224.095	582.9
224.473	588.4
224.851	582.8
225.229	575.6
225.607	607.2
225.985	576.5
226.363	593.3
226.741	594
227.119	590.3
227.497	601.9
227.876	574.5
228.254	598.7
228.633	599.8
229.011	581.8
229.39	585.9
229.769	588.7
230.148	599.6
230.527	609.4
230.905	588.8
231.284	588.6
231.664	584.9
232.043	595.1
232.422	594.3
232.801	581.1
233.181	595.6
233.56	582.7
233.94	588.8
234.319	577.7
234.699	585.6
235.079	630.9
235.458	625.3
235.838	601.8
236.218	571.7
236.598	576.7
236.978	583.5
237.358	583.8
237.738	581.7
238.119	594
238.499	575.5
238.88	581.6
239.26	597.9
239.641	582.6
240.021	578.2
240.402	586.8
240.783	578.9
241.163	581.1
241.544	587.4
241.925	585.9
242.306	598.8
242.687	583.3
243.069	587.6
243.45	598.8
243.831	582
244.212	584.4
244.594	622.7
244.975	593.9
245.357	592.5
245.739	579.4
246.12	589
246.502	601.6
246.884	586.8
247.266	591.4
247.648	593
248.03	609.2
248.412	589.6
248.794	596.3
249.176	593.3
249.559	596
249.941	583.7
250.323	584.5
250.706	576.1
251.089	589.8
251.471	591.8
251.854	586.4
252.237	587.7
252.62	596.4
253.002	587.9
253.385	580.7
253.769	603.8
254.152	590.5
254.535	600
254.918	580.7
255.301	591.4
255.685	593
256.068	580.3
256.452	611.7
256.835	594.1
257.219	594.2
257.603	602.1
257.986	577.1
258.37	594.9
258.754	585.8
259.138	599
259.522	596.3
259.906	585.6
260.29	594.9
260.675	594.7
261.059	591.6
261.443	579.9
261.828	596.8
262.212	593.8
262.597	580.3
262.981	583.9
263.366	595
263.751	588.9
264.136	580.9
264.521	582.8
264.906	579
265.291	594.8
265.676	587.7
266.061	595.5
266.446	604.8
266.831	592.2
267.217	614.4
267.602	592.3
267.987	592.3
268.373	585.9
268.759	599.1
269.144	594.7
269.53	589.9
269.916	587.7
270.302	586.6
270.688	596
271.074	595.2
271.46	609.4
271.846	618.2
272.232	588.9
272.618	582.3
273.004	590.6
273.391	597.4
273.777	606
274.164	596
274.55	600.4
274.937	596.3
275.324	589.4
275.71	594.5
276.097	596.6
276.484	583.8
276.871	598.1
277.258	594.5
277.645	576.4
278.032	591.1
278.419	589.2
278.807	594.7
279.194	588.6
279.581	581.3
279.969	594.9
280.356	594.2
280.744	595
281.131	613.7
281.519	598.6
