#lambda/nm	C1
208.295	470.5
208.67	437.5
209.045	400.5
209.419	406.6
209.794	597.4
210.169	576
210.544	704.6
210.919	596.5
211.295	578.6
211.67	594.2
212.045	586.8
212.421	585.2
212.796	628.7
213.172	588
213.547	586.3
213.923	589.2
214.299	585
214.675	600.9
215.051	593.9
215.427	595.6
215.803	614
216.179	599.4
216.555	583.1
216.932	596.8
217.308	587
217.684	591
218.061	594.6
218.438	593.4
218.814	588.9
219.191	596.5
219.568	584.8
219.945	590.3
220.322	596.3
220.699	597.1
221.076	601.7
221.453	594.4
221.83	583.2
222.208	583.6
222.585	586.2
222.962	590.6
223.34	595.3
223.717	589.4
224.095	589.4
224.473	593
224.851	584.1
225.229	573.1
225.607	604
225.985	577.7
226.363	587.2
226.741	592.7
227.119	587.9
227.497	604
227.876	581.4
228.254	594.8
228.633	598
229.011	590.2
229.39	599.9
229.769	591.1
230.148	596
230.527	611
230.905	592.3
231.284	591.6
231.664	591.7
232.043	609.7
232.422	601.8
232.801	588.2
233.181	589.1
233.56	587.8
233.94	587.9
234.319	575.9
234.699	587.7
235.079	627.3
235.458	633.6
235.838	601.9
236.218	582.9
236.598	578.4
236.978	588.8
237.358	580.4
237.738	580.5
238.119	602.3
238.499	583.1
238.88	592.8
239.26	611.4
239.641	575.7
240.021	589.7
240.402	590.8
240.783	594.1
241.163	583.5
241.544	586.7
241.925	596.5
242.306	607.5
242.687	583.6
243.069	589.2
243.45	598.8
243.831	588.9
244.212	584.7
244.594	626.6
244.975	596.1
245.357	594.9
245.739	584.4
246.12	590.9
246.502	605.8
246.884	584.1
247.266	587.7
247.648	594.1
248.03	613.3
248.412	592
248.794	593
249.176	588.4
249.559	602.5
249.941	582.1
250.323	582.3
250.706	584.1
251.089	595.9
251.471	598.6
251.854	595.5
252.237	588.7
252.62	592.6
253.002	593.7
253.385	596.8
253.769	605.9
254.152	594.4
254.535	599
254.918	578.3
255.301	591.4
255.685	592.3
256.068	584.6
256.452	610.3
256.835	599.3
257.219	599.1
257.603	603.9
257.986	582.5
258.37	598.2
258.754	585.2
259.138	596.1
259.522	601.7
259.906	588.1
260.29	594.7
260.675	582.2
261.059	597.3
261.443	586.7
261.828	597.4
262.212	595.1
262.597	584.4
262.981	588.5
263.366	603.8
263.751	597.4
264.136	587.7
264.521	587.6
264.906	584.8
265.291	598.8
265.676	585.6
266.061	598.3
266.446	612.7
