#lambda/nm	C1
208.295	471.1
208.67	439.5
209.045	403.6
209.419	406.3
209.794	591.8
210.169	574.4
210.544	694.8
210.919	591.5
211.295	582.5
211.67	592.1
212.045	581.6
212.421	583.1
212.796	621.5
213.172	584
213.547	586
213.923	583.4
214.299	585.8
214.675	599.8
215.051	591.1
215.427	587.4
215.803	607.4
216.179	593.4
216.555	579.4
216.932	594.9
217.308	586.3
217.684	589.9
218.061	589.5
218.438	589.2
218.814	580.8
219.191	590.9
219.568	582.8
219.945	585.9
220.322	596.1
220.699	592.9
221.076	596.9
221.453	596.1
221.83	581.7
222.208	585
222.585	584
222.962	589.5
223.34	594.8
223.717	592.3
224.095	584.7
224.473	589.5
224.851	585.5
225.229	580.2
225.607	605.7
225.985	581.9
226.363	588.4
226.741	588.1
227.119	584
227.497	601.1
227.876	584.3
228.254	595.8
228.633	594.7
229.011	589.8
229.39	596.2
229.769	592.2
230.148	595.1
230.527	605.7
230.905	584.5
231.284	593.6
231.664	584.6
232.043	601.3
232.422	595.5
232.801	579.6
233.181	592
233.56	587.1
233.94	587.3
234.319	577.5
234.699	588
235.079	626.7
235.458	625.7
235.838	606.7
236.218	577.6
236.598	571.6
236.978	585.7
237.358	580.9
237.738	585
238.119	595.9
238.499	579.6
238.88	591.6
239.26	601.3
239.641	574.8
240.021	586.4
240.402	585
240.783	587.1
241.163	582.4
241.544	585.1
241.925	588
242.306	598.2
242.687	580.9
243.069	586.3
243.45	592.9
243.831	577
244.212	585.3
244.594	620.7
244.975	596.5
245.357	590.6
245.739	580.9
246.12	588.8
246.502	600.5
246.884	585.6
247.266	580.5
247.648	590.9
248.03	613
248.412	590.2
248.794	600
249.176	579.7
249.559	593.9
249.941	578.6
250.323	579.3
250.706	583.5
251.089	586.5
251.471	586.9
251.854	588.5
252.237	586.2
252.62	599.3
253.002	590.5
253.385	588.4
253.769	607.1
254.152	595
254.535	597.3
254.918	582.7
255.301	582.3
255.685	590.5
256.068	581.1
256.452	613.1
256.835	598.3
257.219	594.1
257.603	601.4
257.986	577.2
258.37	591.9
258.754	581.6
259.138	600.9
259.522	603.4
259.906	589.4
260.29	596
260.675	586.8
261.059	590
261.443	582.2
261.828	592.4
262.212	592
262.597	583.5
262.981	581.4
263.366	599.8
263.751	590.3
264.136	586.6
264.521	584.9
264.906	579.5
265.291	595.9
265.676	588
266.061	594.7
266.446	609.3
266.831	587.3
267.217	610.6
267.602	588.9
267.987	587.8
268.373	585.3
268.759	598
269.144	590.5
269.53	588.1
269.916	586.7
270.302	586.8
270.688	589.9
271.074	588.8
271.46	599.4
271.846	618.7
272.232	586.5
272.618	580
273.004	589.8
273.391	597.6
273.777	596.3
274.164	587.3
274.55	603.4
274.937	588.7
275.324	583.5
275.71	597.3
276.097	600.7
276.484	583
276.871	592.1
277.258	595.8
277.645	575.9
278.032	590.9
278.419	590.4
278.807	596.3
279.194	582.1
279.581	584.4
279.969	598
280.356	591.9
280.744	590.1
281.131	618
281.519	599.4
281.907	582.6
282.295	585.4
282.682	600.4
283.07	595.2
283.458	597.3
283.846	606.9
284.235	604.2
284.623	601.7
285.011	584.7
285.399	588.8
285.788	589.5
286.176	581.6
286.565	597.7
286.953	582
287.342	585.9
287.731	587.1
288.119	583.2
288.508	584.6
288.897	590.5
289.286	578.4
289.675	591.1
290.064	597.4
290.453	585.3
290.821	589.8
291.21	601.5
291.599	586.2
291.989	590.4
292.378	600.2
292.768	608.5
293.157	597.4
293.547	595.6
293.936	587.7
294.326	583.3
294.716	591.1
295.106	589.2
295.496	586.1
295.886	592
296.276	592.1
296.666	585
