#lambda/nm	C1
208.295	471.6
208.67	444.2
209.045	399.7
209.419	407.7
209.794	602.4
210.169	575.3
210.544	697.4
210.919	595.4
211.295	586.8
211.67	596.6
212.045	587.8
212.421	591.5
212.796	625
213.172	584.9
213.547	590.5
213.923	586.3
214.299	585.6
214.675	599.9
215.051	594.4
215.427	591.6
215.803	606.8
216.179	592.1
216.555	584.1
216.932	600.3
217.308	591.3
217.684	584.1
218.061	597.4
218.438	590.8
218.814	586.2
219.191	598.9
219.568	579.1
219.945	588.3
220.322	593.9
220.699	593.6
221.076	599
221.453	596.6
221.83	585.3
222.208	588
222.585	580.3
222.962	590.2
223.34	591.9
223.717	589
224.095	593.8
224.473	595.8
224.851	586.7
225.229	581.8
225.607	606.7
225.985	577.2
226.363	595.8
226.741	593.7
227.119	589.1
227.497	605.6
227.876	575.3
228.254	599.1
228.633	601.4
229.011	592.7
229.39	594.3
229.769	594.1
230.148	597.2
230.527	608.7
230.905	586.4
231.284	587.4
231.664	590.7
232.043	605.6
232.422	599.5
232.801	587
233.181	591.8
233.56	588.6
233.94	592
234.319	573.7
234.699	587
235.079	633.1
235.458	630.8
235.838	608.5
236.218	586.5
236.598	580.2
236.978	586.3
237.358	582.1
237.738	589.4
238.119	595.7
238.499	580.5
238.88	590.8
239.26	603.5
239.641	580.6
240.021	591.8
240.402	592.2
240.783	591.1
241.163	586.6
241.544	599.2
241.925	588.9
242.306	605
242.687	589.1
243.069	589.9
243.45	597.4
243.831	588.3
244.212	585.9
244.594	625.8
244.975	597.6
245.357	597
245.739	587
246.12	590.6
246.502	607.7
246.884	592
247.266	590.7
247.648	593.2
248.03	610.9
248.412	595.3
248.794	597.8
249.176	592.8
249.559	601
249.941	582
250.323	580.5
250.706	578.1
251.089	587.6
251.471	595.8
251.854	592.4
252.237	589.2
252.62	597.2
253.002	592.4
253.385	594.1
253.769	606.4
254.152	591.4
254.535	598
254.918	583.5
255.301	588.7
255.685	587.1
256.068	584.6
256.452	614.7
256.835	596.3
257.219	596.5
257.603	608.7
257.986	589
258.37	593.4
258.754	581
259.138	596
259.522	601.7
259.906	592.5
260.29	597.5
260.675	589.2
261.059	598
261.443	579.5
261.828	595.7
262.212	594.3
262.597	581.3
262.981	584.8
263.366	601.8
263.751	593.5
264.136	586.8
264.521	590.9
264.906	587.4
265.291	603
265.676	586.8
266.061	595.8
266.446	604.8
266.831	591.9
267.217	611.5
267.602	594.2
267.987	597.1
268.373	585.9
268.759	598.3
269.144	591.1
269.53	589.2
269.916	587.1
270.302	581.9
270.688	595.1
271.074	595.9
271.46	603.4
271.846	622.5
272.232	592.5
272.618	585.8
273.004	586.3
273.391	604.4
273.777	601.7
274.164	597.6
274.55	607.8
274.937	597.7
275.324	594.3
275.71	603.7
276.097	597.2
276.484	589.4
276.871	592.3
277.258	596.9
277.645	582.8
278.032	593.2
278.419	586.4
278.807	596.3
279.194	583.6
279.581	585.9
279.969	601.4
280.356	592
280.744	594.7
281.131	623.5
281.519	599.8
281.907	586
282.295	589
282.682	605.8
283.07	594.3
283.458	602.3
283.846	608.2
284.235	604.6
284.623	605.2
285.011	585
285.399	591.3
285.788	594.1
286.176	583.8
286.565	606.7
286.953	591.2
287.342	593.3
287.731	582.1
288.119	589.7
288.508	586.8
288.897	592.2
289.286	573.1
289.675	595.6
290.064	600.7
290.453	587
290.821	593.6
291.21	611.8
291.599	587.7
291.989	596.1
292.378	595.3
292.768	615.5
293.157	597.7
293.547	602.3
293.936	596.5
294.326	591.6
294.716	592.3
295.106	590.6
295.496	603
295.886	599.1
296.276	593.2
296.666	582.8
297.056	586.9
297.446	585.2
297.836	615.6
298.227	586.8
298.617	596.9
299.008	602.4
299.398	595.4
299.789	591.1
300.179	599.9
300.57	602
300.961	590.2
301.352	594.4
301.742	603.7
302.133	596
302.524	596.8
302.915	599.9
303.307	584.1
303.698	605.5
304.089	604.2
304.48	596.4
304.872	597.5
305.263	594.6
305.655	588.5
306.046	594.6
306.438	595.6
306.829	588.7
307.221	605.1
307.613	598.8
308.005	607.8
308.397	600.9
308.789	618.9
309.181	619.7
309.573	609.4
309.965	603.7
310.357	591.4
310.749	600.8
311.142	586.2
311.534	585.9
311.926	600.8
312.319	588.3
312.711	590.1
313.104	605.5
313.497	586.5
313.889	633.5
314.282	610.1
314.675	617.4
315.068	597.6
315.461	592.3
315.854	624.2
316.247	596.3
316.64	596
317.033	595.9
317.405	600
317.798	593.5
318.192	594.2
318.585	592.8
318.979	598.3
319.372	585.2
319.766	594.7
320.16	605.9
320.553	606
320.947	617.4
321.341	588.1
321.735	596.3
322.129	579.5
322.523	615.9
322.917	584.3
323.311	604.1
323.705	594.8
324.099	598.3
324.494	610.2
324.888	602.5
325.282	591.1
325.677	596.4
326.071	600.7
326.466	604.8
326.861	600.5
327.255	605.4
327.65	612.1
328.045	612
328.44	596.1
328.835	591.2
329.23	589.2
329.625	624.5
330.02	588.8
330.415	619.2
330.81	598.5
331.206	597
331.601	591.2
331.996	595.7
332.37	601.2
332.766	587.9
333.161	617.5
333.557	593
333.953	596.2
334.348	997.4
334.744	594
335.14	590.2
335.536	589.3
335.932	606.6
336.328	591.6
336.724	604.7
337.12	592.4
337.516	598.7
337.913	594
338.309	607.8
338.705	592.3
339.102	609.9
339.498	590.6
339.895	602.5
340.291	590.1
340.688	599.1
341.085	589.3
341.481	591.4
341.878	590
342.275	617.4
342.672	585.8
343.069	583.5
343.466	577.8
343.842	601.2
344.239	589.4
344.636	592
345.033	578.8
345.431	582.3
345.828	594.2
346.225	584.4
346.623	605.8
347.02	587.1
347.418	594.6
347.816	602
348.213	582.9
348.611	593.6
349.009	582.2
349.407	605.1
349.805	584.8
350.203	579.3
350.601	601.7
350.999	587.5
351.397	582.4
351.795	595.3
352.193	598.6
352.57	594.4
352.969	596.5
353.367	583.8
353.766	584.3
354.164	582.8
354.563	597.4
354.961	588.5
355.36	585.9
355.759	586.5
356.158	580.4
356.557	588.3
356.956	584.1
357.355	582
357.754	595.2
358.153	596.5
358.552	613.3
358.951	588.1
359.35	596.2
359.75	581.2
360.149	578.9
360.527	575.5
360.926	577.8
361.326	585.3
361.726	587.5
362.125	581.6
362.525	593.2
