#lambda/nm	C1
208.295	480.4
208.67	444.2
209.045	406.8
209.419	412.1
209.794	581.1
210.169	562.2
210.544	677.9
210.919	580.5
211.295	570
211.67	584
212.045	576.4
212.421	577.4
212.796	614.5
213.172	575.6
213.547	572.1
213.923	576.3
214.299	576.6
214.675	588.7
215.051	578.2
215.427	579.6
215.803	595.3
216.179	580.4
216.555	568.4
216.932	585.3
217.308	575.4
217.684	580.1
218.061	586.9
218.438	581
218.814	573.2
219.191	584.3
219.568	570.5
219.945	573.3
220.322	581.8
220.699	585.7
221.076	590
221.453	582.4
221.83	569.7
222.208	579.6
222.585	573.4
222.962	576.5
223.34	584.5
223.717	579.7
224.095	574
224.473	582.9
224.851	573.3
225.229	572.5
225.607	589.7
225.985	569.1
226.363	584.2
226.741	583.4
227.119	585.7
227.497	593.5
227.876	570.6
228.254	589.6
228.633	587.3
229.011	581.1
229.39	584.1
229.769	579.9
230.148	589.3
230.527	597.1
230.905	581.5
231.284	585.5
231.664	580.2
232.043	593.1
232.422	586.5
232.801	568.6
233.181	587.3
233.56	581
233.94	576.7
234.319	567.1
234.699	582.4
235.079	614.2
235.458	617.5
235.838	592
236.218	577.8
236.598	572
236.978	575.4
237.358	575.5
237.738	579.2
238.119	587.1
238.499	566.7
238.88	576.4
239.26	590.9
239.641	568.7
240.021	574.9
240.402	578.1
240.783	574.9
241.163	578.6
241.544	577.1
241.925	576.2
242.306	590.8
242.687	567.9
243.069	580
243.45	588.4
243.831	573.3
244.212	578.1
244.594	614.6
244.975	590.2
245.357	581.7
245.739	581.5
246.12	580.3
246.502	592.3
246.884	577.7
247.266	580
247.648	583.3
248.03	600.4
248.412	583.2
248.794	587.4
249.176	577.1
249.559	595.2
249.941	572.1
250.323	575.1
250.706	578.1
251.089	575.8
251.471	585.4
251.854	579.6
252.237	581.6
252.62	591.3
253.002	582.4
253.385	580.2
253.769	594.3
254.152	583.1
254.535	589.4
254.918	574.2
255.301	577
255.685	577
256.068	567.6
256.452	601.8
256.835	585.3
257.219	594
257.603	588.5
257.986	576.5
258.37	584.1
258.754	566.6
259.138	581.8
259.522	592.7
259.906	580.4
260.29	583.8
260.675	579.8
261.059	580.9
261.443	570.8
261.828	589.3
262.212	587.1
262.597	564.9
262.981	578
263.366	589.3
263.751	582.3
264.136	579
264.521	576.2
264.906	574.6
265.291	589
265.676	577.9
266.061	584.2
266.446	597
266.831	581.2
267.217	601.1
267.602	587.2
267.987	579.1
268.373	573.7
268.759	591.7
269.144	586.5
269.53	583.6
269.916	577.7
270.302	579.1
270.688	592.9
271.074	580.6
271.46	593.9
271.846	608.4
272.232	580.3
272.618	578.5
273.004	579.7
273.391	586.9
273.777	595
274.164	582.2
274.55	593.1
274.937	580.5
275.324	576.3
275.71	588.1
276.097	593
276.484	571.9
276.871	584.4
277.258	582.2
277.645	573.1
278.032	579.5
278.419	581
278.807	583.6
279.194	573.5
279.581	575.5
279.969	586.3
280.356	584
280.744	586.3
281.131	604.2
281.519	590.3
281.907	577.7
282.295	576.2
282.682	592.5
283.07	580.6
283.458	588.7
283.846	596.2
284.235	591.1
284.623	594.3
285.011	575.2
285.399	583.2
285.788	583.1
286.176	571.3
286.565	591.7
286.953	578.7
287.342	577.6
287.731	577.2
288.119	572.8
288.508	580.5
288.897	581.4
289.286	572.1
289.675	584.6
290.064	593.9
290.453	581
290.821	585.4
291.21	599.5
291.599	585.6
291.989	581.7
292.378	591.3
292.768	597.9
293.157	585.6
293.547	588.9
293.936	576.7
294.326	577.3
294.716	587.1
295.106	579.6
295.496	591.8
295.886	589.7
296.276	579.1
296.666	577.8
297.056	578.5
297.446	567.1
297.836	602.2
298.227	578.6
298.617	586
299.008	598.7
299.398	576.4
299.789	575.4
300.179	587.7
300.57	588.6
300.961	574.7
301.352	577.1
301.742	591.1
302.133	584.7
302.524	582.1
302.915	579.6
303.307	570.5
303.698	594.3
304.089	583.5
304.48	577.1
304.872	586.3
305.263	586.5
305.655	574.7
306.046	585
306.438	584.8
306.829	576.8
307.221	597.3
307.613	588.2
308.005	585.5
308.397	591.2
308.789	603.8
309.181	606.8
309.573	596.5
309.965	594.2
310.357	576.7
310.749	582.7
311.142	573.6
311.534	575.8
311.926	589.6
312.319	584.3
312.711	580.4
313.104	590.1
313.497	578.5
313.889	618.4
314.282	592.7
314.675	605
315.068	582.3
315.461	591.1
315.854	611
316.247	582.8
316.64	584.3
317.033	584.1
317.405	585.6
317.798	590.2
318.192	591.9
318.585	575
318.979	585.4
319.372	575.6
319.766	580.7
320.16	589.8
320.553	593.9
320.947	604.1
321.341	584.4
321.735	583.9
322.129	571.4
322.523	605.9
322.917	575.5
323.311	588.9
323.705	581
324.099	583.5
324.494	594.8
324.888	593.4
325.282	580.2
325.677	579.7
326.071	585.1
326.466	594.4
326.861	583.6
327.255	587.9
327.65	588.6
328.045	597.6
328.44	585.2
328.835	585.1
329.23	581.3
329.625	610.8
330.02	579.7
330.415	602.7
330.81	586.8
331.206	582.6
331.601	578.1
331.996	590.5
332.37	597.8
332.766	571.5
333.161	602.9
333.557	578.2
333.953	583.3
334.348	953.3
334.744	582
335.14	577.9
335.536	576.4
335.932	594.7
336.328	582.2
336.724	588.5
337.12	582
337.516	580.3
337.913	578.4
338.309	593.8
338.705	586.1
339.102	586.6
339.498	580.9
339.895	593.2
340.291	582.3
340.688	587.2
341.085	572.8
341.481	579.1
341.878	576.1
342.275	599.4
342.672	572.6
343.069	574.1
343.466	569.9
343.842	590.4
344.239	572.9
344.636	585.1
345.033	576.4
345.431	570.9
345.828	582.2
346.225	577.3
346.623	586
347.02	580.1
347.418	590.1
347.816	592.8
348.213	574.3
348.611	581.2
349.009	576.3
349.407	586.4
349.805	572.4
350.203	576
350.601	592.9
350.999	575.7
351.397	575.4
351.795	578.4
352.193	584
352.57	586.4
