#lambda/nm	C1
208.295	477.9
208.67	442.6
209.045	401.6
209.419	412.5
209.794	585.1
210.169	560.3
210.544	674
210.919	583.6
211.295	570
211.67	578.7
212.045	573.1
212.421	578.8
212.796	612.8
213.172	572.3
213.547	573.8
213.923	571.9
214.299	581.5
214.675	586.8
215.051	576.3
215.427	575.2
215.803	593.5
216.179	581
216.555	570
216.932	578.5
217.308	574.3
217.684	571.8
218.061	582.2
218.438	577.4
218.814	566.4
219.191	583.2
219.568	570.3
219.945	569.8
220.322	579.8
220.699	580.6
221.076	581.4
221.453	575.6
221.83	567.7
222.208	566.2
222.585	576
222.962	571.8
223.34	581.4
223.717	574.8
224.095	572.5
224.473	582.2
224.851	573.3
225.229	565
225.607	589.4
225.985	565.7
226.363	579.2
226.741	581.8
227.119	574
227.497	594.7
227.876	566.6
228.254	585
228.633	578.7
229.011	579.8
229.39	585.1
229.769	581.2
230.148	581.7
230.527	595.3
230.905	579.4
231.284	579.1
231.664	573.8
232.043	589.5
232.422	580.1
232.801	575.2
233.181	586.4
233.56	572.2
233.94	581.3
234.319	567.5
234.699	571
235.079	609.6
235.458	609.1
235.838	593.9
236.218	570.2
236.598	570.5
236.978	571.4
237.358	572.1
237.738	573.5
238.119	587.8
238.499	568.2
238.88	576
239.26	591.7
239.641	568.1
240.021	573.8
240.402	577.6
240.783	577.7
241.163	574.2
241.544	580.6
241.925	576.3
242.306	591.7
242.687	575.4
243.069	584
243.45	586.3
243.831	575.1
244.212	572.1
244.594	605.6
244.975	588.3
245.357	583.8
245.739	578
246.12	584.2
246.502	589.5
246.884	572.5
247.266	573.6
247.648	580
248.03	597.9
248.412	584.6
248.794	581.7
249.176	567.8
249.559	581.1
249.941	571.9
250.323	573
250.706	570.7
251.089	572
251.471	577.9
251.854	577.8
252.237	575.5
252.62	585.1
253.002	580.2
253.385	574.9
253.769	593.3
254.152	572.2
254.535	586.1
254.918	567.8
255.301	576.1
255.685	576.2
256.068	568.7
256.452	600.8
256.835	584.8
257.219	582.6
257.603	587.5
257.986	571.5
258.37	581.6
258.754	569.2
259.138	586.5
259.522	588.6
259.906	571.3
260.29	578.4
260.675	581.2
261.059	576.1
261.443	566.4
261.828	586.5
262.212	585.4
262.597	567.5
262.981	573.2
263.366	587
263.751	575.3
264.136	570.1
264.521	575.3
264.906	572.8
265.291	586.7
265.676	575.3
266.061	586
266.446	593.3
266.831	579.3
267.217	594.9
267.602	583.3
267.987	580.4
268.373	573.5
268.759	584
269.144	582.1
269.53	573.6
269.916	571.3
270.302	574.8
270.688	575.8
271.074	580.4
271.46	588.1
271.846	604.4
272.232	578.5
272.618	571.4
273.004	571.9
273.391	586.5
273.777	586.8
274.164	577
274.55	594.9
274.937	586.7
275.324	577.5
275.71	582
276.097	583.5
276.484	573
276.871	579.9
277.258	581.1
277.645	571.7
278.032	575.7
278.419	573.2
278.807	581.2
279.194	574.6
279.581	572.5
279.969	580.6
280.356	579
280.744	580.9
281.131	601.9
281.519	581.8
281.907	572.9
282.295	579
282.682	585.8
283.07	577.6
283.458	583.2
283.846	584.9
284.235	594.1
284.623	590.4
285.011	575.4
285.399	576.5
285.788	579.1
286.176	574.8
286.565	592.1
286.953	580.4
287.342	576.3
287.731	571.4
288.119	569.9
288.508	574.1
288.897	574.6
289.286	567.9
289.675	579.5
290.064	586.8
290.453	582.4
290.821	580.5
291.21	596.8
291.599	571.6
291.989	576.3
292.378	585.6
292.768	591.8
293.157	586.2
293.547	585.5
293.936	578.3
294.326	578.5
294.716	581.2
295.106	574.5
295.496	580.1
295.886	587.7
296.276	576.2
296.666	569.9
297.056	569.3
297.446	568
297.836	599.4
298.227	574.7
298.617	576
299.008	589
299.398	573
299.789	573.1
300.179	581.5
300.57	594.9
300.961	572.2
301.352	576.2
301.742	588.6
302.133	581
302.524	577.1
302.915	581.4
303.307	573.4
303.698	585.4
304.089	584.4
304.48	579.7
304.872	581.3
305.263	575.1
305.655	572.2
306.046	579.9
306.438	588.5
306.829	573.9
307.221	591.3
307.613	581
308.005	584
308.397	588
308.789	599.1
309.181	600.7
309.573	595.9
309.965	589.3
310.357	574.2
310.749	578.4
311.142	577.1
311.534	574.3
311.926	578.6
312.319	578.1
312.711	568.4
313.104	587.1
313.497	573.7
313.889	611.1
314.282	587.5
314.675	600.6
315.068	582.7
315.461	580.4
315.854	610.4
316.247	580.4
316.64	570.5
317.033	579.9
317.405	584.2
317.798	578.6
318.192	580.3
318.585	572.1
318.979	580.7
319.372	570.2
319.766	575
320.16	594
320.553	596.7
320.947	595.6
321.341	565.6
321.735	577.7
322.129	568.9
322.523	601.8
322.917	569.5
323.311	584
323.705	584.1
324.099	581.3
324.494	589.7
324.888	595.6
325.282	579.3
325.677	587.4
326.071	588.8
326.466	595.7
326.861	586.2
327.255	589.8
327.65	594
328.045	595.5
328.44	581.1
328.835	577.3
329.23	576
329.625	600.2
330.02	580.1
330.415	603.9
330.81	578.3
331.206	584.4
331.601	573.5
331.996	595.6
332.37	589.2
332.766	575.3
333.161	597.6
333.557	574.5
333.953	582.3
334.348	868.1
334.744	582.8
335.14	568.6
335.536	575
335.932	590.8
336.328	575.4
336.724	587.2
337.12	578.4
337.516	585.1
337.913	582.3
338.309	601.7
338.705	580.8
339.102	587.7
339.498	573.8
339.895	585.9
340.291	576.3
340.688	586.2
341.085	571.4
341.481	576.3
341.878	577.2
342.275	594.9
342.672	567.2
343.069	572.1
343.466	564.2
343.842	587
344.239	577.4
344.636	576.9
345.033	575.9
345.431	566.9
345.828	575.9
346.225	577
346.623	588.4
347.02	585.4
347.418	583.1
347.816	593.5
348.213	569.8
348.611	589.4
349.009	575.5
349.407	586.8
349.805	569.3
350.203	564.4
350.601	585.8
350.999	575.1
351.397	570.3
351.795	573.2
352.193	586
352.57	583.4
352.969	589.3
353.367	571.9
353.766	569.6
354.164	574.1
354.563	586.2
354.961	578.6
355.36	571.5
355.759	577.2
356.158	568.5
356.557	570.1
356.956	568.2
357.355	563.3
357.754	575.3
358.153	587
358.552	594.9
358.951	575.1
359.35	586.9
359.75	579.5
360.149	564.1
360.527	559.9
360.926	568.4
361.326	571.2
361.726	573.8
362.125	570.7
362.525	579.9
362.925	565.3
363.325	577.7
363.724	577.1
364.124	566.7
364.524	569.9
364.924	571.2
365.324	581.2
365.725	555.9
366.125	573.7
366.525	569.9
366.904	570
367.304	551.5
367.705	594.2
368.105	582.6
368.506	570.2
368.906	573.7
369.307	569.7
369.708	581.6
370.108	564.1
370.509	579.8
370.91	562.7
371.311	574.9
371.712	576.9
372.113	571.8
372.514	564.3
372.894	567.8
373.295	568
373.696	579.1
374.097	581
374.499	599.4
374.9	573
375.301	565.1
375.703	580.5
376.105	570
376.506	574.6
376.908	576.8
377.309	569.3
377.711	572.9
378.113	565.4
378.493	573.7
378.895	569.1
379.297	579.3
379.699	562
380.102	574.2
380.504	574
380.906	571.3
381.308	597.7
381.71	572.5
382.113	579.5
382.515	572
382.918	576.5
383.299	572.5
383.701	578
384.104	577.4
384.507	555.6
384.909	571.8
385.312	558.8
385.715	562.5
386.118	567.3
386.521	562.7
386.924	578.3
387.327	566.6
387.709	561.6
388.112	553.7
388.515	567.8
388.918	571.7
389.322	576.2
389.725	567.6
390.129	586.9
390.532	572.4
390.936	564.3
391.339	559.8
391.743	569.3
392.125	558.6
392.529	576.1
392.933	578
393.337	572.1
393.74	563.4
394.144	570
394.548	567.2
394.953	565.4
395.357	574.1
395.761	567.5
396.144	570.9
396.548	567.6
396.952	569.2
397.357	573
397.761	567.1
398.166	570.4
398.57	567
398.975	565.4
399.379	574.6
399.763	609.7
400.168	573
400.572	572.7
400.977	568
401.382	580.9
401.787	575.2
402.192	584.9
402.597	580.4
403.002	555.6
403.386	583.6
403.791	585.7
404.197	570
404.602	576.1
405.007	572.2
405.413	566.5
405.818	565.7
406.224	563.3
406.608	568.5
407.014	565.1
407.42	583.3
407.825	567.8
