#lambda/nm	C1
208.295	486.9
208.67	451.4
209.045	409
209.419	416.1
209.794	595.5
210.169	574.2
210.544	698.2
210.919	593
211.295	581.8
211.67	591.6
212.045	580.4
212.421	588.4
212.796	623.8
213.172	583.8
213.547	584.5
213.923	589.4
214.299	581.2
214.675	597.2
215.051	591.6
215.427	598.1
215.803	609
216.179	597
216.555	583
216.932	597
217.308	586.9
217.684	592.6
218.061	597.8
218.438	593.4
218.814	586.8
219.191	596.9
219.568	582.1
219.945	589.6
220.322	591.8
220.699	593.5
221.076	599.3
221.453	590.5
221.83	584.8
222.208	586.8
222.585	585.1
222.962	591.7
223.34	594.4
223.717	584.5
224.095	582.5
224.473	593.4
224.851	584.7
225.229	582.3
225.607	603.5
225.985	580.3
226.363	597
226.741	592.6
227.119	584.7
227.497	606.8
227.876	577.9
228.254	594.7
228.633	595.4
229.011	588.4
229.39	594
229.769	590.8
230.148	591.6
230.527	605.6
230.905	584.8
231.284	590.4
231.664	578.4
232.043	596
232.422	592.3
232.801	589
233.181	597.1
233.56	587.2
233.94	592.6
234.319	572
234.699	590.2
235.079	620.6
235.458	630.2
235.838	608
236.218	581.1
236.598	579.1
236.978	583.3
237.358	580.3
237.738	587
238.119	600
238.499	583.5
238.88	583.8
239.26	605.1
239.641	581.6
240.021	588.3
240.402	592.1
240.783	585.8
241.163	589.4
241.544	590.7
241.925	588.3
242.306	605.9
242.687	586.3
243.069	588.8
243.45	596.6
243.831	586.2
244.212	590.8
244.594	629.5
244.975	596
245.357	594.2
245.739	588
246.12	592.6
246.502	606.6
246.884	589.6
247.266	588.8
247.648	593.2
248.03	612.2
248.412	595.2
248.794	601
249.176	589.6
249.559	600.7
249.941	586.3
250.323	578.1
250.706	580.8
251.089	592.2
251.471	597.6
251.854	594.6
252.237	594.9
252.62	596.7
253.002	590.1
253.385	590.1
253.769	606
254.152	593.5
254.535	598.8
254.918	585.3
255.301	589.3
255.685	590.1
256.068	585.6
256.452	615.9
256.835	597.1
257.219	600.3
257.603	600.3
257.986	584.6
258.37	599.2
258.754	583.9
259.138	595
259.522	602.5
259.906	589.8
260.29	589.7
260.675	588.8
261.059	596.2
261.443	576.7
261.828	593.3
262.212	594.6
262.597	577.8
262.981	583.4
263.366	593.7
263.751	593.3
264.136	583.5
264.521	589.8
264.906	582.5
265.291	604.8
265.676	585
266.061	592.5
266.446	612.7
266.831	588.1
267.217	613
267.602	593.8
267.987	594.7
268.373	583.1
268.759	594.6
269.144	588.9
269.53	589.8
269.916	587.7
270.302	586.7
270.688	593.1
271.074	589.8
271.46	604.2
271.846	616.6
272.232	590.7
272.618	583
273.004	591.4
273.391	597.2
273.777	600.4
274.164	586.7
274.55	605.9
274.937	596.7
275.324	584.1
275.71	590.4
276.097	596.6
276.484	580.8
276.871	586.1
277.258	592.5
277.645	574.3
278.032	588.2
278.419	582.7
278.807	591.9
279.194	584.2
279.581	577.4
279.969	595.8
280.356	591.8
280.744	592
281.131	611.6
281.519	599.1
281.907	593
282.295	588.7
282.682	604.4
283.07	591.2
283.458	602
283.846	598.9
284.235	599
284.623	599.9
285.011	583.9
285.399	589.3
285.788	586.9
286.176	578.2
286.565	603.1
286.953	586.5
287.342	585.4
287.731	584
288.119	580.9
288.508	582.3
288.897	589.8
289.286	582.2
289.675	596
290.064	602.3
290.453	585.1
290.821	589.2
291.21	604.2
291.599	583.3
291.989	592
292.378	597.5
292.768	611.7
293.157	596.2
293.547	598.2
293.936	586.8
294.326	588.5
294.716	594.8
295.106	587
295.496	593.7
295.886	601.8
296.276	588.3
296.666	583.8
297.056	585.5
297.446	583.1
297.836	609
298.227	593.3
298.617	597.5
299.008	604.9
299.398	589
299.789	584.6
300.179	597
300.57	601.2
300.961	586
301.352	586.9
301.742	597.5
302.133	589.1
302.524	593.4
302.915	589.5
303.307	587.1
303.698	601
304.089	598.8
304.48	589.1
304.872	601.3
305.263	592
305.655	585.7
306.046	596.8
306.438	594.3
306.829	592.6
307.221	605.1
307.613	593.4
308.005	595.5
308.397	605.9
308.789	614.6
309.181	612.5
309.573	603.5
309.965	600.2
310.357	589.8
310.749	600
311.142	589.8
311.534	576.6
311.926	597.3
312.319	591.8
312.711	583.9
313.104	609.1
313.497	591
313.889	633.9
314.282	607.1
314.675	611.9
315.068	593.8
315.461	599.7
315.854	621.8
316.247	602
316.64	592.1
317.033	600.1
317.405	599
317.798	592
318.192	597.3
318.585	582.8
318.979	598.2
319.372	586.5
319.766	591.6
320.16	600.9
320.553	607.7
320.947	615.6
321.341	585.5
321.735	593
322.129	579.1
322.523	616.3
322.917	586.3
323.311	607.1
323.705	597.3
324.099	600.6
324.494	602.7
324.888	598.8
325.282	590.1
325.677	594.6
326.071	600.8
326.466	600.2
326.861	600.5
327.255	607.7
327.65	595.9
328.045	602.8
328.44	594.7
328.835	594.4
329.23	584.6
329.625	614.4
330.02	590.5
330.415	608.8
330.81	596.9
331.206	594.6
331.601	592.5
331.996	596.9
332.37	601.7
332.766	582.1
333.161	616.9
333.557	587.3
333.953	592.1
334.348	878.8
334.744	595.1
335.14	592
335.536	591.3
335.932	606.7
336.328	596.9
336.724	601.8
337.12	593.5
337.516	596.6
337.913	591.1
338.309	602
338.705	595.9
339.102	606.9
339.498	587.8
339.895	605.3
340.291	594.7
340.688	609.9
341.085	586
341.481	584.4
341.878	589.1
342.275	615.7
342.672	585.1
343.069	588.4
343.466	581.8
343.842	596.5
344.239	592.2
344.636	592.5
345.033	587.7
345.431	583.5
345.828	594
346.225	582.9
346.623	597.7
347.02	587.4
347.418	601.1
347.816	606.4
348.213	579.5
348.611	598.2
349.009	584.8
349.407	598.2
349.805	586.2
350.203	576.1
350.601	601
350.999	586
351.397	579.8
351.795	592.1
352.193	599.7
352.57	598.5
352.969	601
353.367	586.5
353.766	582
354.164	585.8
354.563	598.2
354.961	590.6
355.36	587.9
355.759	585.3
356.158	586
356.557	579.4
356.956	580.2
357.355	573
357.754	593.9
358.153	592
358.552	608.9
358.951	585.8
359.35	600.8
359.75	584
360.149	579.4
360.527	572.9
360.926	574.8
361.326	584.7
361.726	586.5
362.125	583.7
362.525	586.2
362.925	586.1
363.325	581.4
363.724	592
364.124	579.8
364.524	584.6
364.924	587.5
365.324	593.6
365.725	575.1
366.125	595.7
366.525	586.7
366.904	579.5
367.304	568.2
367.705	600.4
368.105	598
368.506	585.9
368.906	582.5
369.307	589.3
369.708	590.9
370.108	574
370.509	593.8
370.91	576.6
371.311	584.7
371.712	585.6
372.113	586.6
372.514	571.9
372.894	581.4
373.295	575.1
373.696	592.1
374.097	590
374.499	616.5
374.9	590.2
375.301	581.2
375.703	584.7
376.105	577.9
376.506	592
376.908	589.1
377.309	592.9
377.711	591.5
378.113	582.3
378.493	587
378.895	577.1
379.297	597.3
379.699	576.3
380.102	592.8
380.504	583.2
380.906	582.7
381.308	613.3
381.71	587.1
382.113	588.3
382.515	581.4
382.918	582.9
383.299	582
383.701	594.3
384.104	588.8
384.507	565.4
384.909	587
385.312	575.9
385.715	575.2
386.118	578
386.521	571.1
386.924	592.1
387.327	575.3
387.709	569.7
388.112	573.2
388.515	577.4
388.918	578.5
389.322	587.4
389.725	579.7
390.129	601.9
390.532	587.8
390.936	576.5
391.339	573
391.743	586.3
392.125	576.7
392.529	591.1
392.933	595.8
393.337	587.1
393.74	585.8
394.144	582.1
394.548	579.4
394.953	586.2
395.357	592.3
395.761	581.1
396.144	583.2
396.548	587.9
396.952	579.4
397.357	585.6
397.761	580.4
398.166	575.4
398.57	578.8
398.975	577.6
399.379	585.3
399.763	632.3
400.168	583.4
400.572	583.1
400.977	585.4
401.382	603.4
401.787	591.2
402.192	598.3
402.597	591.9
403.002	578.3
403.386	597.1
403.791	601.8
404.197	580.3
404.602	581.7
405.007	581.3
405.413	584.3
405.818	579.1
406.224	577.2
406.608	582.3
407.014	573
407.42	598.4
407.825	584.7
408.231	592
408.637	580.6
409.043	592.8
409.449	584
409.834	583.3
410.24	587.2
410.646	595.8
411.052	594.6
411.458	581.2
411.865	594
412.271	590.9
412.677	588.5
413.062	592.9
413.469	582.8
413.875	606.7
414.282	600.8
414.689	588.4
415.095	591.1
415.502	581.5
415.888	589.5
416.294	570.4
416.701	626.3
417.108	581.5
417.515	594
417.923	585.6
418.33	606.6
418.715	594
419.123	586
419.53	585.2
419.937	586.5
420.345	600.8
420.752	582.1
421.16	593.1
421.546	584.1
421.953	597.8
422.361	579.2
422.769	588.7
423.177	577.8
423.585	607.2
423.992	603.6
424.379	591.9
424.787	595.9
425.195	600.4
425.603	587.8
426.011	601.4
426.419	597.4
426.806	587.8
427.214	589.3
427.623	598
428.031	609.7
428.44	594.7
428.848	599.6
429.235	605.9
429.644	600.4
430.053	596.2
430.461	617
430.87	631.2
431.279	615.2
431.666	609.1
432.075	625.4
432.484	638.2
432.893	643.1
433.302	675.6
433.711	705
434.099	682.1
434.508	687.8
434.918	704.7
435.327	729.5
435.737	743.3
436.125	763
436.534	793
436.944	813
437.353	828.3
437.763	869.9
438.173	867.7
438.561	901.5
438.971	902.7
439.381	938.9
439.791	965
440.201	958.9
440.589	1014.2
440.999	1038.1
441.409	1047.8
441.819	1047.7
442.23	1087.6
442.619	1107.7
443.029	1119.4
443.439	1143.7
443.85	1166.5
444.26	1190.8
444.649	1206.7
445.06	1207.7
445.471	1212.2
445.881	1232
446.292	1259.2
446.682	1281.3
447.092	1248.2
447.503	1331.2
447.914	1288.4
448.325	1296.6
448.715	1312.1
449.126	1325.1
449.537	1342.5
449.948	1345.7
450.338	1351.1
450.75	1370.8
451.161	1366
451.572	1384.4
451.984	1377.5
452.374	1376
452.786	1393.6
453.197	1397.7
453.609	1418.3
453.999	1413.5
454.411	1417.7
454.823	1429.7
455.235	1426.4
455.647	1440.3
456.037	1426.4
456.449	1428.3
456.862	1438.7
457.274	1446.6
457.665	1433
458.077	1429.8
458.489	1438.1
458.902	1430.1
459.293	1431.9
459.705	1449
460.118	1432.9
460.53	1445.7
460.921	1439.9
461.334	1429.7
461.747	1426.8
462.16	1437.8
462.551	1434.4
462.964	1428.3
463.377	1412.3
463.79	1400.1
464.182	1423.9
464.595	1418
465.008	1411.4
465.421	1421.6
465.813	1422.9
466.226	1431.2
466.64	1417.1
467.053	1461.3
467.445	1436.8
467.859	1416
468.272	1417.3
468.686	1420.7
469.078	1406.9
469.492	1385.9
469.906	1402
470.298	1411.8
470.712	1391.8
471.126	1419.4
471.54	1376.8
471.933	1379.9
472.347	1396
472.761	1371.5
473.175	1363.1
473.568	1352
473.982	1357.9
474.397	1357.1
474.79	1358
475.204	1365.9
475.619	1342.3
476.033	1345.8
476.426	1348.8
476.841	1337.1
477.256	1357.5
477.649	1331.7
478.064	1319.3
478.479	1317
478.872	1311.8
479.287	1303.3
479.702	1307.7
480.118	1309.4
480.511	1297.9
480.927	1294.1
481.342	1294.1
481.736	1295.8
482.151	1299.3
482.566	1297
482.96	1290.9
483.376	1292.1
483.792	1275.7
484.186	1287.7
484.602	1270.2
485.017	1279.1
485.412	1260.4
485.827	1267.3
486.243	1261.1
486.638	1269.8
487.054	1267.8
487.47	1265.5
487.865	1234.1
488.281	1231.1
488.697	1217.7
489.092	1227.6
489.508	1212.2
489.925	1222
490.32	1206.2
490.736	1214.1
491.153	1205
491.548	1205
491.964	1202.9
492.381	1186.4
492.776	1193.5
493.193	1189.4
493.61	1193.3
494.006	1176.9
494.422	1178.2
494.84	1153.2
495.235	1161.4
495.652	1150.8
496.069	1151.4
496.465	1135.6
496.883	1136.4
497.3	1151.8
497.696	1118.9
498.113	1129.3
498.509	1106
498.927	1103.4
499.344	1108.1
499.741	1102.5
500.158	1107.3
500.576	1107.7
500.973	1089.4
501.39	1082.7
501.787	1070.5
502.205	1077.3
502.623	1064.8
503.02	1062.4
503.438	1060.6
503.856	1059.7
504.253	1064.1
504.671	1055.5
505.068	1035.7
505.486	1029.8
505.905	1049.5
506.302	1039.3
506.72	1037.2
507.118	1006.5
507.536	1013.1
507.955	1005.3
508.352	1004.8
508.771	1011.3
509.169	1015.6
509.587	989.8
510.006	984.4
510.404	970.1
510.823	973.7
511.221	973.8
511.64	979.6
512.038	985.2
512.457	960.1
512.877	960.9
513.275	959.5
513.694	953.2
514.092	949.8
514.512	946.1
514.91	940.8
515.33	938
515.749	932.4
516.148	922.4
516.568	931.8
516.966	919.3
517.386	914.9
517.785	911.3
518.205	910.2
518.603	904.4
519.024	892.6
519.444	906.1
519.843	900.1
520.263	897.7
520.662	891.9
521.082	877.8
521.481	881.9
521.902	874.9
522.301	877.6
522.722	870.8
523.121	871.4
523.542	861.2
523.963	865
524.362	861.2
524.783	860.3
525.183	854.7
525.604	854.8
526.003	840.8
526.425	839.9
526.824	846
527.246	843.4
527.646	849.4
528.067	829.3
528.467	820.8
528.888	824.5
529.289	820.7
529.71	822.9
530.11	814.1
530.532	812.8
530.932	798.3
531.354	799.8
531.755	839.4
532.176	798.8
532.577	804.2
532.999	800.5
533.4	796.5
533.822	802.3
534.223	790.2
534.645	784.6
535.046	779.3
535.468	788.8
535.869	793.7
536.292	779.2
536.693	774.3
537.115	778.2
537.516	763.3
537.939	767.1
538.34	790
538.742	783.4
539.165	762
539.566	767.9
539.989	762
540.391	761
540.814	763.2
541.216	759.6
541.639	763.3
