#lambda/nm	C1
208.295	487.2
208.67	447.8
209.045	411
209.419	414.1
209.794	596.9
210.169	579.8
210.544	705.2
210.919	594.3
211.295	587
211.67	593.8
212.045	592.2
212.421	589.2
212.796	626
213.172	589.2
213.547	586.2
213.923	584.7
214.299	586.4
214.675	595.3
215.051	597.1
215.427	602.7
215.803	609.9
216.179	595.7
216.555	578.6
216.932	599.5
217.308	587.8
217.684	596
218.061	595.2
218.438	597.8
218.814	583
219.191	595.5
219.568	582.2
219.945	587.4
220.322	593.8
220.699	598.1
221.076	599.9
221.453	592.5
221.83	585.7
222.208	585.2
222.585	585.1
222.962	590.7
223.34	588.3
223.717	593.7
224.095	591.4
224.473	594.4
224.851	586.3
225.229	584.6
225.607	606.2
225.985	583.7
226.363	593.9
226.741	592.1
227.119	591.7
227.497	598
227.876	582
228.254	595
228.633	597.3
229.011	594
229.39	595.6
229.769	597.7
230.148	597.2
230.527	611.5
230.905	592
231.284	599.5
231.664	594.1
232.043	601.5
232.422	603.5
232.801	592.7
233.181	593.9
233.56	587.4
233.94	594.5
234.319	573.6
234.699	591.4
235.079	633.2
235.458	627.2
235.838	609.3
236.218	587.6
236.598	579.7
236.978	590.5
237.358	589.5
237.738	584.6
238.119	595.7
238.499	581.8
238.88	595.8
239.26	608.1
239.641	587.7
240.021	590.6
240.402	592.3
240.783	590.3
241.163	591.5
241.544	594.2
241.925	592.2
242.306	605.2
242.687	586.5
243.069	595.5
243.45	600.6
243.831	585.6
244.212	585.2
244.594	627.2
244.975	608.2
245.357	600.7
245.739	589.1
246.12	595.3
246.502	603.2
246.884	585.4
247.266	588.9
247.648	599.4
248.03	610.8
248.412	599.8
248.794	603.9
249.176	589.5
249.559	600.4
249.941	588.2
250.323	582.2
250.706	587
251.089	591.2
251.471	592.4
251.854	594.2
252.237	594.3
252.62	603
253.002	591.1
253.385	593.1
253.769	610.1
254.152	596.7
254.535	604.9
254.918	587.6
255.301	593.3
255.685	587.7
256.068	589
256.452	611.3
256.835	604.1
257.219	596.7
257.603	601
257.986	583.8
258.37	595.8
258.754	583.3
259.138	600.9
259.522	600
259.906	590.1
260.29	593.7
260.675	590.3
261.059	588.6
261.443	582.4
261.828	595.8
262.212	591.4
262.597	586.5
262.981	588.6
263.366	593.1
263.751	592.6
264.136	582.3
264.521	592.6
264.906	582.4
265.291	599.4
265.676	587
266.061	600
266.446	613.8
266.831	598.2
267.217	610.8
267.602	596.1
267.987	598.1
268.373	591.2
268.759	597.2
269.144	604.1
269.53	588.1
269.916	592.6
270.302	585.7
270.688	598.9
271.074	595.9
271.46	605.2
271.846	623.3
272.232	591.3
272.618	592.7
273.004	592.6
273.391	599
273.777	605.8
274.164	595.6
274.55	612.5
274.937	596.6
275.324	590.6
275.71	602.6
276.097	601.6
276.484	586
276.871	595.9
277.258	597.5
277.645	580.6
278.032	590.6
278.419	589.3
278.807	596.3
279.194	583.1
279.581	583.8
279.969	596.7
280.356	592.5
280.744	596.4
281.131	619.3
281.519	603.1
281.907	591.3
282.295	589.4
282.682	606.7
283.07	589.1
283.458	597.9
283.846	606.8
284.235	608.2
284.623	602.3
285.011	583.3
285.399	590.6
285.788	597.7
286.176	581.4
286.565	606.4
286.953	593.4
287.342	588.9
287.731	583.3
288.119	587
288.508	594.6
288.897	596.5
289.286	578.3
289.675	598.6
290.064	603.8
290.453	591.1
290.821	597.1
291.21	607.1
291.599	590.3
291.989	591.7
292.378	609.8
292.768	610.1
293.157	594.6
293.547	598.7
293.936	587.6
294.326	596.2
294.716	595
295.106	589.9
295.496	599
295.886	605.2
296.276	591.4
296.666	584.9
297.056	593.1
297.446	586.2
297.836	609.9
298.227	595.6
298.617	592.7
299.008	606
299.398	596.9
299.789	586.8
300.179	597.6
300.57	606.3
300.961	591.6
301.352	586.2
301.742	601.3
302.133	596.4
302.524	592
302.915	594.4
303.307	586.9
303.698	599.5
304.089	601.2
304.48	592.3
304.872	596.4
305.263	591.4
305.655	585.7
306.046	601.4
306.438	598.3
306.829	591.1
307.221	609.4
307.613	594.6
308.005	602.8
308.397	606.3
308.789	617.7
309.181	620.3
309.573	612.3
309.965	602.3
310.357	592.5
310.749	596.1
311.142	588.4
311.534	588.2
311.926	602.7
312.319	594.5
312.711	588
313.104	609
313.497	597.4
313.889	630.1
314.282	614.7
314.675	622.4
315.068	601.9
315.461	595.1
315.854	621
316.247	605.4
316.64	591.6
317.033	592.8
317.405	603.6
317.798	593.2
318.192	598.3
318.585	584.4
318.979	599.5
319.372	584.3
319.766	590.2
320.16	603.8
320.553	609.3
320.947	617.8
321.341	592.8
321.735	592.9
322.129	581.5
322.523	618.2
322.917	584.5
323.311	607.1
323.705	599.1
324.099	601.8
324.494	606.8
324.888	603.3
325.282	596.6
325.677	602.6
326.071	598
326.466	605.6
326.861	603.3
327.255	602.5
327.65	606.7
328.045	607.3
328.44	600.2
328.835	596.7
329.23	584.9
329.625	626.4
330.02	589.8
330.415	617.5
330.81	598.9
331.206	598.9
331.601	594.6
331.996	603.5
332.37	607.7
332.766	586.1
333.161	623.3
333.557	591.3
333.953	600.2
334.348	880
334.744	600.6
335.14	587.1
335.536	589.8
335.932	604.6
336.328	595.9
336.724	600.1
337.12	596.5
337.516	598.1
337.913	596.4
338.309	612.7
338.705	596.7
339.102	608.4
339.498	591.5
339.895	607.2
340.291	594.6
340.688	602.3
341.085	588.9
341.481	595.6
341.878	590.4
342.275	617
342.672	586.3
343.069	589.3
343.466	582.6
343.842	600.6
344.239	583.7
344.636	596.3
345.033	591.2
345.431	587.9
345.828	598.8
346.225	591.1
346.623	603.8
347.02	600.7
347.418	606.8
347.816	602.6
348.213	587.9
348.611	600
349.009	590.9
349.407	604.7
349.805	584
350.203	583.2
350.601	602.7
350.999	592.6
351.397	586.1
351.795	596.3
352.193	606.1
352.57	603.1
352.969	603
353.367	583.6
353.766	583.7
354.164	587.8
354.563	598.5
354.961	590.4
355.36	590.7
355.759	591.5
356.158	584.9
356.557	584.1
356.956	581.5
357.355	583.8
357.754	593.5
358.153	598.9
358.552	615.1
358.951	589
359.35	600.7
359.75	584.1
360.149	584.2
360.527	570.1
360.926	584.5
361.326	589.5
361.726	586.8
362.125	584.9
362.525	598.9
362.925	590.9
363.325	594.6
363.724	592.6
364.124	582.4
364.524	585.4
364.924	591.1
365.324	602.3
365.725	578.4
366.125	592.2
366.525	590.7
366.904	579.6
367.304	573
367.705	609.1
368.105	603.3
368.506	593.5
368.906	589.4
369.307	585.8
369.708	593.8
370.108	575.8
370.509	597.5
370.91	586.4
371.311	592.5
371.712	590.2
372.113	587.1
372.514	574.6
372.894	587.2
373.295	579.7
373.696	597.2
374.097	597.2
374.499	609.8
374.9	589.1
375.301	576.4
375.703	585.7
376.105	580
376.506	593.9
376.908	586.3
377.309	586.8
377.711	585.3
378.113	587
378.493	588.7
378.895	579.5
379.297	592.2
379.699	575.7
380.102	588.7
380.504	590.4
380.906	583.5
381.308	605.4
381.71	583.1
382.113	596.9
382.515	588.4
382.918	591.3
383.299	585.4
383.701	591.2
384.104	594.1
384.507	569.2
384.909	587.2
385.312	578.5
385.715	577.7
386.118	583.1
386.521	576.9
386.924	595.4
387.327	576.3
387.709	569.5
388.112	571.1
388.515	583.9
388.918	579.4
389.322	590
389.725	580.6
390.129	605.7
390.532	589.4
390.936	582.4
391.339	578.2
391.743	588.2
392.125	580.3
392.529	591.8
392.933	602.6
393.337	585.4
393.74	582.8
394.144	587.2
394.548	584.7
394.953	577.6
395.357	588.2
395.761	583.5
396.144	587.2
396.548	580
396.952	582.6
397.357	583.3
397.761	575.5
398.166	577.1
398.57	585.2
398.975	577.1
399.379	587.2
399.763	630.9
400.168	587.1
400.572	583.7
400.977	583.2
401.382	604.7
401.787	595.4
402.192	601
402.597	600.5
403.002	565.2
403.386	599.7
403.791	603.7
404.197	583.7
404.602	589.8
405.007	589
405.413	583.2
405.818	581
406.224	581.8
406.608	587.5
407.014	573
407.42	601.7
407.825	581.5
408.231	594.4
408.637	588.9
409.043	599.9
409.449	578.7
409.834	582.8
410.24	585.6
410.646	592.7
411.052	592.7
411.458	587.4
411.865	589.6
412.271	590.5
412.677	587.7
413.062	591
413.469	578.4
413.875	611.3
414.282	599.6
414.689	586.7
415.095	595.9
415.502	581.7
415.888	584.5
416.294	570
416.701	624.8
417.108	589.1
417.515	599.2
417.923	580.8
418.33	609.9
418.715	596.2
419.123	585.2
419.53	579.6
419.937	592.7
420.345	603
420.752	586.8
421.16	603.6
421.546	588.4
421.953	597.8
422.361	577.5
422.769	591.7
423.177	583.4
423.585	607.8
423.992	611.4
424.379	599.7
424.787	597.7
425.195	609.4
425.603	590.9
426.011	601.7
426.419	600
426.806	591.3
427.214	587.6
427.623	602.7
428.031	600.8
428.44	594.4
428.848	608
429.235	609.2
429.644	598.3
430.053	596.7
430.461	616.8
430.87	631.6
431.279	616.1
431.666	608.7
