#lambda/nm	C1
208.295	477.4
208.67	444.5
209.045	406.4
209.419	408.8
209.794	587.4
210.169	565.5
210.544	678.3
210.919	575.7
211.295	568.7
211.67	581.9
212.045	576.2
212.421	580.3
212.796	612.3
213.172	569
213.547	572.5
213.923	575.9
214.299	575.8
214.675	583.8
215.051	580.3
215.427	579.3
215.803	589.7
216.179	586.8
216.555	567.9
216.932	584.8
217.308	573.9
217.684	577.8
218.061	581.6
218.438	577.9
218.814	568.4
219.191	584.2
219.568	565.5
219.945	573.2
220.322	582.3
220.699	580.1
221.076	576.3
221.453	584
221.83	564.6
222.208	569.1
222.585	574.8
222.962	577.4
223.34	581.2
223.717	577.3
224.095	567.2
224.473	580.1
224.851	574.7
225.229	564.1
225.607	593.9
225.985	568.3
226.363	576.6
226.741	578.7
227.119	576.2
227.497	582.7
227.876	567.8
228.254	584.8
228.633	580.2
229.011	583.4
229.39	582.9
229.769	578.6
230.148	586.4
230.527	592.6
230.905	572.8
231.284	580.9
231.664	573.2
232.043	590.4
232.422	584.3
232.801	571.9
233.181	580.8
233.56	580
233.94	573.5
234.319	567.2
234.699	569.9
235.079	614.3
235.458	613
235.838	592.9
236.218	566
236.598	567.3
236.978	570.1
237.358	568.2
237.738	577.6
238.119	586.2
238.499	569.2
238.88	576.3
239.26	588.8
239.641	566.2
240.021	572.2
240.402	575.8
240.783	576.6
241.163	569.6
241.544	576.8
241.925	575.9
242.306	594.6
242.687	567.6
243.069	575.2
243.45	576.8
243.831	576.2
244.212	572.4
244.594	605.4
244.975	587.3
245.357	581.7
245.739	570
246.12	578.5
246.502	589.2
246.884	572.2
247.266	574.3
247.648	577.7
248.03	592.5
248.412	577.2
248.794	580.6
249.176	572.9
249.559	580.5
249.941	569
250.323	570.6
250.706	568.3
251.089	581
251.471	580.6
251.854	576.8
252.237	574.2
252.62	588.8
253.002	573.8
253.385	578.4
253.769	590.3
254.152	581
254.535	584.2
254.918	567.8
255.301	577
255.685	576.1
256.068	572.9
256.452	594.6
256.835	579.4
257.219	585.9
257.603	591.9
257.986	570.8
258.37	583.1
258.754	566.3
259.138	588.8
259.522	584.1
259.906	574.8
260.29	577.3
260.675	570.8
261.059	576.7
261.443	569.7
261.828	583.8
262.212	578.6
262.597	566.5
262.981	573.9
263.366	584.9
263.751	581.6
264.136	571.6
264.521	572.5
264.906	563.7
265.291	585
265.676	573.3
266.061	585.3
266.446	591.7
266.831	576.4
267.217	593.3
267.602	583.2
267.987	577.2
268.373	570
268.759	583.9
269.144	582.6
269.53	573.8
269.916	569.9
270.302	573.6
270.688	582
271.074	576.2
271.46	588.9
271.846	603.5
272.232	574.3
272.618	573.8
273.004	581.6
273.391	585.7
273.777	592.5
274.164	578.6
274.55	593.8
274.937	577.4
275.324	573.6
275.71	584.7
276.097	579.8
276.484	572
276.871	580
277.258	586.6
277.645	571.7
278.032	579.4
278.419	584.4
278.807	574.4
279.194	571.4
279.581	574.4
279.969	583.2
280.356	577.1
