#lambda/nm	C1
208.295	475
208.67	443
209.045	406.4
209.419	412.3
209.794	572.5
210.169	562.6
210.544	673.7
210.919	581.5
211.295	561.9
211.67	576.2
212.045	564.6
212.421	573.3
212.796	607.6
213.172	569.7
213.547	571
213.923	564.8
214.299	567.3
214.675	582.9
215.051	580
215.427	578.8
215.803	589.1
216.179	576.3
216.555	568.4
216.932	583.8
217.308	576.4
217.684	570.8
218.061	573.8
218.438	578.9
218.814	566.2
219.191	583.6
219.568	566
219.945	571.9
220.322	580.9
220.699	575.1
221.076	582.4
221.453	576.4
221.83	570.4
222.208	569.6
222.585	572.8
222.962	576.3
223.34	580.9
223.717	572.7
224.095	565.1
224.473	575.1
224.851	573.8
225.229	564.4
225.607	580.5
225.985	563.7
226.363	577
226.741	571.8
227.119	565.7
227.497	589.9
227.876	562.8
228.254	577.5
228.633	576.8
229.011	572.4
229.39	576.1
229.769	577.6
230.148	581.2
230.527	586.5
230.905	573.3
231.284	575.6
231.664	567.6
232.043	580.4
232.422	576.3
232.801	567
233.181	578.5
233.56	575.7
233.94	574.5
234.319	556.8
234.699	566.5
235.079	607.1
235.458	609.5
235.838	586.1
236.218	563.1
236.598	564.6
236.978	567.5
237.358	572.8
237.738	567.6
238.119	577.2
238.499	565.7
238.88	572.3
239.26	588.2
239.641	563.5
240.021	567.7
240.402	574.6
240.783	569.1
241.163	567.9
241.544	572.7
241.925	573.2
242.306	591.1
242.687	565.9
243.069	577.2
243.45	580.8
243.831	564.1
244.212	574.3
244.594	607
244.975	584.1
245.357	580
245.739	568.2
246.12	577
246.502	585.2
246.884	576.9
247.266	571.1
247.648	577.2
248.03	591.4
248.412	578.7
248.794	583.9
249.176	569.8
249.559	587.6
249.941	563.5
250.323	566.6
250.706	569.7
251.089	573.5
251.471	575.3
251.854	575.3
252.237	572.7
252.62	581.1
253.002	570.8
253.385	571.4
253.769	587.6
254.152	572.8
254.535	582.6
254.918	562.8
255.301	573.7
255.685	573.5
256.068	563.7
256.452	595.2
256.835	574
257.219	583.1
257.603	587
257.986	570.5
258.37	580.2
258.754	566
259.138	578.8
259.522	579.2
259.906	574.8
260.29	578.7
260.675	572.8
261.059	574
261.443	563.4
261.828	581.8
262.212	574.1
262.597	566.2
262.981	568.3
263.366	584.2
263.751	571.8
264.136	565.1
264.521	569.3
264.906	567
265.291	585.5
265.676	579.3
266.061	577
266.446	588.7
266.831	575.8
267.217	596.4
267.602	580.8
267.987	576
268.373	570
268.759	584.9
269.144	578.6
269.53	574.4
269.916	569.3
270.302	567.2
270.688	573.7
271.074	571.4
271.46	585.6
271.846	601.9
272.232	577.3
272.618	564.8
273.004	572.6
273.391	586.7
273.777	583.2
274.164	576.8
274.55	591.8
274.937	579.5
275.324	574.4
275.71	578.3
276.097	578.4
276.484	563.9
276.871	578
277.258	581.7
277.645	565.2
278.032	573
278.419	574.6
278.807	576.3
279.194	567.5
279.581	564.5
279.969	580.6
280.356	572.8
280.744	573.1
281.131	597.5
281.519	584.2
281.907	569.6
282.295	570.7
282.682	588.7
283.07	575.5
283.458	577
283.846	586.3
284.235	583.9
284.623	575.5
285.011	567.7
285.399	576.3
285.788	575.1
286.176	562
286.565	586.9
286.953	567.5
287.342	570.6
287.731	570.8
288.119	565.3
288.508	572.4
288.897	572.9
289.286	557.6
289.675	570.3
290.064	579.7
290.453	569.2
290.821	566.3
291.21	587
291.599	568.6
291.989	573.4
292.378	582.5
292.768	589.2
293.157	576.2
293.547	582.5
293.936	568.8
294.326	575.5
294.716	579.4
295.106	572.9
295.496	583.8
295.886	586.3
296.276	573.2
296.666	574.1
297.056	571.5
297.446	566.1
297.836	592.2
298.227	571.9
298.617	568.5
299.008	585.7
299.398	570.6
299.789	570.5
300.179	575.1
300.57	589.7
300.961	574.7
301.352	569.6
301.742	581.1
302.133	572.5
302.524	570
302.915	578
303.307	565.9
303.698	582.8
304.089	577.1
304.48	577.4
304.872	575.3
305.263	573.3
305.655	568.8
306.046	575.2
306.438	581.5
306.829	570.1
307.221	589.5
307.613	577.8
308.005	581.4
308.397	589.7
308.789	596.4
309.181	600.5
309.573	592.1
309.965	588.9
310.357	568.9
310.749	575.8
311.142	565.1
311.534	566.5
311.926	575.4
312.319	573.7
312.711	569.9
313.104	583.5
313.497	575.2
313.889	617.3
314.282	593.1
314.675	598.2
315.068	578.3
315.461	588.1
315.854	606.2
316.247	585.5
316.64	576.2
317.033	578.4
317.405	586.1
317.798	571
318.192	577.3
318.585	570
318.979	583.9
319.372	565.7
319.766	577.4
320.16	584.4
320.553	596.3
320.947	593.1
321.341	575.2
321.735	578.4
322.129	566
322.523	600.6
322.917	571.8
323.311	585.9
323.705	574.6
324.099	581.6
324.494	587.6
324.888	586
325.282	572.4
325.677	580
326.071	583.1
326.466	583.8
326.861	576.8
327.255	584.5
327.65	587.6
328.045	586.5
328.44	575.2
328.835	577.6
329.23	565.4
329.625	596.3
330.02	567.7
330.415	589.6
330.81	570.8
331.206	579.6
331.601	572.1
331.996	586
332.37	584.3
332.766	568.5
333.161	596
333.557	568.9
333.953	576.7
334.348	822.7
334.744	577
335.14	572.4
335.536	569.7
335.932	586.2
336.328	575.4
336.724	580.4
337.12	574.9
337.516	577.6
337.913	575.2
338.309	587.5
338.705	576.3
339.102	586.4
339.498	574.1
339.895	589.2
340.291	565.7
340.688	578.6
341.085	570.2
341.481	570.5
341.878	575
342.275	595.7
342.672	567.5
343.069	564.2
343.466	565.9
343.842	584
344.239	565.5
344.636	567.3
345.033	571.7
345.431	562.1
345.828	579.5
346.225	570.4
346.623	581.3
347.02	572.8
347.418	583.5
347.816	586.7
348.213	565.6
348.611	576.8
349.009	567.9
349.407	586.7
349.805	562.1
350.203	560.9
350.601	582.2
350.999	569.6
351.397	567.3
351.795	575.5
352.193	582.9
352.57	581.3
352.969	580.8
353.367	567.7
353.766	570.6
354.164	567.8
354.563	578.3
354.961	572.5
355.36	568.3
355.759	571.6
356.158	569.1
356.557	573.6
356.956	560.4
357.355	563.3
357.754	574.6
358.153	581.9
358.552	595.6
358.951	569.5
359.35	580.1
359.75	567.1
360.149	561.8
360.527	557
360.926	557.4
361.326	573.4
361.726	570.8
362.125	564.4
362.525	570.3
362.925	566.8
363.325	575.7
363.724	572.6
364.124	565.7
364.524	567.3
364.924	567.3
365.324	584.6
365.725	554.2
366.125	574.2
366.525	570.4
366.904	561.3
367.304	552.5
367.705	589.6
368.105	577.3
368.506	571.6
368.906	574.3
369.307	573.9
369.708	573.7
370.108	560.7
370.509	573.8
370.91	562.7
371.311	569.4
371.712	570.8
372.113	565.9
372.514	559.2
372.894	566.5
373.295	564.3
373.696	575.4
374.097	579.5
374.499	594.4
374.9	568.5
375.301	557.3
375.703	571.5
376.105	555.9
376.506	574.5
376.908	577.1
377.309	568.9
377.711	566.1
378.113	560.9
378.493	568.5
378.895	563.6
379.297	574.6
379.699	552.9
380.102	572.4
380.504	571.3
380.906	561.4
381.308	589.5
381.71	570.1
382.113	576.6
382.515	567.3
382.918	563.8
383.299	563.6
383.701	570
384.104	571.9
384.507	549.9
384.909	565.3
385.312	557.5
385.715	554.9
386.118	559.1
386.521	553.9
386.924	571.4
387.327	556.8
387.709	559.2
388.112	550.1
388.515	564.7
388.918	561.9
389.322	568.4
389.725	561.8
390.129	587
390.532	564.7
390.936	568.5
391.339	558.6
391.743	564.1
392.125	558.7
392.529	571.5
392.933	576.5
393.337	567.1
393.74	567.5
394.144	564.6
394.548	565.8
394.953	561.1
395.357	569.2
395.761	558.5
396.144	566.6
396.548	567.3
396.952	561.8
397.357	570.2
397.761	558.2
398.166	561.8
398.57	563.2
398.975	554.5
399.379	565.1
399.763	610.5
400.168	565.4
400.572	561.6
400.977	559.2
401.382	582
401.787	577.5
402.192	590
402.597	574.4
403.002	552.3
403.386	579.6
403.791	581.9
404.197	562.3
404.602	568.9
405.007	568.9
405.413	559.1
405.818	564.6
406.224	557.4
406.608	561.8
407.014	556
407.42	577.3
407.825	560.7
408.231	572.4
408.637	574.2
409.043	582.2
409.449	562.7
409.834	562.4
410.24	567.9
410.646	575.8
411.052	575
411.458	572.6
411.865	573.2
412.271	577.7
412.677	568.4
413.062	569
413.469	565.5
413.875	587.3
414.282	579.7
414.689	571.6
415.095	572.5
