#lambda/nm	C1
208.295	484.4
208.67	449.7
209.045	412
209.419	418.5
209.794	598.1
210.169	580.2
210.544	703.3
210.919	591.9
211.295	585.5
211.67	594.8
212.045	591.4
212.421	592.6
212.796	631.7
213.172	584.8
213.547	593.5
213.923	585
214.299	585
214.675	599
215.051	597.1
215.427	596.3
215.803	612
216.179	602.1
216.555	587.6
216.932	601.5
217.308	594
217.684	591.3
218.061	594.2
218.438	594
218.814	588.7
219.191	603.1
219.568	585.8
219.945	592.4
220.322	594.2
220.699	592.8
221.076	597.8
221.453	594.5
221.83	583.3
222.208	583.7
222.585	590.2
222.962	590.4
223.34	597
223.717	592.3
224.095	594.9
224.473	598.5
224.851	589.6
225.229	578.8
225.607	608.4
225.985	580.4
226.363	587.6
226.741	589.4
227.119	591.9
227.497	603.8
227.876	585.8
228.254	598.9
228.633	594.7
229.011	591.5
229.39	594.2
229.769	599.4
230.148	593.2
230.527	610.2
230.905	591
231.284	588.9
231.664	587.4
232.043	604.4
232.422	603.6
232.801	592.5
233.181	593.9
233.56	586.8
233.94	590.8
234.319	580.2
234.699	595.5
235.079	630.8
235.458	629.9
235.838	604.3
236.218	587.5
236.598	582.8
236.978	580
237.358	586.5
237.738	585.5
238.119	599.3
238.499	578.9
238.88	590.8
239.26	608.2
239.641	585.7
240.021	586.5
240.402	594.9
240.783	590.9
241.163	593.4
241.544	590.9
241.925	589.1
242.306	608.6
242.687	589.5
243.069	601.2
243.45	600.7
243.831	590.9
244.212	588.5
244.594	629.1
244.975	603.3
245.357	593.2
245.739	583.4
246.12	593.6
246.502	599
246.884	588.8
247.266	590.1
247.648	598.5
248.03	617.8
248.412	593.2
248.794	599.3
249.176	586.5
249.559	597.7
249.941	584.9
250.323	583.9
250.706	586.5
251.089	596.4
251.471	600.9
251.854	593.9
252.237	594.8
252.62	609.4
253.002	595.7
253.385	593.2
253.769	605.9
254.152	593.2
254.535	601.6
254.918	587.6
255.301	589.1
255.685	589.7
256.068	587.6
256.452	617.6
256.835	604.1
257.219	597.7
257.603	603.7
257.986	586.5
258.37	599.7
258.754	579.9
259.138	596.7
259.522	602.1
259.906	590.2
260.29	592.8
260.675	593.3
261.059	590.9
261.443	580.5
261.828	594.8
262.212	593.6
262.597	577.5
262.981	581.3
263.366	601.3
263.751	585.9
264.136	587.8
264.521	585.4
264.906	573.9
265.291	597.2
265.676	592.1
266.061	595.9
266.446	611.5
266.831	586.3
267.217	611.1
267.602	595
267.987	599.3
268.373	590.2
268.759	602.3
269.144	596.9
269.53	589.7
269.916	589.2
270.302	592.2
270.688	602.2
271.074	598.2
271.46	605.9
271.846	627.4
272.232	589.2
272.618	588.6
273.004	593
273.391	602.6
273.777	601.4
274.164	599.2
274.55	607.3
274.937	598.1
275.324	589.2
275.71	604.9
276.097	600.2
276.484	587.4
276.871	595.9
277.258	597.6
277.645	582.5
278.032	593.9
278.419	593.7
278.807	599.3
279.194	587.6
279.581	589.2
279.969	600.8
280.356	598.8
280.744	594.3
281.131	620.7
281.519	606
281.907	596.3
282.295	586.1
282.682	602.2
283.07	602.1
283.458	600.6
283.846	604.5
284.235	604.6
284.623	600.7
285.011	586.7
285.399	591.4
285.788	594.5
286.176	582.3
286.565	603.4
286.953	586.8
287.342	587
287.731	588.7
288.119	588.7
288.508	593.2
288.897	593.6
289.286	580.6
289.675	593.1
290.064	604.7
290.453	584.7
290.821	595.5
291.21	603.1
291.599	589
291.989	591.8
292.378	598.6
292.768	607.1
293.157	596.2
293.547	596.4
293.936	590.5
294.326	582.4
294.716	590.5
295.106	590.4
295.496	597.9
295.886	602.6
296.276	587.1
296.666	587.4
297.056	582.1
297.446	575.2
297.836	608.6
298.227	591.5
298.617	596.4
299.008	603.5
299.398	589.6
299.789	585.1
300.179	596.4
300.57	606.9
300.961	584.9
301.352	586.2
301.742	605.4
302.133	595
302.524	593.4
302.915	598.3
303.307	584.4
303.698	599.3
304.089	606.1
304.48	595.7
304.872	597
305.263	594.6
305.655	587.5
306.046	601.9
306.438	598.2
306.829	591.7
307.221	606.1
307.613	599.7
308.005	602.8
308.397	609.3
308.789	620.9
309.181	621.8
309.573	607.5
309.965	606.3
310.357	592.8
310.749	604.6
311.142	586.8
311.534	592
311.926	605.2
312.319	594.4
312.711	587.2
313.104	609.2
313.497	595.8
313.889	633.7
314.282	609.7
314.675	621.5
315.068	603
315.461	595.7
315.854	623.2
316.247	599.8
316.64	591.7
317.033	598.4
317.405	604.2
317.798	598.3
318.192	596.9
318.585	590.2
318.979	600.5
319.372	586.1
319.766	593.9
320.16	606.4
320.553	604.2
320.947	619.2
321.341	590.7
321.735	598.6
322.129	587.1
322.523	618.1
322.917	584.2
323.311	607.7
323.705	594.6
324.099	599.8
324.494	611.2
324.888	604.7
325.282	593
325.677	598.3
326.071	602.8
326.466	608.5
326.861	595.9
327.255	607.1
327.65	604.9
328.045	610.4
328.44	593.4
328.835	593.5
329.23	588.5
329.625	622
330.02	587.7
330.415	617.5
330.81	592.1
331.206	596
331.601	592
331.996	603
332.37	610.6
332.766	585
333.161	618.3
333.557	587.9
333.953	595.5
334.348	877.3
334.744	597.7
335.14	592.2
335.536	590.9
335.932	607.2
336.328	593.5
336.724	604.1
337.12	592.1
337.516	597.1
337.913	599.1
338.309	605.3
338.705	597
339.102	602.7
339.498	594.4
339.895	609.5
340.291	592.3
340.688	606.5
341.085	589.3
341.481	590.5
341.878	592
342.275	613.1
342.672	584
343.069	584.2
343.466	583.7
343.842	594.8
344.239	585.7
344.636	594.1
345.033	583.1
345.431	584.4
345.828	594.8
346.225	586.3
346.623	594.3
347.02	596.3
347.418	593.7
347.816	610.4
348.213	587
348.611	598.6
349.009	589.1
349.407	604.1
349.805	581.5
350.203	578.4
350.601	609.4
350.999	596.2
351.397	579.2
351.795	591.5
352.193	599.3
352.57	597.2
352.969	606.4
353.367	587.3
353.766	581.7
354.164	587.8
354.563	598.3
354.961	593
355.36	586.3
355.759	588.6
356.158	585.2
356.557	585.8
356.956	581
357.355	579.4
357.754	588.1
358.153	593.2
358.552	616.3
358.951	587.5
359.35	592.5
359.75	588.9
360.149	578.3
360.527	569
360.926	581.5
361.326	587.1
361.726	585.2
362.125	584.4
362.525	590
362.925	592.7
363.325	588.6
363.724	594
364.124	580.6
364.524	581.9
364.924	586.7
365.324	597
365.725	569.9
366.125	593.3
366.525	591.1
366.904	583.3
367.304	571.8
367.705	610.7
368.105	605.9
368.506	587.9
368.906	587.8
369.307	584.8
369.708	596
370.108	576.3
370.509	596.4
370.91	577
371.311	590.8
371.712	593
372.113	585.1
372.514	578.1
372.894	583.7
373.295	582.6
373.696	601.9
374.097	593.3
374.499	618.4
374.9	587
375.301	577.7
375.703	581.9
376.105	578.9
376.506	591.9
376.908	594.1
377.309	590.3
377.711	588.3
378.113	582.3
378.493	586.1
378.895	582.4
379.297	592.2
379.699	576.9
380.102	588.3
380.504	589.8
380.906	582.1
381.308	613.6
381.71	585
382.113	591
382.515	588.4
382.918	590.2
383.299	589.3
383.701	594.4
384.104	588.8
384.507	571.6
384.909	585.1
385.312	570.8
385.715	575.6
386.118	580.6
386.521	572.7
386.924	592
387.327	579.2
387.709	574.4
388.112	564.4
388.515	583.6
388.918	580.5
389.322	585.7
389.725	574.8
390.129	597.8
390.532	586.1
390.936	573.8
391.339	574.2
391.743	581.4
392.125	576.6
392.529	588.3
392.933	593.5
393.337	581.3
393.74	580.7
394.144	578.2
394.548	575.3
394.953	581.7
395.357	588
395.761	580.9
396.144	587.7
396.548	581.4
396.952	584.9
397.357	585.2
397.761	580
398.166	585.2
398.57	582
398.975	581.9
399.379	586.5
399.763	635.6
400.168	586.8
400.572	579.2
400.977	582.8
401.382	605.2
401.787	597.1
402.192	601.7
402.597	601.3
403.002	575.8
403.386	599.5
403.791	606.1
404.197	580.2
404.602	586.9
405.007	589.8
405.413	586.2
405.818	581.4
406.224	575.3
406.608	582.2
407.014	577
407.42	603.7
407.825	580.2
408.231	597.2
408.637	590.9
409.043	599.5
409.449	579.6
409.834	576.3
410.24	590.2
410.646	597.6
411.052	601.1
411.458	596.2
411.865	596.1
412.271	593.8
412.677	590.1
413.062	597.2
413.469	582.8
413.875	608.9
414.282	598.3
414.689	596.6
415.095	595.3
415.502	583.2
415.888	586.4
416.294	571.9
416.701	627.4
417.108	587.1
417.515	595.7
417.923	584.8
418.33	607.4
418.715	602.8
419.123	578.1
419.53	586.6
419.937	591.2
420.345	602.7
420.752	586.7
421.16	603.5
421.546	583.3
421.953	592.7
422.361	580.7
422.769	589.6
423.177	575.9
423.585	614.3
423.992	610.2
424.379	592.7
