#lambda/nm	C1
208.295	481.4
208.67	445.7
209.045	409.3
209.419	411.1
209.794	598.9
210.169	574.5
210.544	695.8
210.919	592.8
211.295	584
211.67	596.4
212.045	587.3
212.421	596.9
212.796	628
213.172	586.6
213.547	588.1
213.923	591.8
214.299	587.1
214.675	603.9
215.051	597.7
215.427	593.6
215.803	613.8
216.179	596.1
216.555	588.7
216.932	603.9
217.308	585.7
217.684	594.3
218.061	601.1
218.438	596.6
218.814	595.3
219.191	603.7
219.568	589.4
219.945	594.2
220.322	600.7
220.699	596.9
221.076	605.2
221.453	593.6
221.83	586.5
222.208	592.7
222.585	583.4
222.962	592.7
223.34	594.3
223.717	591.6
224.095	589.3
224.473	595.2
224.851	585.5
225.229	583.9
225.607	607.2
225.985	583.2
226.363	592.6
226.741	593.2
227.119	597.3
227.497	605
227.876	582
228.254	603.5
228.633	594.4
229.011	591
229.39	599
229.769	596.9
230.148	600.5
230.527	611.1
230.905	593.6
231.284	599.9
231.664	589.3
232.043	609.7
232.422	601.2
232.801	586.3
233.181	595.8
233.56	590.7
233.94	596.1
234.319	577
234.699	592.4
235.079	630.1
235.458	628.1
235.838	612.4
236.218	585.1
236.598	583.9
236.978	585.8
237.358	588
237.738	589
238.119	602.4
238.499	583.1
238.88	590.1
239.26	604.1
239.641	585.8
240.021	592.1
240.402	590.7
240.783	589.3
241.163	589.1
241.544	590.2
241.925	591.7
242.306	608.7
242.687	585.2
243.069	596.6
243.45	601.1
243.831	592
244.212	586.4
244.594	624.2
244.975	600.4
245.357	592
245.739	585.2
246.12	596.7
246.502	607.7
246.884	589.8
247.266	596.2
247.648	597.7
248.03	617
248.412	596.6
248.794	598.2
249.176	586.4
249.559	604.1
249.941	586
250.323	586.1
250.706	591.1
251.089	588.6
251.471	601.7
251.854	591.5
252.237	600.4
252.62	609.3
253.002	597.1
253.385	590.1
253.769	613.6
254.152	598.1
254.535	606.9
254.918	587.3
255.301	590.6
255.685	588.1
256.068	582.8
256.452	610.8
256.835	599.3
257.219	602.6
257.603	610.1
257.986	585.7
258.37	602.8
258.754	584.3
259.138	604.7
259.522	606.6
259.906	594.3
260.29	600.2
260.675	590.9
261.059	594.2
261.443	583
261.828	598.5
262.212	594.1
262.597	588.2
262.981	588.4
263.366	601.8
263.751	593.8
264.136	591.9
264.521	586.9
264.906	587.4
265.291	602.9
265.676	589.9
266.061	602.1
266.446	609.4
266.831	597.7
267.217	616.7
267.602	598
267.987	597.1
268.373	593.5
268.759	598.9
269.144	601
269.53	595.3
269.916	589
270.302	589.1
270.688	596.4
271.074	599
271.46	604.3
271.846	622.4
272.232	595.1
272.618	589.3
273.004	589.1
273.391	603.3
273.777	607.1
274.164	598.4
274.55	606.3
274.937	598.9
275.324	591.1
