#lambda/nm	C1
208.295	472.8
208.67	438.2
209.045	398.4
209.419	406.1
209.794	569.8
210.169	549.7
210.544	656
210.919	564.8
211.295	552.6
211.67	560.6
212.045	556.3
212.421	554.1
212.796	589.3
213.172	556.7
213.547	558.8
213.923	554
214.299	552.2
214.675	568.6
215.051	561.2
215.427	567.8
215.803	578.5
216.179	561.6
216.555	552.7
216.932	566.6
217.308	559.6
217.684	561
218.061	563.9
218.438	561.2
218.814	556.7
219.191	564.5
219.568	549.9
219.945	558.7
220.322	565.5
220.699	567.5
221.076	563.4
221.453	564.8
221.83	553.4
222.208	557.9
222.585	558
222.962	558.5
223.34	561.9
223.717	558.2
224.095	560.1
224.473	557.4
224.851	555.4
225.229	556.4
225.607	574.5
225.985	546.9
226.363	560.6
226.741	559.6
227.119	562.1
227.497	571.9
227.876	552.2
228.254	565.8
228.633	564.1
229.011	560.5
229.39	565.6
229.769	563.7
230.148	563.5
230.527	574.9
230.905	562.8
231.284	564
231.664	556.8
232.043	571.8
232.422	565.2
232.801	554.1
233.181	570.8
233.56	563.2
233.94	561.6
234.319	550.2
234.699	560.1
235.079	592
235.458	594.3
235.838	573.6
236.218	552.8
236.598	552.5
236.978	553.9
237.358	553.2
237.738	559.5
238.119	565.8
238.499	552.2
238.88	558.5
239.26	574.8
239.641	550.7
240.021	555.8
240.402	564.8
240.783	552.8
241.163	558.1
241.544	566.9
241.925	557.1
242.306	574.9
242.687	555.8
243.069	560.4
243.45	568.4
243.831	556.2
244.212	560
244.594	592.7
244.975	569.7
245.357	559.8
245.739	549.5
246.12	562.1
246.502	573.8
246.884	555.5
247.266	561.9
247.648	563.9
248.03	577.5
248.412	558.7
248.794	567.8
249.176	558.6
249.559	567.9
249.941	555.5
250.323	546.7
250.706	552.1
251.089	557.7
251.471	559.9
251.854	558.6
252.237	562
252.62	563.2
253.002	556.6
253.385	559.5
253.769	571.3
254.152	562.3
254.535	563
254.918	552.6
255.301	553.4
255.685	555
256.068	553.8
256.452	579.7
256.835	563.6
257.219	565
257.603	570.1
257.986	550.6
258.37	563.8
258.754	549.4
259.138	565.5
259.522	570.2
259.906	556.9
260.29	565.6
260.675	557
261.059	558.2
261.443	553.7
261.828	566.9
262.212	560.2
262.597	549.6
262.981	559.4
263.366	570.1
263.751	560
264.136	552.3
264.521	551.7
264.906	553.7
265.291	572.8
265.676	554.7
266.061	571.3
266.446	578.5
266.831	558.3
267.217	577.5
267.602	562.2
267.987	558.9
268.373	557.6
268.759	568.3
269.144	566.4
269.53	557.8
269.916	560.8
270.302	558.5
270.688	563.8
271.074	562.1
271.46	569.4
271.846	593.6
272.232	563.1
272.618	555.1
273.004	558.7
273.391	569.4
273.777	573.3
274.164	567
274.55	574.4
274.937	558.6
275.324	559.7
275.71	569.9
276.097	569
276.484	557.8
276.871	565.7
277.258	566.8
277.645	552.4
278.032	558.1
278.419	563
278.807	565.3
279.194	552.5
279.581	557.8
279.969	564
280.356	560.4
280.744	558.5
281.131	585.8
281.519	567.7
281.907	560.4
282.295	561
282.682	574.2
283.07	560.6
283.458	565.9
283.846	571
284.235	571.9
284.623	567
285.011	551.9
285.399	557.8
285.788	558.7
286.176	553.2
286.565	571.1
286.953	558.6
287.342	556.5
287.731	553.6
288.119	549.4
288.508	559.2
288.897	560.3
289.286	546.2
289.675	564.5
290.064	568.7
290.453	558.2
290.821	558.5
291.21	582.3
291.599	553.8
291.989	559.1
292.378	568
292.768	572.9
293.157	561.7
293.547	570.2
293.936	559.7
294.326	557.3
294.716	562.7
295.106	556.2
295.496	563
295.886	572.5
296.276	562.5
296.666	554
297.056	560.2
297.446	552.2
297.836	572.6
298.227	558.4
298.617	562.6
299.008	572.7
299.398	561.7
299.789	558.8
300.179	565.2
300.57	574
300.961	551.6
301.352	556.6
301.742	565.3
302.133	563
302.524	558.9
302.915	567.3
303.307	552.9
303.698	568
304.089	565.3
304.48	560.3
304.872	563
305.263	564.5
305.655	557.7
306.046	569
306.438	563.2
306.829	554.4
307.221	577.6
307.613	569
308.005	571
308.397	575.1
308.789	584.7
309.181	582.7
309.573	574.7
309.965	572.1
310.357	558
310.749	561
311.142	551.6
311.534	555.6
311.926	566.1
312.319	566
312.711	554.2
313.104	570.9
313.497	560.4
313.889	597.3
314.282	577
314.675	583.8
315.068	565
315.461	570.4
315.854	596.7
316.247	565.8
316.64	564.6
317.033	559.5
317.405	572.2
317.798	560.7
318.192	563.2
318.585	557.2
318.979	566
319.372	555.5
319.766	564.9
320.16	578.1
320.553	573.5
320.947	575.9
321.341	560.9
321.735	566.9
322.129	551
322.523	580.4
322.917	553.8
323.311	574.6
323.705	567.8
324.099	566.1
324.494	581.1
324.888	573.1
325.282	558.6
325.677	565.8
326.071	565.9
326.466	576
326.861	568.2
327.255	573.7
327.65	577.9
328.045	579.5
328.44	568.2
328.835	558.6
329.23	556.6
329.625	590.6
330.02	561
330.415	581.7
330.81	562.7
331.206	563.5
331.601	559.4
331.996	567.8
332.37	576.2
332.766	559.3
333.161	581
333.557	564.6
333.953	561
334.348	911.1
334.744	565.9
335.14	562.3
335.536	559.3
335.932	574.9
336.328	556.9
336.724	568.6
337.12	565.8
337.516	563.3
337.913	561.7
338.309	562.2
338.705	565.1
339.102	573.7
339.498	555.9
339.895	571
340.291	556.4
340.688	565.7
341.085	553.2
341.481	556.2
341.878	560.5
342.275	578.4
342.672	554.8
343.069	557.5
343.466	550.8
343.842	566.1
344.239	549.9
344.636	563.6
345.033	552.1
345.431	551.3
345.828	558.9
346.225	550.7
346.623	571.1
347.02	563.3
347.418	566.4
347.816	573.5
348.213	553.6
348.611	563.1
349.009	553.8
349.407	567.3
349.805	546.7
350.203	547.2
350.601	565.7
350.999	555
351.397	555.5
351.795	561.3
352.193	567.5
352.57	564.6
352.969	569.6
353.367	552.5
353.766	550.1
354.164	556.6
354.563	568.6
354.961	560.2
355.36	558.4
355.759	554.9
356.158	551.4
356.557	552.5
356.956	552.3
357.355	546.9
357.754	560.8
358.153	566.5
358.552	578.9
358.951	554.5
359.35	564.2
359.75	551.9
360.149	553.7
360.527	544.3
360.926	555.1
361.326	555
361.726	558.2
362.125	550.7
362.525	559.8
362.925	555.1
363.325	561.1
363.724	554.6
364.124	555.9
364.524	549.7
364.924	558.8
