#lambda/nm	C1
208.295	471.5
208.67	437.2
209.045	406
209.419	405
209.794	570.2
210.169	556.9
210.544	660.5
210.919	566.1
211.295	555.2
211.67	567
212.045	566.8
212.421	563.7
212.796	598.2
213.172	556
213.547	564.7
213.923	562.4
214.299	556.7
214.675	569.2
215.051	564.9
215.427	567.2
215.803	582.7
216.179	573.5
216.555	553.9
216.932	575.3
217.308	563.7
217.684	567.3
218.061	570.4
218.438	570
218.814	558.9
219.191	571.6
219.568	559.2
219.945	563.4
220.322	573.7
220.699	569.6
221.076	576
221.453	571.2
221.83	557
222.208	563.5
222.585	567.7
222.962	562.7
223.34	571
223.717	570.3
224.095	566.9
224.473	564.8
224.851	561.8
225.229	560.6
225.607	580.7
225.985	551.7
226.363	569.5
226.741	570.6
227.119	562.3
227.497	575.9
227.876	551.7
228.254	577.8
228.633	573.9
229.011	571.2
229.39	571.7
229.769	574.2
230.148	572.3
230.527	581.7
230.905	560.9
231.284	571.7
231.664	564.6
232.043	575.6
232.422	573.3
232.801	563.1
233.181	568.8
233.56	561.3
233.94	569.4
234.319	559.9
234.699	569.3
235.079	601.7
235.458	598.8
235.838	583.1
236.218	557.4
236.598	559.3
236.978	560.7
237.358	560.9
237.738	559.1
238.119	579.9
238.499	557.2
238.88	564.3
239.26	583.9
239.641	555.6
240.021	563.6
240.402	569
240.783	562.6
241.163	566
241.544	570.5
241.925	567.6
242.306	576.8
242.687	561.9
243.069	567
243.45	572.5
243.831	562.3
244.212	565.9
244.594	600.4
244.975	576.1
245.357	563.7
245.739	563.1
246.12	570
246.502	580.5
246.884	562.8
247.266	563.7
247.648	573
248.03	588.8
248.412	565.1
248.794	569.8
249.176	561.9
249.559	577.8
249.941	562.4
250.323	562.2
250.706	560.2
251.089	564
251.471	573.4
251.854	566.8
252.237	567.4
252.62	573.1
253.002	566.9
253.385	567.7
253.769	578.1
254.152	562
254.535	576.6
254.918	563.3
255.301	567.9
255.685	566.8
256.068	564.6
256.452	589.3
256.835	575.8
257.219	571
257.603	580.1
257.986	562.1
258.37	572.7
258.754	563.7
259.138	574.2
259.522	572.8
259.906	563
260.29	570.1
260.675	566
261.059	573.3
261.443	557.8
261.828	574.4
262.212	570.6
262.597	555.5
262.981	561.3
263.366	569.9
263.751	568.4
264.136	558.1
264.521	562.2
264.906	559.3
265.291	575
265.676	566.1
266.061	570.9
266.446	584.6
266.831	568.3
267.217	586.9
267.602	568.5
267.987	564.8
268.373	564.6
268.759	574.2
269.144	570.6
269.53	563.8
269.916	560.9
270.302	558.2
270.688	568.7
271.074	566.2
271.46	571.3
271.846	596.7
272.232	569.6
272.618	560.6
273.004	564.3
273.391	574.3
273.777	574.7
274.164	567.7
274.55	583
274.937	570.4
275.324	562.9
275.71	569.9
276.097	567.2
276.484	560.9
276.871	564.4
277.258	572
277.645	555.8
278.032	569.8
278.419	565.8
278.807	569.8
279.194	559.9
279.581	564.4
279.969	573.1
280.356	570.4
280.744	569
281.131	588.3
281.519	576.4
281.907	565.4
282.295	565.5
282.682	571.3
283.07	568.2
283.458	574.4
283.846	577.6
284.235	579.3
284.623	578.6
285.011	562.1
285.399	567.7
285.788	559.9
286.176	554.4
286.565	574.9
286.953	565.3
287.342	570.2
287.731	563.9
288.119	556.1
288.508	556.8
288.897	565.3
289.286	552.4
289.675	569.1
290.064	576.3
290.453	565.5
290.821	571.1
291.21	582.6
291.599	565.8
291.989	567.6
292.378	573.6
292.768	582.9
293.157	575.5
293.547	573.9
293.936	565.5
294.326	560.8
294.716	568.6
295.106	561.1
295.496	566.9
295.886	578.9
296.276	567.5
296.666	565
297.056	564
297.446	556.6
297.836	580.8
298.227	559.1
298.617	568.2
299.008	580
299.398	560.8
299.789	566.1
300.179	570.7
300.57	576.4
300.961	564.3
301.352	562.6
301.742	574.7
302.133	568.9
302.524	562.8
302.915	565.5
303.307	558.3
303.698	577.5
304.089	569.4
304.48	564.3
304.872	573.3
305.263	569.5
305.655	558.4
306.046	572.1
306.438	571.1
306.829	562.6
307.221	576.3
307.613	575.6
308.005	579.8
308.397	583.8
308.789	587
309.181	593.4
309.573	584.6
309.965	581.7
310.357	566.7
310.749	563.8
311.142	559.1
311.534	559.2
311.926	573.5
312.319	570.4
312.711	555.2
313.104	575.1
313.497	569.4
313.889	599.2
314.282	577
314.675	593.6
315.068	565.9
315.461	571.3
315.854	593.1
316.247	572.5
316.64	567.3
317.033	571.2
317.405	572.8
317.798	573.1
318.192	571.7
318.585	560.1
318.979	571.2
319.372	562.8
319.766	572.6
320.16	580
320.553	582.5
320.947	588.7
321.341	567.3
321.735	570.2
322.129	555.4
322.523	591.4
322.917	562.9
323.311	578.3
323.705	568.6
324.099	571
324.494	579.6
324.888	576.3
325.282	566.8
325.677	570.5
326.071	577.3
326.466	581.4
326.861	574.7
327.255	581.6
327.65	581.7
328.045	584.3
328.44	566.6
328.835	566.5
329.23	567.2
329.625	591.7
330.02	565.1
330.415	582.3
330.81	574.2
331.206	568.2
331.601	560.6
331.996	576.4
332.37	573
332.766	562.6
333.161	588
333.557	565.7
333.953	570.1
334.348	973.8
334.744	572.5
335.14	568.4
335.536	561.6
335.932	581.6
336.328	569.7
336.724	577.1
337.12	568.8
337.516	571.9
337.913	568.1
338.309	583.4
338.705	565.1
339.102	579.9
339.498	568.1
339.895	582.2
340.291	562
340.688	576
341.085	558.4
341.481	569.2
341.878	566.9
342.275	589.9
342.672	559.9
343.069	560.4
343.466	556.9
343.842	575.4
344.239	557
344.636	563.5
345.033	559.8
345.431	560.6
345.828	567.7
346.225	559.1
346.623	575.5
347.02	565.8
347.418	574.3
347.816	583.3
348.213	559
348.611	571.3
349.009	561.9
349.407	581
349.805	557.9
350.203	556.2
350.601	579.5
350.999	561.5
351.397	554.9
351.795	560.8
352.193	577.4
352.57	574.6
352.969	574.1
353.367	553.4
353.766	560.3
354.164	565.1
354.563	574
354.961	566.2
355.36	564.1
355.759	565.1
356.158	555.7
356.557	561.4
356.956	554.8
357.355	555.1
357.754	569.7
358.153	568.3
358.552	591.5
358.951	560.7
359.35	569.8
359.75	555.1
360.149	549.5
360.527	549.7
360.926	557.9
361.326	567.4
361.726	557.8
362.125	559.5
362.525	569.1
362.925	559.6
363.325	561.6
363.724	563.7
364.124	558.7
364.524	560
364.924	567
365.324	567.6
365.725	543.9
366.125	566.9
366.525	565.9
366.904	553.6
367.304	547.3
367.705	574.4
368.105	575.5
368.506	559.9
368.906	567.4
369.307	562.7
369.708	561.8
370.108	553.5
370.509	568.7
370.91	555.2
371.311	565.9
371.712	558.9
372.113	558.7
372.514	553
372.894	560.2
373.295	554.7
373.696	565.6
374.097	570.7
374.499	587.9
374.9	562.8
375.301	558.1
375.703	559.6
376.105	549.7
376.506	566.1
376.908	567.9
377.309	558.4
377.711	566.2
378.113	557.8
378.493	561.4
378.895	554.4
379.297	568.8
379.699	551.5
380.102	564.8
380.504	566.5
380.906	553
381.308	578.7
381.71	558.6
382.113	571.8
382.515	556.5
382.918	560.1
383.299	561.1
383.701	571.3
384.104	564
384.507	544.5
384.909	553.8
385.312	552.5
385.715	552
386.118	557.6
386.521	550.5
386.924	564.9
387.327	558.9
387.709	550.7
388.112	546.9
388.515	560.9
388.918	556.4
389.322	562.7
389.725	556.2
390.129	581.2
390.532	562.8
390.936	557
391.339	554.5
391.743	567.6
392.125	546.4
392.529	569.9
392.933	568.7
393.337	556
393.74	555.3
394.144	559.6
394.548	549.6
394.953	555.6
395.357	567.5
395.761	560.3
396.144	561.8
396.548	559.4
396.952	560.5
397.357	561.9
397.761	551.2
398.166	550.9
398.57	555.8
398.975	550.3
399.379	562
399.763	601.3
400.168	553.2
400.572	553.7
400.977	555.2
401.382	574.2
401.787	563.8
402.192	573.5
402.597	573.6
403.002	547.3
403.386	570.4
403.791	577.1
404.197	555.6
404.602	559.4
405.007	551.7
405.413	554.7
405.818	548
406.224	553.2
406.608	555.7
407.014	552.9
407.42	568.3
407.825	555
408.231	560.8
408.637	558.9
409.043	570.3
409.449	554.4
409.834	550.4
410.24	561.3
410.646	567.4
411.052	565.7
411.458	559.4
411.865	565
412.271	565.2
412.677	560
413.062	564.2
413.469	551.6
413.875	589
414.282	577
414.689	562.4
415.095	562.7
415.502	550.5
415.888	568.2
416.294	547.4
416.701	594.5
417.108	558.8
417.515	569.9
417.923	556.9
418.33	576.3
418.715	569
419.123	559.9
419.53	561
419.937	563.2
420.345	574.4
420.752	557.4
421.16	571.7
421.546	564.3
421.953	571.7
422.361	557.9
422.769	557.4
423.177	553.4
423.585	579.5
423.992	574.1
424.379	572.4
424.787	572.3
425.195	579.5
425.603	562.1
426.011	577.2
426.419	571.7
426.806	560
427.214	562.1
427.623	569.2
428.031	579.7
428.44	566.2
428.848	572
429.235	575.1
429.644	569.7
430.053	567.8
430.461	585.1
430.87	590.5
431.279	580.1
431.666	563.8
432.075	568.9
432.484	574.7
432.893	561.8
433.302	588.7
433.711	607.6
434.099	572.8
434.508	572.7
434.918	562.6
435.327	579.6
435.737	576
436.125	579.3
436.534	575.7
436.944	576.6
437.353	583.2
437.763	599.5
438.173	573.1
438.561	594.3
438.971	569.7
439.381	583.1
439.791	588.4
440.201	564.5
440.589	593.9
440.999	594.4
441.409	590.8
441.819	578.3
442.23	598.6
442.619	595.1
443.029	594.8
443.439	591.3
443.85	603.7
444.26	610.2
444.649	605.7
445.06	602.8
445.471	598.7
445.881	603
446.292	610.5
446.682	626.7
447.092	585.6
447.503	646.9
447.914	607.8
448.325	601.7
448.715	601.3
449.126	593.8
449.537	602.1
449.948	601.6
450.338	602.7
450.75	609.7
451.161	610.4
451.572	615.2
451.984	599.1
452.374	594.4
452.786	603.8
453.197	605.2
453.609	612.3
453.999	594
454.411	599.7
454.823	615
455.235	607.8
455.647	603.9
456.037	605.8
456.449	593.5
456.862	608.9
457.274	606.6
457.665	594.3
458.077	611.7
458.489	614.8
458.902	609.3
459.293	613.4
459.705	609.6
460.118	606.6
460.53	605.6
460.921	607.7
461.334	608.5
461.747	607
462.16	615.8
462.551	615.8
462.964	613.9
463.377	590.9
463.79	603.2
464.182	612.4
464.595	603.8
465.008	612.3
465.421	608.2
465.813	607.4
466.226	612
466.64	601.5
467.053	644.1
467.445	615
467.859	609.4
468.272	605.8
468.686	614.7
469.078	607.5
469.492	591.2
469.906	611.4
470.298	610.5
470.712	604.1
471.126	630.3
471.54	592.3
471.933	596.4
472.347	601.9
472.761	599.4
473.175	587.2
473.568	598.6
473.982	593.7
474.397	602.3
474.79	600.3
475.204	604
475.619	602.5
476.033	599.7
476.426	603.6
476.841	597.9
477.256	621
477.649	598.1
478.064	597.1
478.479	598.5
478.872	595.4
479.287	586
479.702	598.4
480.118	599.6
480.511	593.1
480.927	592.4
481.342	595.1
481.736	596.2
482.151	595.6
482.566	604.1
482.96	593.9
483.376	606.1
483.792	589
484.186	596.5
484.602	595.9
485.017	595.9
485.412	601.1
485.827	598.4
486.243	599.2
486.638	618.8
487.054	603.2
487.47	604.5
487.865	581.3
488.281	588.4
488.697	585.1
489.092	590
489.508	588.2
489.925	602.6
490.32	580.3
490.736	590.7
491.153	593.3
491.548	591.2
491.964	601.1
492.381	581.2
492.776	590.5
493.193	586.4
493.61	595.8
494.006	588.1
494.422	593.2
494.84	580.2
495.235	598
495.652	589.4
496.069	588.1
496.465	577.6
496.883	587
497.3	614.7
497.696	581.3
498.113	589.2
498.509	584.1
498.927	576.1
499.344	575.1
499.741	577.1
500.158	591.4
500.576	592.4
500.973	586.1
501.39	571.5
501.787	577
502.205	582.1
502.623	580.2
503.02	572.2
503.438	582
503.856	579.1
504.253	578.6
504.671	580.9
505.068	577.2
505.486	577.8
505.905	589.1
506.302	577.9
506.72	585.1
507.118	570.1
507.536	576.5
507.955	574.1
508.352	575.7
508.771	584.3
509.169	580.5
509.587	569.8
510.006	579.9
510.404	570.4
510.823	572.1
511.221	567
511.64	575.1
512.038	587.1
512.457	574.4
512.877	575.1
513.275	573.2
513.694	572
514.092	569.8
514.512	573.5
514.91	572.9
515.33	575.8
515.749	569.9
516.148	572.5
516.568	574.6
516.966	574.3
517.386	569.7
517.785	570.8
518.205	570.3
518.603	570.1
519.024	562
519.444	577.2
519.843	577.3
520.263	575.5
520.662	573.1
521.082	573.6
521.481	569.5
521.902	571.2
522.301	573
522.722	569.9
523.121	564.7
523.542	567.3
523.963	564.8
524.362	567.6
524.783	570.2
525.183	567.1
525.604	572.3
526.003	558.5
526.425	563.6
526.824	575.7
527.246	572.4
527.646	570.4
528.067	564
528.467	565.6
528.888	569.1
529.289	567.8
529.71	566.5
530.11	562.1
530.532	560.6
530.932	558.7
531.354	560.8
531.755	595.2
532.176	574.1
532.577	562.8
532.999	563
533.4	559.7
533.822	575.7
534.223	561.5
534.645	559.5
535.046	560.8
535.468	560.9
535.869	572.9
536.292	557.6
536.693	561
537.115	561.3
537.516	558.4
537.939	557.2
538.34	573.9
538.742	568.5
539.165	557.7
539.566	564.4
539.989	556.4
540.391	556.8
540.814	564.2
541.216	558.4
541.639	565.6
542.041	570.7
542.464	559
542.866	555.8
543.268	552.7
543.691	563.8
544.093	560.5
544.517	575.7
544.919	546.9
545.343	580.1
545.745	555.5
546.147	556.3
546.571	555.9
546.974	548.2
547.398	551.6
547.8	568.6
548.224	554
548.627	549.6
549.03	561.1
549.454	546.4
549.857	545.9
550.281	552.9
550.684	550.7
551.087	565.4
551.512	560.8
551.915	560.2
552.34	559.2
552.743	551.3
553.146	557
553.571	552.6
553.975	567.7
554.399	546
554.803	597
555.207	556.5
555.632	544.1
556.036	557
556.461	546.4
556.865	552.6
557.268	545.4
557.694	548.2
558.098	555.9
558.502	555.9
558.927	548.8
559.332	551.3
559.736	553.1
560.162	560.3
560.566	547.6
560.992	556.8
561.396	544.7
561.801	551
562.227	553.1
562.631	553.6
563.036	552.3
563.462	555.4
563.867	553.8
564.272	539
564.698	555.8
565.103	542.7
565.508	562.6
565.935	550.5
566.34	549.1
566.745	564.8
567.172	548
567.577	579.6
567.982	558.9
568.409	558.5
568.815	545.5
569.22	551.4
569.626	553
570.053	539.4
570.459	548.3
570.865	551
571.292	560.4
571.698	553.6
572.104	539.9
572.531	548
572.937	561.6
573.343	547.4
573.75	547.4
574.177	550.6
574.583	557.6
574.99	549.7
575.396	551.7
575.824	548.5
576.231	550.6
576.637	551
577.065	579
577.472	546.2
577.879	545.3
578.286	558.6
578.714	542.4
579.121	545.4
579.528	552.3
579.935	558.3
580.364	552.1
580.771	537.8
581.178	543.3
581.585	551.9
582.014	555.1
582.421	542
582.829	548.4
583.236	557.9
583.644	540.6
584.073	546.3
584.481	553.7
584.889	542.6
585.296	548.9
585.726	548.3
586.134	537.9
586.542	539.2
586.95	563.9
587.358	538.9
587.787	545.1
588.196	535.1
588.604	546.6
589.012	542.7
589.421	535.2
589.851	544.5
590.259	552.8
590.668	539.6
591.076	572.4
591.485	537.3
591.894	541.1
592.324	554.2
592.733	562.4
593.142	527.6
593.551	538.9
593.96	548
594.369	530.5
594.8	543.6
595.209	544
595.618	532.9
596.028	541.5
596.437	538.3
596.847	546.8
597.256	547.5
597.687	546.9
598.097	545.4
598.507	533.7
598.917	545.1
599.327	541.5
599.736	540.8
600.146	551.2
600.556	549.1
600.988	553.1
601.398	536.5
601.808	549.1
602.219	536.6
602.629	544.5
603.039	546.9
603.45	567.5
603.86	544.7
604.271	558.1
604.703	546
605.114	541.2
605.525	544.9
605.935	555
606.346	571.4
606.757	548.3
607.168	541.3
607.579	536
607.99	558.8
608.402	547.9
608.813	551
609.224	548.4
609.636	537.9
610.047	540.3
610.48	547.3
610.892	555.8
611.303	553.8
611.715	540.7
612.127	538.3
612.539	542
612.95	550
613.362	533.3
613.774	533.6
614.186	542.3
614.599	539
615.011	554.1
615.423	531.4
615.835	543.5
616.248	533.9
616.66	547.6
617.073	535.2
617.485	542.6
617.898	547.3
618.311	542.4
618.723	539.2
619.136	569.8
619.549	561.6
619.962	563
620.375	540.9
620.788	544.4
621.201	534.3
621.614	553.8
622.028	540
622.441	552.7
622.854	555.9
623.268	537.8
623.681	549.1
624.095	546
624.509	548.5
624.922	552.6
625.336	535.6
625.728	545.2
626.142	554.3
626.556	556.8
626.97	549.5
627.384	536.3
627.799	545
628.213	553.3
628.627	541.5
629.041	542.9
629.456	540.6
629.87	535.3
630.285	553.3
630.699	547.3
