#lambda/nm	C1
208.295	467.9
208.67	435.4
209.045	399.3
209.419	406.1
209.794	589.3
210.169	564.8
210.544	685.4
210.919	584.3
211.295	570.5
211.67	580.8
212.045	580.8
212.421	580.4
212.796	619
213.172	571.6
213.547	572.1
213.923	575
214.299	579.2
214.675	587.8
215.051	577.5
215.427	585.7
215.803	598.6
216.179	582.5
216.555	579.3
216.932	589.9
217.308	580.6
217.684	578.1
218.061	584.6
218.438	579.4
218.814	573.6
219.191	588.3
219.568	572.1
219.945	577.6
220.322	588.9
220.699	585.6
221.076	586
221.453	589.7
221.83	574.6
222.208	576.3
222.585	575.9
222.962	583.5
223.34	587.4
223.717	581.6
224.095	579.9
224.473	581.2
224.851	573.8
225.229	570.1
225.607	590.3
225.985	568.3
226.363	576.7
226.741	579.6
227.119	584.9
227.497	596.5
227.876	563.7
228.254	584
228.633	586.5
229.011	580.6
229.39	586.2
229.769	579.4
230.148	589.4
230.527	599
230.905	578
231.284	576.6
231.664	577.5
232.043	588.7
232.422	584
232.801	580.7
233.181	589.6
233.56	576.1
233.94	580.3
234.319	569.7
234.699	580.6
235.079	623.3
235.458	615.3
235.838	595.1
236.218	574.3
236.598	568.5
236.978	573
237.358	576.8
237.738	572.3
238.119	586.1
238.499	572.1
238.88	583.6
239.26	597.8
239.641	571.6
240.021	580.8
240.402	580.5
240.783	574.9
241.163	584
241.544	583.1
241.925	582.7
242.306	596.5
242.687	577.4
243.069	581.8
243.45	584.7
243.831	579.1
244.212	576.9
244.594	619.5
244.975	594.3
245.357	582.4
245.739	573.3
246.12	581.4
246.502	593.7
246.884	583
247.266	578.4
247.648	584.3
248.03	606.1
248.412	583.8
248.794	588.5
249.176	575.2
249.559	582.1
249.941	572.6
250.323	574.1
250.706	573.5
251.089	580.5
251.471	576.9
251.854	581.4
252.237	585.1
252.62	589.8
253.002	578.1
253.385	579.5
253.769	592.4
254.152	580.4
254.535	591.6
254.918	571.6
255.301	577.4
255.685	579
256.068	575.2
256.452	601.7
256.835	590.2
257.219	591
257.603	587.1
257.986	569.2
258.37	584.5
258.754	569.3
259.138	583.2
259.522	592.8
259.906	578.4
260.29	587.6
260.675	577.7
261.059	582.1
261.443	574.1
261.828	588.6
262.212	589.4
262.597	568
262.981	584.1
263.366	589.3
263.751	581.5
264.136	577.3
264.521	580.2
264.906	575.3
265.291	591.7
265.676	582.2
266.061	587.9
266.446	599.6
266.831	579.7
267.217	603.4
267.602	581.8
267.987	583.7
268.373	575.8
268.759	594.7
269.144	582.6
269.53	576.9
269.916	583.6
270.302	576.6
270.688	584.9
271.074	585
271.46	588.3
271.846	605.1
272.232	582.1
272.618	577.1
273.004	577
273.391	590.2
273.777	590.5
274.164	584.4
274.55	597.9
274.937	585.3
275.324	575.8
275.71	587.8
276.097	588.6
276.484	572.6
276.871	581.4
277.258	586.2
277.645	572.8
278.032	583.6
278.419	575.3
278.807	586
279.194	575.2
279.581	572.1
279.969	587.5
280.356	577.1
280.744	580.3
281.131	610.1
281.519	587.2
281.907	580.5
282.295	580.6
282.682	589.3
283.07	586.1
283.458	590.4
283.846	594.8
284.235	595.1
284.623	587.9
285.011	574.3
285.399	584.1
285.788	576.9
286.176	572.3
286.565	587.3
286.953	577
287.342	576.9
287.731	577.9
288.119	574
288.508	575.5
288.897	582.7
289.286	568.6
289.675	583.5
290.064	589.1
290.453	580.9
290.821	582.7
291.21	596.4
291.599	575.9
291.989	582.6
292.378	593.2
292.768	597.9
293.157	586.6
293.547	594.4
293.936	576.2
294.326	575.9
294.716	591.8
295.106	580.9
295.496	592.7
295.886	586.4
296.276	582.3
296.666	577.4
297.056	572.2
297.446	573.2
297.836	604.9
298.227	579.8
298.617	579.7
299.008	598.7
299.398	584.1
299.789	580.3
300.179	584.4
300.57	598.3
300.961	572.9
301.352	578.3
301.742	595.6
302.133	585.9
302.524	576.1
302.915	583.4
303.307	578.2
303.698	586.6
304.089	583.3
304.48	579
304.872	588
305.263	581.8
305.655	574.8
306.046	585.4
306.438	584.8
306.829	576.3
307.221	600.3
307.613	583.1
308.005	587.2
308.397	596.5
308.789	596.5
309.181	609.1
309.573	598.2
309.965	592
310.357	582.2
310.749	582.4
311.142	578.6
311.534	572.8
311.926	586.7
312.319	587
312.711	574
313.104	590.1
313.497	579
313.889	619.8
314.282	602
314.675	606.6
315.068	590.3
315.461	590
315.854	614.7
316.247	588.9
316.64	580.9
317.033	580.8
317.405	592.7
317.798	579.6
318.192	589.6
318.585	575.9
318.979	585.5
319.372	576.1
319.766	582.9
320.16	589.9
320.553	593.1
320.947	596
321.341	580.8
321.735	580.9
322.129	565.3
322.523	598.7
322.917	565.4
323.311	582
323.705	585.5
324.099	580.1
324.494	597.9
324.888	589.8
325.282	585.2
325.677	586.6
326.071	585.1
326.466	589.5
326.861	586
327.255	595
327.65	592
328.045	593.9
328.44	588.3
328.835	582.7
329.23	577.9
329.625	602.4
330.02	579.6
330.415	606
330.81	586.5
331.206	587.6
331.601	580.1
331.996	592.9
332.37	592.9
332.766	575.3
333.161	608.4
333.557	583.1
333.953	580.9
334.348	909.8
334.744	583
335.14	580.6
335.536	580.7
335.932	598.3
336.328	582
336.724	591.2
337.12	590.3
337.516	591
337.913	578.6
338.309	597.1
338.705	583.8
339.102	597.8
339.498	580.9
339.895	594
340.291	573.9
340.688	589
341.085	572.9
341.481	584
341.878	581.4
342.275	599.8
342.672	570.6
343.069	580.1
343.466	570.5
343.842	595.2
344.239	572.3
344.636	584.3
345.033	575.1
345.431	572.3
345.828	584.7
346.225	577.3
346.623	591.3
347.02	585.7
347.418	591.2
347.816	598.2
348.213	573.5
348.611	577.8
349.009	579.6
349.407	594.2
349.805	571.5
350.203	568.3
350.601	589.2
350.999	578.2
351.397	569.3
351.795	580.5
352.193	586.8
352.57	590.2
352.969	589
353.367	569.7
353.766	574.9
354.164	573.2
354.563	593
354.961	577.4
355.36	570.9
355.759	580.3
356.158	568.8
356.557	575.8
356.956	569.8
357.355	565.7
357.754	577.2
358.153	585
358.552	603
358.951	579.3
359.35	583.1
359.75	576.3
360.149	567.9
360.527	570.7
360.926	571.4
361.326	575.3
361.726	575.1
362.125	570.5
362.525	582.8
362.925	579.7
363.325	582.1
363.724	576.6
364.124	573.4
364.524	568.8
364.924	577.1
365.324	589.4
365.725	561.1
366.125	580.1
366.525	571.1
366.904	568.4
367.304	563.1
367.705	590.7
368.105	587
368.506	574.9
368.906	577.9
369.307	573.1
369.708	584.7
370.108	562.6
370.509	581.2
370.91	574.8
371.311	576.5
371.712	574
372.113	575.1
372.514	568.6
372.894	564.7
373.295	571.5
373.696	583.4
374.097	580.8
374.499	599.3
374.9	572
375.301	566.3
375.703	573.1
376.105	569.1
376.506	579.3
376.908	580.8
377.309	576.5
377.711	576.2
378.113	568.6
378.493	570.8
378.895	569.1
379.297	583.7
379.699	566
380.102	577.5
380.504	573.1
380.906	572.8
381.308	594.7
381.71	566.2
382.113	580.2
382.515	571.4
382.918	576.5
383.299	575.1
383.701	580.5
384.104	576.1
384.507	553.9
384.909	567.8
385.312	555.9
385.715	563.8
386.118	569.1
386.521	561.3
386.924	582.5
