#lambda/nm	C1
208.295	474.3
208.67	441.4
209.045	403
209.419	406.5
209.794	577
210.169	558.7
210.544	668.5
210.919	572.1
211.295	559.6
211.67	576.6
212.045	568.2
212.421	565.4
212.796	605.1
213.172	562.6
213.547	571.1
213.923	570.2
214.299	564.8
214.675	577.6
215.051	575.3
215.427	577.7
215.803	582.5
216.179	571.9
216.555	563.5
216.932	579
217.308	570.2
217.684	569.9
218.061	578
218.438	573.9
218.814	566.8
219.191	577.4
219.568	561.8
219.945	572
220.322	574.2
220.699	573.4
221.076	579.5
221.453	567.8
221.83	559
222.208	561.4
222.585	561.4
222.962	566.3
223.34	566.9
223.717	567.2
224.095	567.5
224.473	570.5
224.851	565.8
225.229	560
225.607	581.8
225.985	558.2
226.363	567.5
226.741	568.5
227.119	567.8
227.497	580.1
227.876	561.8
228.254	581.1
228.633	573.3
229.011	567
229.39	573.3
229.769	578.7
230.148	571.9
230.527	588.4
230.905	565.1
231.284	573.7
231.664	561.4
232.043	579.8
232.422	577.8
232.801	564.5
233.181	572.7
233.56	566
233.94	571.4
234.319	556.6
234.699	564.6
235.079	605.3
235.458	602.7
235.838	582.2
236.218	560.9
236.598	556.4
236.978	559.3
237.358	566.2
237.738	567.2
238.119	571.7
238.499	556.9
238.88	564.6
239.26	582.7
239.641	557.8
240.021	566.9
240.402	567.7
240.783	568.3
241.163	566.5
241.544	569.5
241.925	567.6
242.306	583.4
242.687	559.3
243.069	570.5
243.45	577.7
243.831	567.9
244.212	572.9
244.594	607.6
244.975	576
245.357	575.2
245.739	566.1
246.12	574.4
246.502	583.3
246.884	574.5
247.266	564.2
247.648	574.8
248.03	591.7
248.412	577.2
248.794	572.3
249.176	559.1
249.559	577.3
249.941	567.1
250.323	560.8
250.706	559.7
251.089	570.2
251.471	571
251.854	565.6
252.237	569.4
252.62	578.8
253.002	566.4
253.385	574
253.769	581.4
254.152	569.2
254.535	581.1
254.918	562.7
255.301	565.2
255.685	572
256.068	560.2
256.452	591.5
256.835	574.9
257.219	572.7
257.603	582.8
257.986	560.8
258.37	574.3
258.754	562
259.138	570
259.522	581.1
259.906	564.2
260.29	567.8
260.675	569.8
261.059	573.9
261.443	560.2
261.828	573.2
262.212	575.5
262.597	563
262.981	563
263.366	571.5
263.751	574.4
264.136	565
264.521	567.9
264.906	563.8
265.291	578.4
265.676	567.5
266.061	577.3
266.446	585.7
266.831	569.1
267.217	592.4
267.602	574.4
267.987	570.4
268.373	564.3
268.759	575.3
269.144	580
269.53	566
269.916	568.7
270.302	566
270.688	576.2
271.074	571.3
271.46	584.1
271.846	603.2
272.232	571.1
272.618	566
273.004	570.6
273.391	580
273.777	581.8
274.164	566.3
274.55	583.4
274.937	570.5
275.324	572.2
275.71	579
276.097	574.9
276.484	564.8
276.871	571.5
277.258	575.4
277.645	557.8
278.032	567.8
278.419	575.4
278.807	577.8
279.194	563.1
279.581	565.5
279.969	578.3
