#lambda/nm	C1
208.295	469
208.67	437.3
209.045	399.2
209.419	406.9
209.794	567.1
210.169	549.8
210.544	655.4
210.919	567.1
211.295	547.8
211.67	564.2
212.045	557.6
212.421	558.6
212.796	587.6
213.172	551.8
213.547	554.3
213.923	554.7
214.299	554.7
214.675	567.5
215.051	567.5
215.427	567.2
215.803	577.6
216.179	564.5
216.555	557.9
216.932	561.9
217.308	560.7
217.684	559.2
218.061	566.1
218.438	559.4
218.814	552.3
219.191	570.7
219.568	551.6
219.945	554
220.322	561.2
220.699	564.4
221.076	568.1
221.453	560.3
221.83	552.4
222.208	556.9
222.585	554.6
222.962	561.5
223.34	562.7
223.717	562.6
224.095	559.4
224.473	560.4
224.851	553.2
225.229	553
225.607	573.7
225.985	548.3
226.363	561.9
226.741	562.2
227.119	560.2
227.497	573.5
227.876	549.3
228.254	566.7
228.633	563.9
229.011	559.2
229.39	568.4
229.769	559.2
230.148	564.5
230.527	572.2
230.905	559.4
231.284	562.6
231.664	552.4
232.043	573.8
232.422	572
232.801	556
233.181	564.3
233.56	553.6
233.94	564.1
234.319	544.9
234.699	559.7
235.079	595.8
235.458	585.2
235.838	584
236.218	559.8
236.598	552.1
236.978	554.3
237.358	554.6
237.738	554.7
238.119	564.3
238.499	551.4
238.88	560.6
239.26	570.6
239.641	547.5
240.021	553.9
240.402	561.8
240.783	557.9
241.163	562
241.544	557.5
241.925	561.2
242.306	573.1
242.687	551.3
243.069	560.8
243.45	569.9
243.831	549.9
244.212	557.3
244.594	591.1
244.975	559.8
245.357	557.6
245.739	557.4
246.12	559.9
246.502	572.3
246.884	551.6
247.266	551
247.648	560.5
248.03	575.8
248.412	562
248.794	562
249.176	555.1
249.559	569.6
249.941	553.7
250.323	553.8
250.706	554.1
251.089	558.7
251.471	562.2
251.854	560.3
252.237	567.7
252.62	567.5
253.002	562.4
253.385	560.9
253.769	571.9
254.152	557.5
254.535	566.5
254.918	550.6
255.301	556.3
255.685	554.5
256.068	550.9
256.452	582.5
256.835	564.3
257.219	564.1
257.603	573.1
257.986	549.7
258.37	567
258.754	549.3
259.138	561.2
259.522	572.2
259.906	559.4
260.29	560
260.675	556.4
261.059	561.4
261.443	551.5
261.828	571
262.212	571.8
262.597	547.6
262.981	552.4
263.366	573.7
263.751	566.2
264.136	557.7
264.521	555.7
264.906	553.7
265.291	569.3
265.676	553
266.061	567.7
266.446	578.7
266.831	559.9
267.217	575.9
267.602	564
267.987	559.7
268.373	556.9
268.759	570.1
269.144	566.8
269.53	559.6
269.916	555.6
270.302	551.9
270.688	563.8
271.074	565.6
271.46	575.5
271.846	588.8
272.232	560.4
272.618	552.7
273.004	558.8
273.391	568.5
273.777	570.6
274.164	564
274.55	573.5
274.937	559.4
275.324	558.7
275.71	570.1
276.097	564.8
276.484	550.1
276.871	562.1
277.258	565.1
277.645	547.8
278.032	559
278.419	556.8
278.807	560.1
279.194	556.3
279.581	549.2
279.969	565.1
280.356	565.6
280.744	560.6
281.131	585.5
281.519	563.6
281.907	558.2
282.295	561.7
282.682	571.2
283.07	564.1
283.458	565.9
283.846	575.6
284.235	570.4
284.623	566.8
285.011	556.5
285.399	564.1
285.788	559.9
286.176	548.5
286.565	568.7
286.953	554
287.342	560.6
287.731	552.1
288.119	550.5
288.508	561.5
288.897	565.9
289.286	553
289.675	565.6
290.064	569.3
290.453	554.5
290.821	559.1
291.21	573.5
291.599	556.1
291.989	559.2
292.378	566.6
292.768	572
293.157	563.8
