#lambda/nm	C1
208.295	471.9
208.67	437.8
209.045	398.2
209.419	405.9
209.794	566.8
210.169	550.3
210.544	655.8
210.919	560.1
211.295	553.7
211.67	566.6
212.045	561.2
212.421	557.4
212.796	584.5
213.172	557.1
213.547	553.9
213.923	554.9
214.299	553.9
214.675	568.9
215.051	562.2
215.427	565.2
215.803	576.5
216.179	564.1
216.555	553.5
216.932	566.6
217.308	559.3
217.684	559.4
218.061	565.4
218.438	558.7
218.814	554.2
219.191	566.1
219.568	547.8
219.945	551.9
220.322	567.1
220.699	562.4
221.076	566.2
221.453	564.2
221.83	547.1
222.208	557.2
222.585	552.9
222.962	562.1
223.34	560.4
223.717	558
224.095	556.9
224.473	564.2
224.851	554.2
225.229	553.2
225.607	573.8
225.985	551.8
226.363	560.3
226.741	560.1
227.119	559
227.497	571.7
227.876	549
228.254	564.9
228.633	562.8
229.011	564.5
229.39	561.8
229.769	565.5
230.148	561.5
230.527	578.4
230.905	559.2
231.284	560.6
231.664	555.4
232.043	566.7
232.422	564.5
232.801	555
233.181	566.3
233.56	557.4
233.94	556
234.319	552
234.699	560.3
235.079	601.4
235.458	594.3
235.838	576.8
236.218	554.8
236.598	547.9
236.978	556.2
237.358	558.1
237.738	558.6
238.119	567.9
238.499	548
238.88	560.6
239.26	574.1
239.641	552.5
240.021	557.8
240.402	559.3
240.783	560.5
241.163	557.1
241.544	557.2
241.925	559.3
242.306	571
242.687	551.3
243.069	564.2
243.45	569.1
243.831	556.3
244.212	558.5
244.594	595.1
244.975	569
245.357	562.3
245.739	556.6
246.12	563.9
246.502	575.6
246.884	559.2
247.266	559.3
247.648	555.9
248.03	576.7
248.412	565.8
248.794	569.2
249.176	559.2
249.559	567.8
249.941	549
250.323	551.1
250.706	552.3
251.089	558.1
251.471	558.5
251.854	563.9
252.237	563.9
252.62	567.9
253.002	563.8
253.385	563.9
253.769	573.1
254.152	564.4
254.535	570.6
254.918	554
255.301	561.7
255.685	554.8
256.068	553.9
256.452	581.2
256.835	566.2
257.219	571.6
257.603	568.8
257.986	550.1
258.37	564.2
258.754	548.2
259.138	566
259.522	572.4
259.906	556.5
260.29	561.2
260.675	553.3
261.059	563.2
261.443	554.7
261.828	561.2
262.212	562.2
262.597	552.1
262.981	549.5
263.366	566.3
263.751	561.7
264.136	555.2
264.521	556.1
264.906	550.8
265.291	571.8
265.676	556.7
266.061	565.1
266.446	577.5
266.831	562.4
267.217	581.1
267.602	566.4
267.987	560.9
268.373	558.1
268.759	566.8
269.144	569.2
269.53	560.1
269.916	556.6
270.302	557.6
270.688	564.9
271.074	559.5
271.46	572.2
271.846	587.9
272.232	556.8
272.618	553.4
273.004	560.7
273.391	561.4
273.777	570.2
274.164	558.9
274.55	569.9
274.937	559.1
275.324	556
275.71	559.8
276.097	560
276.484	555.1
276.871	565.6
277.258	566.2
277.645	556.1
278.032	561.9
278.419	559
278.807	564.7
279.194	554.5
279.581	554.5
279.969	569.2
280.356	564.6
280.744	565.4
281.131	578.8
281.519	574.7
281.907	559.2
282.295	557.7
282.682	568.6
283.07	563.2
283.458	571.3
283.846	571.4
284.235	570.8
284.623	571.9
285.011	556.7
285.399	560.6
285.788	559.6
286.176	549.8
286.565	567.4
286.953	559.1
287.342	563.7
287.731	555.6
288.119	552.1
288.508	560.6
288.897	559.7
289.286	550.1
289.675	565.8
290.064	573.8
290.453	560.8
290.821	559.8
291.21	571.5
291.599	561
291.989	560.8
292.378	565.6
292.768	580.3
293.157	564.9
293.547	570.4
293.936	559.2
294.326	553.1
294.716	563.4
295.106	557.5
295.496	571
295.886	568.1
296.276	560.2
296.666	555
297.056	559
297.446	554.9
297.836	579.2
298.227	554
298.617	561.6
299.008	574.4
299.398	561
299.789	555.3
300.179	564.6
300.57	577.7
300.961	556.8
301.352	562.9
301.742	571
302.133	555.3
302.524	565.1
302.915	562.3
303.307	554.6
303.698	567.8
304.089	567.1
304.48	557.7
304.872	561.9
305.263	562.7
305.655	550.1
306.046	569.5
306.438	568.6
306.829	555.2
307.221	576.1
307.613	566.1
308.005	572
308.397	574
308.789	584
309.181	583.6
309.573	580.6
309.965	565.2
310.357	559.9
310.749	562.7
311.142	552.3
311.534	552.8
311.926	566.6
312.319	565.6
312.711	563.3
313.104	569.6
313.497	559.6
313.889	592.7
314.282	574.3
314.675	577.1
315.068	559.1
315.461	566.4
315.854	587.9
316.247	567.9
316.64	557.6
317.033	563.3
317.405	570.8
317.798	559
318.192	565.2
318.585	552.4
318.979	562.7
319.372	554.8
319.766	560.7
320.16	572.1
320.553	572.4
320.947	581.2
321.341	564.4
321.735	566.4
322.129	543.4
322.523	579.1
322.917	564.3
323.311	568.6
323.705	564.8
324.099	570.6
324.494	574.6
324.888	572
325.282	561
325.677	567.8
326.071	569.1
326.466	571.7
326.861	568.2
327.255	573.3
327.65	579.1
328.045	577.9
328.44	569.9
328.835	563.9
329.23	556.6
329.625	586.4
330.02	556
330.415	579.5
330.81	564.5
331.206	558.1
331.601	559.3
331.996	570.6
332.37	574.6
332.766	552.8
333.161	582.6
333.557	556.6
333.953	566.7
334.348	917.8
334.744	563.4
335.14	557.9
335.536	561.1
335.932	571.4
336.328	562.8
336.724	571.4
337.12	560.5
337.516	563.3
337.913	567.3
338.309	573
338.705	561.9
339.102	576
339.498	559.8
339.895	574
340.291	560
340.688	571.6
341.085	552.8
341.481	559.7
341.878	559.6
342.275	576.7
342.672	549.7
343.069	555.8
343.466	551.6
343.842	571.7
344.239	553.4
344.636	555.1
345.033	554.9
345.431	550.5
345.828	563.6
346.225	554.7
346.623	574.3
347.02	560.7
347.418	570
347.816	569.7
348.213	555.8
348.611	562.2
349.009	554.2
349.407	570.1
349.805	549.8
350.203	547.8
350.601	572.5
350.999	554.8
351.397	548.7
351.795	563.9
352.193	567.2
352.57	570.2
352.969	569.7
353.367	556.5
353.766	553.2
354.164	554.2
354.563	571.3
354.961	563.3
355.36	557.1
355.759	555.4
356.158	548.2
356.557	550.8
356.956	552.2
357.355	547.7
357.754	558.4
358.153	561.4
358.552	579.2
358.951	560.8
359.35	564.5
359.75	549.5
360.149	549.2
360.527	543.5
360.926	549.4
361.326	558.5
361.726	556.6
362.125	550.5
362.525	559.7
362.925	553.7
363.325	560.9
363.724	558.8
364.124	550.9
364.524	554.7
364.924	554.7
365.324	568.7
365.725	548.3
366.125	565.9
366.525	559.3
366.904	552.4
367.304	539.1
367.705	571.2
368.105	561.7
368.506	544.3
368.906	551.8
369.307	551.4
369.708	554.5
370.108	545.4
370.509	562.7
370.91	548.6
371.311	553.6
371.712	560.1
372.113	555.2
372.514	540.5
372.894	552.4
373.295	550.6
373.696	565.8
374.097	562.2
374.499	578.8
374.9	565
375.301	547
375.703	556.7
376.105	544.6
376.506	552.7
376.908	561.3
377.309	555.9
377.711	553.9
378.113	551.9
378.493	550.7
378.895	548.9
379.297	558.9
379.699	548
380.102	563.7
380.504	554.7
380.906	548.3
381.308	572.9
381.71	553.8
382.113	560.1
382.515	554.6
382.918	553.5
383.299	551.5
383.701	560.5
384.104	559.3
384.507	537.6
384.909	555.3
385.312	541.9
385.715	543.1
386.118	552.2
386.521	548.8
386.924	564.6
387.327	549
387.709	544.2
388.112	542
388.515	551.9
388.918	549.3
389.322	557
389.725	548.9
390.129	572.3
390.532	557.6
390.936	541.8
391.339	543.4
391.743	556.6
392.125	547
392.529	561.6
392.933	565.1
393.337	554.2
393.74	546.8
394.144	547.8
394.548	545.8
394.953	552.3
395.357	554.9
395.761	546.7
396.144	555.3
396.548	550.6
396.952	554.3
397.357	549.6
397.761	547.5
398.166	550.3
398.57	556.9
398.975	540.7
399.379	554.2
399.763	594
400.168	554.2
400.572	549.3
400.977	550.2
401.382	564.8
401.787	564
402.192	570.5
402.597	563.1
403.002	537.6
403.386	567.2
403.791	569.1
404.197	547.4
404.602	556.5
405.007	553.1
405.413	550.2
405.818	544.6
406.224	546.2
406.608	551.4
407.014	545.4
407.42	565.4
407.825	551.3
408.231	564.7
408.637	553.7
409.043	566.5
409.449	552.9
409.834	547.6
410.24	555
410.646	567.3
411.052	560.7
411.458	554.9
411.865	564.7
