#lambda/nm	C1
208.295	467.8
208.67	440.6
209.045	403.5
209.419	407.9
209.794	591.2
210.169	566.6
210.544	688.2
210.919	585
211.295	575
211.67	584.8
212.045	576.7
212.421	581.7
212.796	617.5
213.172	576.2
213.547	580.9
213.923	579.8
214.299	575
214.675	589
215.051	580.2
215.427	583.4
215.803	597.1
216.179	585.9
216.555	570.2
216.932	581
217.308	576.6
217.684	577.4
218.061	588.9
218.438	581.3
218.814	573.4
219.191	585.8
219.568	573.5
219.945	576.5
220.322	582.4
220.699	582.6
221.076	589.7
221.453	578.7
221.83	574.7
222.208	570.9
222.585	577.2
222.962	580.1
223.34	583
223.717	580.7
224.095	582
224.473	581.6
224.851	569.6
225.229	574.6
225.607	598.4
225.985	573.3
226.363	585.1
226.741	586.2
227.119	584
227.497	590.8
227.876	566.3
228.254	591.1
228.633	587.4
229.011	579.1
229.39	589.4
229.769	587.8
230.148	589.2
230.527	601.3
230.905	585
231.284	591.2
231.664	579.1
232.043	590.5
232.422	588.2
232.801	578
233.181	589.6
233.56	579.6
233.94	581.1
234.319	570.1
234.699	578.7
235.079	621.8
235.458	619
235.838	597.3
236.218	581
236.598	574.1
236.978	577.3
237.358	577
237.738	579.7
238.119	588
238.499	574.2
238.88	586.2
239.26	601
239.641	566.2
240.021	583.6
240.402	577.5
240.783	580.5
241.163	578.6
241.544	591.4
241.925	586.2
242.306	595.7
242.687	572.7
243.069	580.5
243.45	589.7
243.831	573.8
244.212	576.2
244.594	612.8
244.975	593.7
245.357	585.2
245.739	571.1
246.12	579.2
246.502	597.6
246.884	574.3
247.266	579.1
247.648	583.6
248.03	604
248.412	581.3
248.794	584.9
249.176	575.7
249.559	594
249.941	574.8
250.323	574.3
250.706	573.7
251.089	584
251.471	582.8
251.854	584.6
252.237	580.3
252.62	590.7
253.002	580.6
253.385	581
253.769	594.6
254.152	579.7
254.535	589.9
254.918	574.9
255.301	578.7
255.685	581.6
256.068	572.7
256.452	606.1
256.835	588.9
257.219	587.4
257.603	593.4
257.986	575.4
258.37	593.3
258.754	570.3
259.138	585.2
259.522	597.6
259.906	580.3
260.29	588.2
260.675	577.3
261.059	584.9
261.443	574.2
261.828	593.7
262.212	588.2
262.597	577.1
262.981	581.3
263.366	593.3
263.751	578.8
264.136	577.6
264.521	578
264.906	576.9
265.291	593.1
265.676	582
266.061	585.2
266.446	600.7
266.831	584.3
267.217	600.3
267.602	588.8
267.987	584.2
268.373	578.2
268.759	592.8
269.144	584.5
269.53	578.2
269.916	578.8
270.302	581.4
270.688	590.2
271.074	586
271.46	592.7
271.846	615
272.232	579.9
272.618	574.3
273.004	582.7
273.391	593.6
273.777	587.8
274.164	584.2
274.55	594.6
274.937	589.7
275.324	580.5
275.71	586.6
276.097	586.5
276.484	575.8
276.871	585
277.258	588.5
277.645	573.2
278.032	588.5
278.419	578.9
278.807	586.6
279.194	572.5
279.581	577.3
279.969	590.2
280.356	590.3
280.744	582.6
281.131	609.5
281.519	590.7
281.907	579.8
282.295	579.4
282.682	598.6
283.07	582.9
283.458	589
283.846	594.6
284.235	595
284.623	587
285.011	575.5
285.399	582.6
285.788	578.9
286.176	567.9
286.565	592.1
286.953	578.4
287.342	578.9
287.731	575.1
288.119	568.4
288.508	579.3
288.897	582
289.286	569.3
289.675	582.2
290.064	589.9
290.453	577.3
290.821	586.1
291.21	600.3
291.599	585.2
291.989	579.4
292.378	591.2
292.768	603.6
293.157	586.7
293.547	592.6
293.936	578
294.326	580
294.716	585.7
