#lambda/nm	C1
208.295	471.9
208.67	440.1
209.045	405.1
209.419	409.5
209.794	590.3
210.169	568.9
210.544	686.4
210.919	586.4
211.295	568.7
211.67	585.3
212.045	575.6
212.421	578.4
212.796	620.4
213.172	577.7
213.547	578
213.923	575.3
214.299	578.2
214.675	589
215.051	588.2
215.427	587.8
215.803	598.8
216.179	589.2
216.555	572.7
216.932	591
217.308	577.5
217.684	580.5
218.061	596
218.438	588.1
218.814	579.3
219.191	584.6
219.568	575
219.945	579.1
220.322	588.7
220.699	586.3
221.076	587.4
221.453	582
221.83	574.3
222.208	578
222.585	572.1
222.962	578.7
223.34	578.7
223.717	574.8
224.095	578.6
224.473	577.6
224.851	573.4
225.229	575.9
225.607	589.4
225.985	572.6
226.363	580.6
226.741	584.1
227.119	574.9
227.497	592.1
227.876	565.6
228.254	585.7
228.633	586.2
229.011	577.2
229.39	589.1
229.769	592.2
230.148	589.3
230.527	596.4
230.905	585.2
231.284	581.6
231.664	577.4
232.043	590.1
232.422	590.2
232.801	580.3
233.181	586.8
233.56	576
233.94	584.8
234.319	568.2
234.699	576.6
235.079	620.5
235.458	620.1
235.838	589.4
236.218	569.9
236.598	571.9
236.978	576.7
237.358	580
237.738	575.8
238.119	591.1
238.499	568.1
238.88	583.7
239.26	599.9
239.641	572.7
240.021	578.3
240.402	578.7
240.783	578.7
241.163	578.1
241.544	584.8
241.925	578.3
242.306	594.5
242.687	580
243.069	580.3
243.45	591.3
243.831	579.5
244.212	577
244.594	620
244.975	589
245.357	583.3
245.739	571.3
246.12	581.2
246.502	597.2
246.884	583
247.266	581.4
247.648	585
248.03	601.4
248.412	587
248.794	594.5
249.176	574.5
249.559	584.2
249.941	582.3
250.323	572.8
250.706	569.9
251.089	581.8
251.471	581.6
251.854	577.7
252.237	579.7
252.62	589.6
253.002	582.9
253.385	586.8
253.769	596
254.152	581.6
254.535	593.5
254.918	571.9
255.301	580.4
255.685	582.6
256.068	578.1
256.452	602.9
256.835	587.5
257.219	592.1
257.603	591.9
257.986	579.5
258.37	594.5
258.754	575.1
259.138	586.9
259.522	592.2
259.906	577.5
260.29	584.1
260.675	582.2
261.059	580.6
261.443	575.9
261.828	588.9
262.212	590.3
262.597	573.8
262.981	573.5
263.366	591.8
263.751	583.4
264.136	581
264.521	579.9
264.906	578
265.291	589.6
265.676	582.6
266.061	590.4
266.446	605.4
266.831	584.6
267.217	604.4
267.602	584.2
267.987	590
268.373	586.9
268.759	593.8
269.144	590
269.53	582.5
269.916	576.4
270.302	581.6
270.688	584.5
271.074	581.8
271.46	596.4
271.846	619.3
272.232	585.9
272.618	579.3
273.004	578.7
273.391	592.7
273.777	596.5
274.164	583.9
